Département;Préfecture;Lng;Lat;Population 2014
Lot-et-Garonne;Agen;0.637058;44.219258;34344
Corse-du-Sud;Ajaccio;8.761941;41.928057;67507
Tarn;Albi;2.100830;43.917965;49342
Orne;Alençon;0.093078;48.419252;26350
Somme;Amiens;2.317926;49.870183;132699
Maine-et-Loire;Angers;-0.550229;47.471707;150125
Charente;Angoulême;0.174500;45.654610;41970
Haute-Savoie;Annecy;6.140567;45.882759;52029
Pas-de-Calais;Arras;2.725589;50.300040;40830
Gers;Auch;0.516624;43.653431;21962
Cantal;Aurillac;2.441986;44.931191;26572
Yonne;Auxerre;3.542601;47.798479;34869
Vaucluse;Avignon;4.859617;43.934431;90305
Meuse;Bar-le-Duc;5.161526;48.776187;15950
Guadeloupe;Basse-Terre;-61.724514;15.988852;11150
Haute-Corse;Bastia;9.447173;42.704441;42254
Oise;Beauvais;2.087562;49.431517;55252
Territoire de Belfort;Belfort;6.862710;47.647219;50196
Doubs;Besançon;6.014410;47.252027;116952
Loir-et-Cher;Blois;1.335178;47.587719;45539
Seine-Saint-Denis;Bobigny;2.411373;48.917828;49802
Gironde;Bordeaux;-0.602417;44.849043;243626
Ain;Bourg-en-Bresse;5.243837;46.177234;40490
Cher;Bourges;2.397162;47.083135;67189
Calvados;Caen;-0.386340;49.176357;107229
Lot;Cahors;1.444203;44.421573;19616
Aude;Carcassonne;2.329032;43.203884;46724
Guyane;Cayenne;-52.331927;4.932698;54709
Val-d’Oise;Cergy;2.082150;49.037541;61708
Marne;Châlons-en-Champagne;4.363024;48.956747;44899
Savoie;Chambéry;5.912764;45.592892;58653
Ardennes;Charleville-Mézières;4.733966;49.757737;48991
Eure-et-Loir;Chartres;1.516122;48.442941;38840
Indre;Châteauroux;1.680625;46.793485;45209
Haute-Marne;Chaumont;5.132175;48.085815;22560
Puy-de-Dôme;Clermont-Ferrand;3.084395;45.771099;141463
Haut-Rhin;Colmar;7.328670;48.069167;67956
Val-de-Marne;Créteil;2.456913;48.779773;89989
Alpes-de-Haute-Provence;Digne-les-Bains;6.203221;44.076859;16512
Côte-d’Or;Dijon;5.051766;47.300292;153003
Vosges;Épinal;6.463156;48.153206;32188
Eure;Évreux;1.112231;49.002982;49722
Essonne;Évry;2.427945;48.634301;53237
Ariège;Foix;1.601134;42.963386;9731
Martinique;Fort-de-France;-61.071014;14.611076;84174
Hautes-Alpes;Gap;6.101193;44.577642;40255
Isère;Grenoble;5.727497;45.190781;160215
Creuse;Guéret;1.881885;46.175868;13143
Vendée;La Roche-sur-Yon;-1.422577;46.669392;52732
Charente-Maritime;La Rochelle;-1.149750;46.160486;74344
Aisne;Laon;3.630049;49.569353;25219
Mayenne;Laval;-0.756847;48.074932;50479
Sarthe;Le Mans;0.168939;47.997604;144244
Haute-Loire;Le Puy-en-Velay;3.882933;45.042764;18619
Nord;Lille;3.070678;50.630361;231491
Haute-Vienne;Limoges;1.255999;45.829135;135098
Jura;Lons-le-Saunier;5.548749;46.678140;17063
Rhône;Lyon;4.820433;45.802656;500715
Saône-et-Loire;Mâcon;4.854598;46.367277;33350
Mayotte;Mamoudzou;45.224013;-12.782377;572812
Bouches-du-Rhône;Marseille;5.350983;43.284936;855393
Seine-et-Marne;Melun;2.657380;48.553023;40066
Lozère;Mende;3.508995;44.519995;11679
Moselle;Metz;6.177946;49.091151;118634
Landes;Mont-de-Marsan;-0.474466;43.901613;31334
Tarn-et-Garonne;Montauban;1.360783;44.024494;57921
Hérault;Montpellier;3.879962;43.611169;272084
Allier;Moulins;3.333320;46.565705;19474
Meurthe-et-Moselle;Nancy;6.167399;48.672491;104072
Hauts-de-Seine;Nanterre;2.200866;48.898133;92227
Loire-Atlantique;Nantes;-1.567471;47.214639;292718
Nièvre;Nevers;3.173713;46.997378;34841
Alpes-Maritimes;Nice;7.304166;43.686466;342295
Gard;Nîmes;4.373940;43.801924;150564
Deux-Sèvres;Niort;-0.467106;46.327365;57393
Loiret;Orléans;1.908435;47.912614;114375
Paris;Paris;2.34832763671875;48.8565834593617;2229621
Pyrénées-Atlantiques;Pau;-0.373329;43.323529;77575
Dordogne;Périgueux;0.730940;45.181783;30036
Pyrénées-Orientales;Perpignan;2.897090;42.698581;120959
Vienne;Poitiers;0.377201;46.575515;87427
Ardèche;Privas;4.609202;44.721092;8305
Finistère;Quimper;-4.036984;47.952168;63532
Ille-et-Vilaine;Rennes;-1.634522;48.113986;211373
Aveyron;Rodez;2.562153;44.356277;23741
Seine-Maritime;Rouen;1.043715;49.434219;110755
Côtes-d’Armor;Saint-Brieuc;-2.768822;48.516140;45331
La Réunion;Saint-Denis;55.477463;-20.910619;142442
Loire;Saint-Étienne;4.381753;45.434673;172023
Manche;Saint-Lô;-1.103733;49.113096;19285
Bas-Rhin;Strasbourg;7.733932;48.577379;275718
Hautes-Pyrénées;Tarbes;0.090673;43.230320;41062
Var;Toulon;5.929926;43.163336;163760
Haute-Garonne;Toulouse;1.450474;43.637655;458298
Indre-et-Loire;Tours;0.695468;47.395724;134803
Aube;Troyes;4.084494;48.311839;59671
Corrèze;Tulle;1.770831;45.267496;14323
Drôme;Valence;4.924661;44.953265;61767
Morbihan;Vannes;-2.728846;47.669164;53032
Yvelines;Versailles;2.123212;48.800737;85272
Haute-Saône;Vesoul;6.148293;47.620735;15473
