IDMI,Name
11001,PORTO VELHO
11002,GUAJARÁ-MIRIM
11003,ARIQUEMES
11004,JI-PARANÁ
11005,ALVORADA D'OESTE
11006,CACOAL
11007,VILHENA
11008,COLORADO DO OESTE
12001,CRUZEIRO DO SUL
12002,TARAUACÁ
12003,SENA MADUREIRA
12004,RIO BRANCO
12005,BRASILÉIA
13001,RIO NEGRO
13002,JAPURÁ
13003,ALTO SOLIMÕES
13004,JURUÁ
13005,TEFÉ
13006,COARI
13007,MANAUS
13008,RIO PRETO DA EVA
13009,ITACOATIARA
13010,PARINTINS
13011,BOCA DO ACRE
13012,PURUS
13012,PURUS
13013,MADEIRA
14001,BOA VISTA
14002,NORDESTE DE RORAIMA
14003,CARACARAÍ
14004,SUDESTE DE RORAIMA
15001,ÓBIDOS
15002,SANTARÉM
15003,ALMEIRIM
15004,PORTEL
15005,FUROS DE BREVES
15006,ARARI
15007,BELÉM
15008,CASTANHAL
15009,SALGADO
15010,BRAGANTINA
15011,CAMETÁ
15012,TOMÉ-AÇU
15013,GUAMÁ
15014,ITAITUBA
15015,ALTAMIRA
15016,TUCURUÍ
15017,PARAGOMINAS
15018,SÃO FÉLIX DO XINGU
15019,PARAUAPEBAS
15020,MARABÁ
15021,REDENÇÃO
15022,CONCEIÇÃO DO ARAGUAIA
16001,OIAPOQUE
16002,AMAPÁ
16003,MACAPÁ
16004,MAZAGÃO
17001,BICO DO PAPAGAIO
17002,ARAGUAÍNA
17003,MIRACEMA DO TOCANTINS
17004,RIO FORMOSO
17005,GURUPI
17006,PORTO NACIONAL
17007,JALAPÃO
17008,DIANÓPOLIS
21001,LITORAL OCIDENTAL MARANHENSE
21002,AGLOMERAÇÃO URBANA DE SÃO LUÍS
21003,ROSÁRIO
21004,LENÇÓIS MARANHENSES
21005,BAIXADA MARANHENSE
21006,ITAPECURU MIRIM
21007,GURUPI
21008,PINDARÉ
21009,IMPERATRIZ
21010,MÉDIO MEARIM
21011,ALTO MEARIM E GRAJAÚ
21012,PRESIDENTE DUTRA
21013,BAIXO PARNAÍBA MARANHENSE
21014,CHAPADINHA
21015,CODÓ
21016,COELHO NETO
21017,CAXIAS
21018,CHAPADAS DO ALTO ITAPECURU
21019,PORTO FRANCO
21020,GERAIS DE BALSAS
21021,CHAPADAS DAS MANGABEIRAS
22001,BAIXO PARNAÍBA PIAUIENSE
22002,LITORAL PIAUIENSE
22003,TERESINA
22004,CAMPO MAIOR
22005,MÉDIO PARNAÍBA PIAUIENSE
22006,VALENÇA DO PIAUÍ
22007,ALTO PARNAÍBA PIAUIENSE
22008,BERTOLÍNIA
22009,FLORIANO
22010,ALTO MÉDIO GURGUÉIA
22011,SÃO RAIMUNDO NONATO
22012,CHAPADAS DO EXTREMO SUL PIAUIENSE
22013,PICOS
22014,PIO IX
22015,ALTO MÉDIO CANINDÉ
23001,LITORAL DE CAMOCIM E ACARAÚ
23002,IBIAPABA
23003,COREAÚ
23004,MERUOCA
23005,SOBRAL
23006,IPU
23007,SANTA QUITÉRIA
23008,ITAPIPOCA
23009,BAIXO CURU
23010,URUBURETAMA
23011,MÉDIO CURU
23012,CANINDÉ
23013,BATURITÉ
23014,CHOROZINHO
23015,CASCAVEL
23016,FORTALEZA
23017,PACAJUS
23018,SERTÃO DE CRATÉUS
23019,SERTÃO DE QUIXERAMOBIM
23020,SERTÃO DE INHAMUNS
23021,SERTÃO DE SENADOR POMPEU
23022,LITORAL DE ARACATI
23023,BAIXO JAGUARIBE
23024,MÉDIO JAGUARIBE
23025,SERRA DO PEREIRO
23026,IGUATU
23027,VÁRZEA ALEGRE
23028,LAVRAS DA MANGABEIRA
23029,CHAPADA DO ARARIPE
23030,CARIRIAÇU
23031,BARRO
23032,CARIRI
23033,BREJO SANTO
24001,MOSSORÓ
24002,CHAPADA DO APODI
24003,MÉDIO OESTE
24004,VALE DO AÇU
24005,SERRA DE SÃO MIGUEL
24006,PAU DOS FERROS
24007,UMARIZAL
24008,MACAU
24009,ANGICOS
24010,SERRA DE SANTANA
24011,SERIDÓ OCIDENTAL
24012,SERIDÓ ORIENTAL
24013,BAIXA VERDE
24014,BORBOREMA POTIGUAR
24015,AGRESTE POTIGUAR
24016,LITORAL NORDESTE
24017,MACAÍBA
24018,NATAL
24019,LITORAL SUL
25001,CATOLÉ DO ROCHA
25002,CAJAZEIRAS
25003,SOUSA
25004,PATOS
25005,PIANCÓ
25006,ITAPORANGA
25007,SERRA DO TEIXEIRA
25008,SERIDÓ OCIDENTAL PARAIBANO
25009,SERIDÓ ORIENTAL PARAIBANO
25010,CARIRI OCIDENTAL
25011,CARIRI ORIENTAL
25012,CURIMATAÚ OCIDENTAL
25013,CURIMATAÚ ORIENTAL
25014,ESPERANÇA
25015,BREJO PARAIBANO
25016,GUARABIRA
25017,CAMPINA GRANDE
25018,ITABAIANA
25019,UMBUZEIRO
25020,LITORAL NORTE
25021,SAPÉ
25022,JOÃO PESSOA
25023,LITORAL SUL
26001,ARARIPINA
26002,SALGUEIRO
26003,PAJEÚ
26004,SERTÃO DO MOXOTÓ
26005,PETROLINA
26006,ITAPARICA
26007,VALE DO IPANEMA
26008,VALE DO IPOJUCA
26009,ALTO CAPIBARIBE
26010,MÉDIO CAPIBARIBE
26011,GARANHUNS
26012,BREJO PERNAMBUCANO
26013,MATA SETENTRIONAL PERNAMBUCANA
26014,VITÓRIA DE SANTO ANTÃO
26015,MATA MERIDIONAL PERNAMBUCANA
26016,ITAMARACÁ
26017,RECIFE
26018,SUAPE
26019,FERNANDO DE NORONHA
27001,SERRANA DO SERTÃO ALAGOANO
27002,ALAGOANA DO SERTÃO DO SÃO FRANCISCO
27003,SANTANA DO IPANEMA
27004,BATALHA
27005,PALMEIRA DOS ÍNDIOS
27006,ARAPIRACA
27007,TRAIPU
27008,SERRANA DOS QUILOMBOS
27009,MATA ALAGOANA
27010,LITORAL NORTE ALAGOANO
27011,MACEIÓ
27012,SÃO MIGUEL DOS CAMPOS
27013,PENEDO
28001,SERGIPANA DO SERTÃO DO SÃO FRANCISCO
28002,CARIRA
28003,NOSSA SENHORA DAS DORES
28004,AGRESTE DE ITABAIANA
28005,TOBIAS BARRETO
28006,AGRESTE DE LAGARTO
28007,PROPRIÁ
28008,COTINGUIBA
28009,JAPARATUBA
28010,BAIXO COTINGUIBA
28011,ARACAJU
28012,BOQUIM
28013,ESTÂNCIA
29001,BARREIRAS
29002,COTEGIPE
29003,SANTA MARIA DA VITÓRIA
29004,JUAZEIRO
29005,PAULO AFONSO
29006,BARRA
29007,BOM JESUS DA LAPA
29008,SENHOR DO BONFIM
29009,IRECÊ
29010,JACOBINA
29011,ITABERABA
29012,FEIRA DE SANTANA
29013,JEREMOABO
29014,EUCLIDES DA CUNHA
29015,RIBEIRA DO POMBAL
29016,SERRINHA
29017,ALAGOINHAS
29018,ENTRE RIOS
29019,CATU
