ID,Name
1101,MADEIRA-GUAPORÉ
1102,LESTE RONDONIENSE
1201,VALE DO JURUÁ
1202,VALE DO ACRE
1301,NORTE AMAZONENSE
1302,SUDOESTE AMAZONENSE
1303,CENTRO AMAZONENSE
1304,SUL AMAZONENSE
1401,NORTE DE RORAIMA
1402,SUL DE RORAIMA
1501,BAIXO AMAZONAS
1502,MARAJÓ
1503,METROPOLITANA DE BELÉM
1504,NORDESTE PARAENSE
1505,SUDOESTE PARAENSE
1506,SUDESTE PARAENSE
1601,NORTE DO AMAPÁ
1602,SUL DO AMAPÁ
1701,OCIDENTAL DO TOCANTINS
1702,ORIENTAL DO TOCANTINS
2101,NORTE MARANHENSE
2102,OESTE MARANHENSE
2103,CENTRO MARANHENSE
2104,LESTE MARANHENSE
2105,SUL MARANHENSE
2201,NORTE PIAUIENSE
2202,CENTRO-NORTE PIAUIENSE
2203,SUDOESTE PIAUIENSE
2204,SUDESTE PIAUIENSE
2301,NOROESTE CEARENSE
2302,NORTE CEARENSE
2303,METROPOLITANA DE FORTALEZA
2304,SERTÕES CEARENSES
2305,JAGUARIBE
2306,CENTRO-SUL CEARENSE
2307,SUL CEARENSE
2401,OESTE POTIGUAR
2402,CENTRAL POTIGUAR
2403,AGRESTE POTIGUAR
2404,LESTE POTIGUAR
2501,SERTÃO PARAIBANO
2502,BORBOREMA
2503,AGRESTE PARAIBANO
2504,MATA PARAIBANA
2601,SERTÃO PERNAMBUCANO
2602,SÃO FRANCISCO PERNAMBUCANO
2603,AGRESTE PERNAMBUCANO
2604,MATA PERNAMBUCANA
2605,METROPOLITANA DE RECIFE
2701,SERTÃO ALAGOANO
2702,AGRESTE ALAGOANO
2703,LESTE ALAGOANO
2801,SERTÃO SERGIPANO
2802,AGRESTE SERGIPANO
2803,LESTE SERGIPANO
2901,EXTREMO OESTE BAIANO
2902,VALE SÃO-FRANCISCANO DA BAHIA
2903,CENTRO NORTE BAIANO
2904,NORDESTE BAIANO
2905,METROPOLITANA DE SALVADOR
2906,CENTRO SUL BAIANO
2907,SUL BAIANO
3101,NOROESTE DE MINAS
3102,NORTE DE MINAS
3103,JEQUITINHONHA
3104,VALE DO MUCURI
3105,TRIÂNGULO MINEIRO/ALTO PARANAÍBA
3106,CENTRAL MINEIRA
3107,METROPOLITANA DE BELO HORIZONTE
3108,VALE DO RIO DOCE
3109,OESTE DE MINAS
3110,SUL/SUDOESTE DE MINAS
3111,CAMPO DAS VERTENTES
3112,ZONA DA MATA
3201,NOROESTE ESPÍRITO-SANTENSE
3202,LITORAL NORTE ESPÍRITO-SANTENSE
3203,CENTRAL ESPÍRITO-SANTENSE
3204,SUL ESPÍRITO-SANTENSE
3301,NOROESTE FLUMINENSE
3302,NORTE FLUMINENSE
3303,CENTRO FLUMINENSE
3304,BAIXADAS
3305,SUL FLUMINENSE
3306,METROPOLITANA DO RIO DE JANEIRO
3501,SÃO JOSÉ DO RIO PRETO
3502,RIBEIRÃO PRETO
3503,ARAÇATUBA
3504,BAURU
3505,ARARAQUARA
3506,PIRACICABA
3507,CAMPINAS
3508,PRESIDENTE PRUDENTE
3509,MARÍLIA
3510,ASSIS
3511,ITAPETININGA
3512,MACRO METROPOLITANA PAULISTA
3513,VALE DO PARAÍBA PAULISTA
3514,LITORAL SUL PAULISTA
3515,METROPOLITANA DE SÃO PAULO
4101,NOROESTE PARANAENSE
4102,CENTRO OCIDENTAL PARANAENSE
4103,NORTE CENTRAL PARANAENSE
4104,NORTE PIONEIRO PARANAENSE
4105,CENTRO ORIENTAL PARANAENSE
4106,OESTE PARANAENSE
4107,SUDOESTE PARANAENSE
4108,CENTRO-SUL PARANAENSE
4109,SUDESTE PARANAENSE
4110,METROPOLITANA DE CURITIBA
4201,OESTE CATARINENSE
4202,NORTE CATARINENSE
4203,SERRANA
4204,VALE DO ITAJAÍ
4205,GRANDE FLORIANÓPOLIS
4206,SUL CATARINENSE
4301,NOROESTE RIO-GRANDENSE
4302,NORDESTE RIO-GRANDENSE
4303,CENTRO OCIDENTAL RIO-GRANDENSE
4304,CENTRO ORIENTAL RIO-GRANDENSE
4305,METROPOLITANA DE PORTO ALEGRE
4306,SUDOESTE RIO-GRANDENSE
4307,SUDESTE RIO-GRANDENSE
5001,PANTANAIS SUL MATO-GROSSENSE
5002,CENTRO NORTE DE MATO GROSSO DO SUL
5003,LESTE DE MATO GROSSO DO SUL
5004,SUDOESTE DE MATO GROSSO DO SUL
5101,NORTE MATO-GROSSENSE
5102,NORDESTE MATO-GROSSENSE
5103,SUDOESTE MATO-GROSSENSE
5104,CENTRO-SUL MATO-GROSSENSE
5105,SUDESTE MATO-GROSSENSE
5201,NOROESTE GOIANO
5202,NORTE GOIANO
5203,CENTRO GOIANO
5204,LESTE GOIANO
5205,SUL GOIANO
5301,DISTRITO FEDERAL
