ID,ISO 3166-2,Name
11,BR-RO,RONDÔNIA
12,BR-AC,ACRE
13,BR-AM,AMAZONAS
14,BR-RR,RORAIMA
15,BR-PA,PARÁ
16,BR-AP,AMAPÁ
17,BR-TO,TOCANTINS
21,BR-MA,MARANHÃO
22,BR-PI,PIAUÍ
23,BR-CE,CEARÁ
24,BR-RN,RIO GRANDE DO NORTE
25,BR-PB,PARAÍBA
26,BR-PE,PERNAMBUCO
27,BR-AL,ALAGOAS
28,BR-SE,SERGIPE
29,BR-BA,BAHIA
31,BR-MG,MINAS GERAIS
32,BR-ES,ESPÍRITO SANTO
33,BR-RJ,RIO DE JANEIRO
35,BR-SP,SÃO PAULO
41,BR-PR,PARANÁ
42,BR-SC,SANTA CATARINA
43,BR-RS,RIO GRANDE DO SUL
50,BR-MS,MATO GROSSO DO SUL
51,BR-MT,MATO GROSSO
52,BR-GO,GOIÁS
53,BR-DF,DISTRITO FEDERAL
