ID,ADM1_EN,short_name,ADM1_ZH
CN34,Anhui Province,Anhui,安徽省
CN11,Beijing Municipality,Beijing,北京市
CN50,Chongqing Municipality,Chongqing,重庆市
CN35,Fujian Province,Fujian,福建省
CN62,Gansu province,Gansu,甘肃省
CN44,Guangdong Province,Guangdong,广东省
CN45,Guangxi Zhuang Autonomous Region,Guangxi,广西壮族自治区
CN52,Guizhou Province,Guizhou,贵州省
CN46,Hainan Province,Hainan,海南省
CN13,Hebei Province,Hebei,河北省
CN23,Heilongjiang Province,Heilongjiang,黑龙江省
CN41,Henan Province,Henan,河南省
CN42,Hubei Province,Hubei,湖北省
CN43,Hunan Province,Hunan,湖南省
CN15,Inner Mongolia Autonomous Region,Inner Mongolia,内蒙古自治区
CN32,Jiangsu Province,Jiangsu,江苏省
CN36,Jiangxi Province,Jiangxi,江西省
CN22,Jilin Province,Jilin,吉林省
CN21,Liaoning Province,Liaoning,辽宁省
CN64,Ningxia Hui Autonomous Region,Ningxia,宁夏回族自治区
CN63,Qinghai Province,Qinghai,青海省
CN61,Shaanxi Province,Shaanxi,陕西省
CN37,Shandong Province,Shandong,山东省
CN31,Shanghai Municipality,Shanghai,上海市
CN14,Shanxi Province,Shanxi,山西省
CN51,Sichuan Province,Sichuan,四川省
CN12,Tianjin Municipality,Tianjin,天津市
CN54,Tibet Autonomous Region,Tibet,西藏自治区
CN65,Xinjiang Uygur Autonomous Region,Xinjiang,新疆维吾尔自治区
CN53,Yunnan Province,Yunnan,云南省
CN33,Zhejiang Province,Zhejiang,浙江省
CN82,Macao Special Administrative Region,Macao,澳门特别行政区
CN81,Hong Kong Special Administrative Region,Hong Kong,香港特别行政区
