"RS","RS_0","NUTS_1","NAME"
1,"10000000000","DEF","Schleswig-Holstein"
2,"20000000000","DE6","Hamburg"
3,"30000000000","DE9","Niedersachsen"
4,"40000000000","DE5","Bremen"
5,"50000000000","DEA","Nordrhein-Westfalen"
6,"60000000000","DE7","Hessen"
7,"70000000000","DEB","Rheinland-Pfalz"
8,"80000000000","DE1","Baden-Württemberg"
9,"90000000000","DE2","Bayern"
10,"100000000000","DEC","Saarland"
11,"110000000000","DE3","Berlin"
12,"120000000000","DE4","Brandenburg"
13,"130000000000","DE8","Mecklenburg-Vorpommern"
14,"140000000000","DED","Sachsen"
15,"150000000000","DEE","Sachsen-Anhalt"
16,"160000000000","DEG","Thüringen"
