ID,iso_a2,iso_a3,iso_n3,name_EN,name_short_EN,name_sort_EN,name_formal_EN,name_ISO_EN,name_ISO_FR,name_FR,name_Undata,name_WB,name_UN_EN,name_UN_FR,name_UN_ES,name_UN_RU,name_UN_CN,name_UN_AR
AL,AL,ALB,8,Albania,Albania,Albania,Republic of Albania,Albania,Albanie (l'),,Albania,Albania,Albania,Albanie,‏Albania,Албания,阿尔巴尼亚,ألبانيا
DE,DE,DEU,276,Germany,Germany,Germany,Federal Republic of Germany,Germany,Allemagne (l'),,Germany,Germany,Germany,Allemagne,‏Alemania,Германия,德国,ألمانيا
AT,AT,AUT,40,Austria,Austria,Austria,Republic of Austria,Austria,Autriche (l'),,Austria,Austria,Austria,Autriche,‏Austria,Австрия,奥地利,النمسا
BE,BE,BEL,56,Belgium,Belgium,Belgium,Kingdom of Belgium,Belgium,Belgique (la),,Belgium,Belgium,Belgium,Belgique,‏Bélgica,Бельгия,比利时,بلجيكا
BY,BY,BLR,112,Belarus,Belarus,Belarus,Republic of Belarus,Belarus,Bélarus (le),Biélorussie,Belarus,Belarus,Belarus,Bélarus,‏Belarús,Беларусь,白俄罗斯,بيلاروس
BA,BA,BIH,70,Bosnia and Herzegovina,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine (la),,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,‏Bosnia y Herzegovina,Босния и Герцеговина,波斯尼亚和黑塞哥维那,البوسنة والهرسك
BG,BG,BGR,100,Bulgaria,Bulgaria,Bulgaria,Republic of Bulgaria,Bulgaria,Bulgarie (la),,Bulgaria,Bulgaria,Bulgaria,Bulgarie,‏Bulgaria,Болгария,保加利亚,بلغاريا
CY,CY,CYP,196,Cyprus,Cyprus,Cyprus,Republic of Cyprus,Cyprus,Chypre,Chypre,Cyprus,Cyprus,Cyprus,Chypre,‏Chipre,Кипр,塞浦路斯,قبرص
HR,HR,HRV,191,Croatia,Croatia,Croatia,Republic of Croatia,Croatia,Croatie (la),,Croatia,Croatia,Croatia,Croatie,‏Croacia,Хорватия,克罗地亚,كرواتيا
DK,DK,DNK,208,Denmark,Denmark,Denmark,Kingdom of Denmark,Denmark,Danemark (le),,Denmark,Denmark,Denmark,Danemark,‏Dinamarca,Дания,丹麦,الدانمرك
ES,ES,ESP,724,Spain,Spain,Spain,Kingdom of Spain,Spain,Espagne (l'),,Spain,Spain,Spain,Espagne,‏España,Испания,西班牙,إسبانيا
EE,EE,EST,233,Estonia,Estonia,Estonia,Republic of Estonia,Estonia,Estonie (l'),,Estonia,Estonia,Estonia,Estonie,‏Estonia,стония,爱沙尼亚,إستونيا
FI,FI,FIN,246,Finland,Finland,Finland,Republic of Finland,Finland,Finlande (la),,Finland,Finland,Finland,Finlande,‏Finlandia,Финляндия,芬兰,فنلندا
FR,FR,FRA,250,France,France,France,French Republic,France,France (la),France (la),France,France,France,France,‏Francia,Франция,法国,فرنسا
EL,GR,GRC,300,Greece,Greece,Greece,Hellenic Republic,Greece,Grèce (la),,Greece,Greece,Greece,Grèce,‏Grecia,Греция,希腊,اليونان
HU,HU,HUN,348,Hungary,Hungary,Hungary,Republic of Hungary,Hungary,Hongrie (la),,Hungary,Hungary,Hungary,Hongrie,‏Hungría,Венгрия,匈牙利,هنغاريا
IE,IE,IRL,372,Ireland,Ireland,Ireland,Ireland,Ireland,Irlande (l'),,Ireland,Ireland,Ireland,Irlande,‏Irlanda,Ирландия,爱尔兰,آيرلندا
