ID,NUTS-2010
AT11,
AT12,
AT13,
AT21,
AT22,
AT31,
AT32,
AT33,
AT34,
BE10,
BE21,
BE22,
BE23,
BE24,
BE25,
BE31,
BE32,
BE33,
BE34,
BE35,
BG31,
BG32,
BG33,
BG34,
BG41,
BG42,
CH01,
CH02,
CH03,
CH04,
CH05,
CH06,
CH07,
CY00,
CZ01,
CZ02,
CZ03,
CZ04,
CZ05,
CZ06,
CZ07,
CZ08,
DE11,
DE12,
DE13,
DE14,
DE21,
DE22,
DE23,
DE24,
DE25,
DE26,
DE27,
DE30,
DE40,
DE50,
DE60,
DE71,
DE72,
DE73,
DE80,
DE91,
DE92,
DE93,
DE94,
DEA1,
DEA2,
DEA3,
DEA4,
DEA5,
DEB1,
DEB2,
DEB3,
DEC0,
DED2,
DED4,
DED5,
DEE0,
DEF0,
DEG0,
DK01,
DK02,
DK03,
DK04,
DK05,
EE00,
EL30,
EL41,
EL42,
EL43,
EL51,EL11
EL52,EL12
EL53,EL13
EL54,EL21
EL61,EL14
EL62,EL22
EL63,EL23
EL64,EL24
EL65,EL25
ES11,
ES12,
ES13,
ES21,
ES22,
ES23,
ES24,
ES30,
ES41,
ES42,
ES43,
ES51,
ES52,
ES53,
ES61,
ES62,
ES63,
ES64,
ES70,
FI19,
FI1B,
FI1C,
FI1D,
FI20,
FR10,
FR21,
FR22,
FR23,
FR24,
FR25,
FR26,
FR30,
FR41,
FR42,
FR43,
FR51,
FR52,
FR53,
FR61,
FR62,
FR63,
FR71,
FR72,
FRA1,FR91
FRA2,FR92
FRA3,FR93
FRA4,FR94
FRA5,
FR81,
FR82,
FR83,
HR03,
HR04,
HU10,
HU21,
HU22,
HU23,
HU31,
HU32,
HU33,
IE01,
IE02,
IS00,
ITC1,
ITC2,
ITC3,
ITC4,
ITF1,
ITF2,
ITF3,
ITF4,
ITF5,
ITF6,
ITG1,
ITG2,
ITH1,
ITH2,
ITH3,
ITH4,
ITH5,
ITI1,
ITI2,
ITI3,
ITI4,
LI00,
LT00,
LU00,
LV00,
ME00,
MK00,
MT00,
NL11,
NL12,
NL13,
NL21,
NL22,
NL23,
NL31,
NL32,
NL33,
NL34,
NL41,
NL42,
NO01,
NO02,
NO03,
NO04,
NO05,
NO06,
NO07,
PL11,
PL12,
PL21,
PL22,
PL31,
PL32,
PL33,
PL34,
PL41,
PL42,
PL43,
PL51,
PL52,
PL61,
PL62,
PL63,
PT11,
PT15,
PT16,
PT17,
PT18,
PT20,
PT30,
RO11,
RO12,
RO21,
RO22,
RO31,
RO32,
RO41,
RO42,
SE11,
SE12,
SE21,
SE22,
SE23,
SE31,
SE32,
SE33,
SI03,SI01
SI04,SI02
SK01,
SK02,
SK03,
SK04,
TR10,
TR21,
TR22,
TR31,
TR32,
TR33,
TR41,
TR42,
TR51,
TR52,
TR61,
TR62,
TR63,
TR71,
TR72,
TR81,
TR82,
TR83,
TR90,
TRA1,
TRA2,
TRB1,
TRB2,
TRC1,
TRC2,
TRC3,
UKC1,
UKC2,
UKD1,
UKD3,
UKD4,
UKD6,
UKD7,
UKE1,
UKE2,
UKE3,
UKE4,
UKF1,
UKF2,
UKF3,
UKG1,
UKG2,
UKG3,
UKH1,
UKH2,
UKH3,
UKI3,
UKI4,
UKI5,
UKI6,
UKI7,
UKJ1,
UKJ2,
UKJ3,
UKJ4,
UKK1,
UKK2,
UKK3,
UKK4,
UKL1,
UKL2,
UKM2,
UKM3,
UKM5,
UKM6,
UKN0,
