ID,ISO 3166-2,Name-Ar,Name-Fr
1,MA-01,طنجة - تطوان - الحسيمة,Tanger-Tétouan-Al Hoceima
2,MA-02,الشرق,Oriental
3,MA-03,فاس - مكناس,Fès-Meknès
4,MA-04,الرباط - سلا - القنيطرة,Rabat-Salé-Kénitra
5,MA-05,بني ملال - خنيفرة,Béni Mellal-Khénifra
6,MA-06,الدار البيضاء - سطات,Casablanca-Settat
7,MA-07,مراكش - آسفي,Marrakech-Safi
8,MA-08,درعة - تافيلالت,Drâa-Tafilalet
9,MA-09,سوس - ماسة,Souss-Massa
10,MA-10,كلميم - واد نون,Guelmim-Oued Noun
11,MA-11,العيون -  الساقية الحمراء,Laayoune-Sakia El Hamra
12,MA-12,الداخلة - وادي الذهب,Eddakhla-Oued Eddahab
