ID,Name,Name alt
95018,Argenteuil,Argenteuil
93039,LIle-Saint-Denis,LIle-Saint-Denis
93031,Epinay-sur-Seine,Epinay-sur-Seine
93030,Dugny,Dugny
91479,Paray-Vieille-Poste,Paray-Vieille-Poste
91432,Morangis,Morangis
92078,Villeneuve-la-Garenne,Villeneuve-la-Garenne
92025,Colombes,Colombes
92009,Bois-Colombes,Bois-Colombes
92050,Nanterre,Nanterre
92035,La Garenne-Colombes,La Garenne-Colombes
92026,Courbevoie,Courbevoie
92063,Rueil-Malmaison,Rueil-Malmaison
92062,Puteaux,Puteaux
92073,Suresnes,Suresnes
92064,Saint-Cloud,Saint-Cloud
92033,Garches,Garches
92012,Boulogne-Billancourt,Boulogne-Billancourt
92076,Vaucresson,Vaucresson
92047,Marnes-la-Coquette,Marnes-la-Coquette
92072,Sèvres,Sèvres
92040,Issy-les-Moulineaux,Issy-les-Moulineaux
92077,Ville-dAvray,Ville-dAvray
92075,Vanves,Vanves
92046,Malakoff,Malakoff
92048,Meudon,Meudon
92022,Chaville,Chaville
92023,Clamart,Clamart
92020,Châtillon,Châtillon
92007,Bagneux,Bagneux
92032,Fontenay-aux-Roses,Fontenay-aux-Roses
92060,Le Plessis-Robinson,Le Plessis-Robinson
92014,Bourg-la-Reine,Bourg-la-Reine
92071,Sceaux,Sceaux
92019,Châtenay-Malabry,Châtenay-Malabry
92036,Gennevilliers,Gennevilliers
92024,Clichy,Clichy
92004,Asnières-sur-Seine,Asnières-sur-Seine
92051,Neuilly-sur-Seine,Neuilly-sur-Seine
92044,Levallois-Perret,Levallois-Perret
92049,Montrouge,Montrouge
92002,Antony,Antony
93073,Tremblay-en-France,Tremblay-en-France
93078,Villepinte,Villepinte
93005,Aulnay-sous-Bois,Aulnay-sous-Bois
93059,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine
93072,Stains,Stains
93079,Villetaneuse,Villetaneuse
93007,Le Blanc-Mesnil,Le Blanc-Mesnil
93066,Saint-Denis,Saint-Denis
93071,Sevran,Sevran
93027,La Courneuve,La Courneuve
93013,Le Bourget,Le Bourget
93029,Drancy,Drancy
93046,Livry-Gargan,Livry-Gargan
93015,Coubron,Coubron
93001,Aubervilliers,Aubervilliers
91589,Savigny-sur-Orge,Savigny-sur-Orge
91326,Juvisy-sur-Orge,Juvisy-sur-Orge
91027,Athis-Mons,Athis-Mons
91687,Viry-Châtillon,Viry-Châtillon
93070,Saint-Ouen,Saint-Ouen
93014,Clichy-sous-Bois,Clichy-sous-Bois
93010,Bondy,Bondy
93008,Bobigny,Bobigny
93057,Les Pavillons-sous-Bois,Les Pavillons-sous-Bois
93055,Pantin,Pantin
93047,Montfermeil,Montfermeil
93053,Noisy-le-Sec,Noisy-le-Sec
93062,Le Raincy,Le Raincy
93077,Villemomble,Villemomble
93063,Romainville,Romainville
93061,Le Pré-Saint-Gervais,Le Pré-Saint-Gervais
93033,Gournay-sur-Marne,Gournay-sur-Marne
93074,Vaujours,Vaujours
93032,Gagny,Gagny
93045,Les Lilas,Les Lilas
93006,Bagnolet,Bagnolet
93050,Neuilly-sur-Marne,Neuilly-sur-Marne
93048,Montreuil,Montreuil
93064,Rosny-sous-Bois,Rosny-sous-Bois
93049,Neuilly-Plaisance,Neuilly-Plaisance
