ID,Name
950180601,CHATEAUBRIAND
930150000,COUBRON
940010000,ABLON-SUR-SEINE
751197515,AMERIQUE 15
751197311,VILLETTE 11
751197315,VILLETTE 15
751197601,COMBAT 1
751197610,COMBAT 10
751197608,COMBAT 8
751197518,AMERIQUE 18
751197512,AMERIQUE 12
751197517,AMERIQUE 17
751197520,AMERIQUE 20
751197604,COMBAT 4
751197306,VILLETTE 6
751197615,COMBAT 15
751197413,PONT DE FLANDRE 13
751197305,VILLETTE 5
751197513,AMERIQUE 13
751197313,VILLETTE 13
751197504,AMERIQUE 4
751197525,AMERIQUE 25
751197301,VILLETTE 1
751197318,VILLETTE 18
751197503,AMERIQUE 3
751197612,COMBAT 12
751197405,PONT DE FLANDRE 5
751166221,MUETTE 21
751166131,AUTEUIL 31
751166499,SEINE ET BERGES
751166406,CHAILLOT 6
751166128,AUTEUIL 28
751166310,PORTE DAUPHINE 10
751166121,AUTEUIL 21
751166218,MUETTE 18
751166404,CHAILLOT 4
751166101,AUTEUIL 1
751197411,PONT DE FLANDRE 11
751197310,VILLETTE 10
751197502,AMERIQUE 2
751197406,PONT DE FLANDRE 6
751197404,PONT DE FLANDRE 4
751166305,PORTE DAUPHINE 5
751197509,AMERIQUE 9
751010203,LES HALLES 3
751010103,SAINT-GERMAIN L'AUXERROIS 3
751010302,PALAIS ROYAL 2
751010301,PALAIS ROYAL 1
751010303,PALAIS ROYAL 3
751010101,SAINT-GERMAIN L'AUXERROIS 1
751010206,LES HALLES 6
751010201,LES HALLES 1
751010204,LES HALLES 4
751010102,SAINT-GERMAIN L'AUXERROIS 2
751041699,SEINE ET BERGES
751041502,ARSENAL 2
751041501,ARSENAL 1
751124577,BOIS DE VINCENNES
751124601,PICPUS 1
751124503,BEL AIR 3
751124621,PICPUS 21
751124505,BEL AIR 5
751124811,QUINZE VINGTS 11
751124612,PICPUS 12
751124619,PICPUS 19
751124806,QUINZE VINGTS 6
751124511,BEL AIR 11
751124809,QUINZE VINGTS 9
751124618,PICPUS 18
751124677,BOIS DE VINCENNES
751124616,PICPUS 16
751124506,BEL AIR 6
751124602,PICPUS 2
751124804,QUINZE VINGTS 4
751124507,BEL AIR 7
751166277,BOIS DE BOULOGNE
751166217,MUETTE 17
751166129,AUTEUIL 29
751166306,PORTE DAUPHINE 6
751166117,AUTEUIL 17
751166105,AUTEUIL 5
751166209,MUETTE 9
751166130,AUTEUIL 30
751166402,CHAILLOT 2
751166205,MUETTE 5
751166127,AUTEUIL 27
751197524,AMERIQUE 24
751166177,BOIS DE BOULOGNE
751166120,AUTEUIL 20
751166407,CHAILLOT 7
751166410,CHAILLOT 10
751166413,CHAILLOT 13
751166213,MUETTE 13
751166126,AUTEUIL 26
751166208,MUETTE 8
751166301,PORTE DAUPHINE 1
751197519,AMERIQUE 19
751197506,AMERIQUE 6
751197514,AMERIQUE 14
751197611,COMBAT 11
751197511,AMERIQUE 11
751197409,PONT DE FLANDRE 9
751197488,CANAL ST-DENIS
751197614,COMBAT 14
751197607,COMBAT 7
751197516,AMERIQUE 16
751197408,PONT DE FLANDRE 8
751197603,COMBAT 3
751197401,PONT DE FLANDRE 1
751197312,VILLETTE 12
751197606,COMBAT 6
751197522,AMERIQUE 22
751197609,COMBAT 9
751197314,VILLETTE 14
751197617,BUTTES CHAUMONT
751197388,BASSIN DE LA VILLETTE
751197507,AMERIQUE 7
751197317,VILLETTE 17
751197302,VILLETTE 2
751197613,COMBAT 13
751197407,PONT DE FLANDRE 7
920470000,MARNES-LA-COQUETTE
910270109,QUARTIER 9
910270104,QUARTIER 4
910270106,QUARTIER 6
910270112,QUARTIER 12
910270101,QUARTIER 1
910270107,QUARTIER 7
910270105,QUARTIER 5
910270108,QUARTIER 8
910270102,QUARTIER 2
910270114,QUARTIER 14
910270113,QUARTIER 13
910270111,QUARTIER 11
910270103,QUARTIER 3
910270110,QUARTIER 10
913260103,CENTRE VILLE
913260101,SEINE
913260201,TERRASSE
913260202,PLATEAU
913260102,ENTREVOIES
914320102,L'AVENIR
914320104,POIRIER-MARLE
914320101,CROIX BOISSELIERE-BLES D'OR
914320103,ORMETEAU
914790101,HENRI BARBUSSE
914790102,PIERRE LECORRE
914790104,AEROPORT ORLY
914790103,MAXIME VEDY
915890115,QUARTIER 15
915890104,QUARTIER 4
915890110,QUARTIER 10
915890116,QUARTIER 16
915890111,QUARTIER 11
915890114,QUARTIER 14
915890108,QUARTIER 8
915890113,QUARTIER 13
915890109,QUARTIER 9
915890103,QUARTIER 3
915890112,QUARTIER 12
915890101,QUARTIER 1
915890106,QUARTIER 6
915890107,QUARTIER 7
915890102,QUARTIER 2
915890105,QUARTIER 5
916870106,CENTRE VILLE 2
916870101,CHATILLON 1
916870103,LA CILOF 1
916870110,LE PLATEAU 2
916870102,CHATILLON 2
916870112,LE PLATEAU 4
916870109,LE PLATEAU 1
916870105,CENTRE VILLE 1
916870107,PORT AVIATION 1
916870111,LE PLATEAU 3
916870104,LA CILOF 2
916870108,PORT AVIATION 2
920020101,PARC DE SCEAUX
920020404,CLINIQUE DU BOIS DE VERRIERES
920020405,ANCIEN CIMETIERE
920020302,PARVIS DU BREUIL ET DE LA BIEVRE
920020103,LA FONTAINE
920020203,CHEMIN DE FER
920020306,LIONEL TERRAY
920020107,JEAN MOULIN
920020406,BAS GRAVIERS
920020106,VELPEAU
920020204,BOIS DE L'AURORE
920020307,FONTAINE MOUTON
920020202,GUILLEBAUD
920020402,CELINE
920020301,PAJEAUD
920020401,PARC HELLER
920020407,LES GODETS
920020104,US METRO
920020308,BACONNETS
920020201,ONZE NOVEMBRE
920020105,CROIX-DE-BERNY
920020102,NOUVEAU CIMETIERE
920020304,CONSERVATOIRE DARIUS MILHAUD
920020305,GRAND L
920020303,FONTAINE MICHALON
920020403,HOTEL DE VILLE
920020205,ZONE D'ACTIVITE
920040201,MAGENTA I
920040401,MAIRIE I
920040303,PHILOSOPHES I
920040703,NORD III
920040402,MAIRIE II
920040404,MAIRIE IV
920040604,METRO
920040707,ARGENTEUIL
920040701,NORD I
920040501,GRESILLONS I
920040105,BECON III
920040104,BECON II
920040103,BECON I
920040602,RENOIR II
920040305,PHILOSOPHES III
920040102,FLACHAT II
920040502,GRESILLONS II
920040302,ALMA II
920040101,FLACHAT I
920040403,MAIRIE III
920040202,CHAMPS
920040702,NORD II
920040301,ALMA I
920040706,FREYCINET II
920040704,NORD IV
920040504,GRESILLONS IV
920040705,FREYCINET I
920040203,MAGENTA II
920040603,RENOIR III
920040503,GRESILLONS III
920040304,PHILOSOPHES II
920040601,RENOIR I
920070103,QUARTIER 3
920070102,QUARTIER 2
920070114,QUARTIER 14
920070117,QUARTIER 17
920070104,QUARTIER 4
920070116,QUARTIER 16
920070111,QUARTIER 11
920070105,QUARTIER 5
920070110,QUARTIER 10
920070106,QUARTIER 6
920070109,QUARTIER 9
920070108,QUARTIER 8
920070115,QUARTIER 15
920070107,QUARTIER 7
920070101,QUARTIER 1
920070112,QUARTIER 12
920070113,QUARTIER 13
920090101,LEPINE-BINET
920090102,GLATZ-MIVIERE
920090108,DEROULEDE-LECLERC-ALBERT
920090103,GUYOT-DE GAULLE
920090109,DUFLOS-GERALDY
920090110,JAURES-VAUDREUIL
920090105,PAIX-ETIENNE D'ORVES
920090106,HUGO-BEL AIR
920090112,FAIDHERBE-PASTEUR
920090111,JAURES-LITOLFF
920090104,CHEFSON-DE GAULLE
920090107,VERDUN-LECONTE
920120701,X 1
920120206,DENFERT-ROCHEREAU 6
920120304,CENTRE VILLE 4
920120501,RENAULT 1
920120105,SALLE DES FETES 5
920120504,RENAULT 4
920120303,CENTRE VILLE 3
920120602,PIERRE GRENIER 2
920120301,CENTRE VILLE 1
920120705,X 5
920120102,SALLE DES FETES 2
920120101,SALLE DES FETES 1
920120403,MARECHAL JUIN 3
920120707,X 7
920120207,DENFERT-ROCHEREAU 7
920120208,DENFERT-ROCHEREAU 8
920120103,SALLE DES FETES 3
920120302,CENTRE VILLE 2
920120201,DENFERT-ROCHEREAU 1
920120506,RENAULT 6
920120505,RENAULT 5
920120603,PIERRE GRENIER 3
920120203,DENFERT-ROCHEREAU 3
920120406,MARECHAL JUIN 6
920120601,PIERRE GRENIER 1
920120702,X 2
920120502,RENAULT 2
920120704,X 4
920120706,X 6
920120305,CENTRE VILLE 5
920120405,MARECHAL JUIN 5
920120107,SALLE DES FETES 7
920120402,MARECHAL JUIN 2
920120106,SALLE DES FETES 6
920120703,X 3
920120202,DENFERT-ROCHEREAU 2
920120204,DENFERT-ROCHEREAU 4
920120205,DENFERT-ROCHEREAU 5
920120401,MARECHAL JUIN 1
920120604,PIERRE GRENIER 4
920120404,MARECHAL JUIN 4
920120503,RENAULT 3
920140104,LE CLOS DU LUXEMBOURG_CENTRE VILLE
920140103,LE PORT GALAND
920140102,LES BLAGIS
920140105,MIREBEAU
920140101,LES BAS COQUARTS
920140108,LE PETIT CHAMBORD
920140106,LA FAIENCERIE_LE CLOS SAINT-CYR
920140107,LE PAVE DE L'HAY
920190109,PETIT CHATENAY
920190106,BUTTE ROUGE 1
920190110,VOLTAIRE
920190111,CROIX BLANCHE
920190105,DIVISION LECLERC
920190113,FAULOTTE
920190101,MALABRY
920190104,HOUSSIERES
920190114,COLBERT
920190112,SEIGNELAY
920190103,AULNAY
920190107,BUTTE ROUGE 2
