ID,code postal,nom,nom cap
98812,98850,Koumac,KOUMAC
98832,98834,Yaté,YATE
98833,98818,Kouaoua,KOUAOUA
98821,98889,Païta,PAITA
98823,98823,Ponérihouen,PONERIHOUEN
98804,98813,Canala,CANALA
98831,98833,Voh,VOH
98820,98814,Ouvéa,OUVEA
98805,98835,Dumbéa,DUMBEA
98803,98870,Bourail,BOURAIL
98829,98829,Thio,THIO
98816,98819,Moindou,MOINDOU
98802,98812,Boulouparis,BOULOUPARIS
98807,98815,Hienghène,HIENGHENE
98811,98859,Koné,KONE
98826,98826,Poum,POUM
98814,98820,Lifou,LIFOU
98806,98881,Farino,FARINO
98817,98809,Mont Dore,MONT DORE
98813,98880,La Foa,LA FOA
98825,98825,Pouembout,POUEMBOUT
98828,98882,Sarraméa,SARRAMEA
98801,98811,Belep,BELEP
98815,98828,Maré,MARE
98809,98832,Ile des Pins,ILE DES PINS
98818,98800,Nouméa,NOUMEA
98808,98816,Houailou,HOUAILOU
98822,98822,Poindimié,POINDIMIE
98819,98821,Ouégoa,OUEGOA
98810,98817,Kaala Gomen,KAALA GOMEN
98827,98827,Poya,POYA
98824,98824,Pouébo,POUEBO
98830,98831,Touho,TOUHO
