ID,GEOID2,STUSPS,ISO 3166-2,Name
01,0400000US01,AL,US-AL,Alabama
02,0400000US02,AK,US-AK,Alaska
04,0400000US04,AZ,US-AZ,Arizona
05,0400000US05,AR,US-AR,Arkansas
06,0400000US06,CA,US-CA,California
08,0400000US08,CO,US-CO,Colorado
09,0400000US09,CT,US-CT,Connecticut
10,0400000US10,DE,US-DE,Delaware
11,0400000US11,DC,US-DC,District of Columbia
12,0400000US12,FL,US-FL,Florida
13,0400000US13,GA,US-GA,Georgia
15,0400000US15,HI,US-HI,Hawaii
16,0400000US16,ID,US-ID,Idaho
17,0400000US17,IL,US-IL,Illinois
18,0400000US18,IN,US-IN,Indiana
19,0400000US19,IA,US-IA,Iowa
20,0400000US20,KS,US-KS,Kansas
21,0400000US21,KY,US-KY,Kentucky
22,0400000US22,LA,US-LA,Louisiana
23,0400000US23,ME,US-ME,Maine
24,0400000US24,MD,US-MD,Maryland
25,0400000US25,MA,US-MA,Massachusetts
26,0400000US26,MI,US-MI,Michigan
27,0400000US27,MN,US-MN,Minnesota
28,0400000US28,MS,US-MS,Mississippi
29,0400000US29,MO,US-MO,Missouri
30,0400000US30,MT,US-MT,Montana
31,0400000US31,NE,US-NE,Nebraska
32,0400000US32,NV,US-NV,Nevada
33,0400000US33,NH,US-NH,New Hampshire
34,0400000US34,NJ,US-NJ,New Jersey
35,0400000US35,NM,US-NM,New Mexico
36,0400000US36,NY,US-NY,New York
37,0400000US37,NC,US-NC,North Carolina
38,0400000US38,ND,US-ND,North Dakota
39,0400000US39,OH,US-OH,Ohio
40,0400000US40,OK,US-OK,Oklahoma
41,0400000US41,OR,US-OR,Oregon
42,0400000US42,PA,US-PA,Pennsylvania
72,0400000US72,PR,US-PR,Puerto Rico
44,0400000US44,RI,US-RI,Rhode Island
45,0400000US45,SC,US-SC,South Carolina
46,0400000US46,SD,US-SD,South Dakota
47,0400000US47,TN,US-TN,Tennessee
48,0400000US48,TX,US-TX,Texas
49,0400000US49,UT,US-UT,Utah
50,0400000US50,VT,US-VT,Vermont
51,0400000US51,VA,US-VA,Virginia
53,0400000US53,WA,US-WA,Washington
54,0400000US54,WV,US-WV,West Virginia
55,0400000US55,WI,US-WI,Wisconsin
56,0400000US56,WY,US-WY,Wyoming
