ISO3,HDI rank,Country,IDH_1990,IDH_2014,IDH_1990_2014
AFG,171,Afghanistan,"0,29668083","0,46526426","56,82316233"
ALB,85,Albania,"0,624210264","0,732765803","17,39086095"
DZA,83,Algeria,"0,574485736","0,735623767","28,04909178"
ARG,40,Argentina,"0,705389952","0,835572018","18,4553333"
ARM,85,Armenia,"0,632173492","0,732982583","15,94642808"
AUS,2,Australia,"0,865475509","0,93495825","8,028273556"
AUT,23,Austria,"0,793513844","0,88502726","11,53268047"
BHR,45,Bahrain,"0,746099292","0,823921957","10,43060428"
BGD,142,Bangladesh,"0,385813599","0,570099974","47,76565043"
BRB,57,Barbados,"0,716245279","0,785458413","9,663328441"
BEL,21,Belgium,"0,806424492","0,890262992","10,39632363"
BLZ,101,Belize,"0,644293163","0,714982235","10,97156947"
BEN,166,Benin,"0,343569882","0,47963511","39,60336318"
BOL,119,Bolivia (Plurinational State of),"0,535945457","0,661830764","23,488455"
BWA,106,Botswana,"0,58407431","0,697918743","19,49142952"
BRA,75,Brazil,"0,608048387","0,755291956","24,21576507"
BRN,31,Brunei Darussalam,"0,782096563","0,855615865","9,400284409"
BGR,59,Bulgaria,"0,694715678","0,781675314","12,51729859"
BDI,184,Burundi,"0,294857362","0,399928329","35,63450684"
KHM,143,Cambodia,"0,364241794","0,554758321","52,30496055"
CMR,153,Cameroon,"0,442547914","0,511806528","15,64996951"
CAN,9,Canada,"0,848629776","0,913178984","7,606286094"
CAF,187,Central African Republic,"0,31407694","0,350131068","11,47939353"
CHL,42,Chile,"0,699150259","0,832178477","19,02712857"
CHN,90,China,"0,50057324","0,727494941","45,33236749"
COL,97,Colombia,"0,596039019","0,7201704","20,82604938"
COG,136,Congo,"0,533798538","0,590621541","10,64502768"
COD,176,Congo (Democratic Republic of the),"0,354985315","0,433135354","22,01500621"
CRI,69,Costa Rica,"0,651634307","0,765746905","17,5117542"
CIV,172,Côte d'Ivoire,"0,388765497","0,462221997","18,89480949"
HRV,47,Croatia,"0,669827375","0,817539869","22,05232266"
CUB,67,Cuba,"0,675015883","0,769011135","13,92489493"
CYP,32,Cyprus,"0,733354174","0,849745435","15,8710846"
CZE,28,Czech Republic,"0,761287634","0,870090821","14,29199447"
DNK,4,Denmark,"0,798723449","0,923327926","15,60045313"
DOM,101,Dominican Republic,"0,595965058","0,715028472","19,97825413"
ECU,88,Ecuador,"0,644967214","0,731674443","13,44366464"
EGY,108,Egypt,"0,546480367","0,689948655","26,25314589"
SLV,116,El Salvador,"0,521549027","0,665784288","27,65516831"
EST,30,Estonia,"0,725815239","0,860835015","18,60249948"
FJI,90,Fiji,"0,631182072","0,727135774","15,2022225"
FIN,24,Finland,"0,783434301","0,882727787","12,67413055"
FRA,22,France,"0,779266918","0,888107437","13,96703949"
GAB,110,Gabon,"0,61977326","0,683512932","10,28435332"
GMB,175,Gambia,"0,329547956","0,440649497","33,71331521"
DEU,6,Germany,"0,800912566","0,916079908","14,37951483"
GHA,140,Ghana,"0,455533997","0,579090287","27,12339582"
GRC,29,Greece,"0,759228559","0,865187181","13,95609017"
GTM,128,Guatemala,"0,482603755","0,627208788","29,9635118"
GUY,124,Guyana,"0,542442897","0,635715749","17,19496246"
HTI,163,Haiti,"0,417262769","0,483373299","15,8438604"
HND,131,Honduras,"0,506862422","0,606054608","19,56984401"
HKG,12,"Hong Kong, China (SAR)","0,781189562","0,90995187","16,48285057"
HUN,44,Hungary,"0,70288924","0,828350453","17,84935744"
ISL,16,Iceland,"0,801619831","0,899412127","12,19933587"
IND,130,India,"0,428303476","0,608692727","42,1171578"
IDN,110,Indonesia,"0,530659094","0,683759559","28,85100178"
IRN,69,Iran (Islamic Republic of),"0,566521948","0,765590711","35,1387556"
IRQ,121,Iraq,"0,572200722","0,653860839","14,27123632"
IRL,6,Ireland,"0,770015305","0,915541562","18,89913822"
ISR,18,Israel,"0,785214868","0,894272981","13,8889516"
ITA,27,Italy,"0,765973355","0,873022984","13,97563355"
JAM,99,Jamaica,"0,671223738","0,718529602","7,047704308"
JPN,20,Japan,"0,814100255","0,890593213","9,396012033"
JOR,80,Jordan,"0,622613313","0,748328542","20,1915421"
KAZ,56,Kazakhstan,"0,689521646","0,787982452","14,27958169"
KEN,145,Kenya,"0,47330872","0,548409285","15,86714168"
KOR,17,Korea (Republic of),"0,731343442","0,898334135","22,83341626"
KWT,48,Kuwait,"0,715277817","0,816271768","14,11954177"
KGZ,120,Kyrgyzstan,"0,615123166","0,655273515","6,527204804"
LAO,141,Lao People's Democratic Republic,"0,397400471","0,575044891","44,70161297"
LVA,46,Latvia,"0,69231001","0,81876601","18,26580538"
LSO,161,Lesotho,"0,492627466","0,496532149","0,792623852"
LBY,94,Libya,"0,678754112","0,724464011","6,734382623"
LTU,37,Lithuania,"0,730152815","0,839421883","14,96523271"
LUX,19,Luxembourg,"0,779324719","0,891851627","14,43902716"
MWI,173,Malawi,"0,283586409","0,445415565","57,0652012"
MYS,62,Malaysia,"0,641248829","0,779245824","21,52003855"
MLI,179,Mali,"0,233219023","0,419288836","79,78329121"
MLT,37,Malta,"0,729134802","0,83897834","15,06491494"
MRT,156,Mauritania,"0,373215428","0,505867208","35,54295199"
MUS,63,Mauritius,"0,619031729","0,776552444","25,4463072"
MEX,74,Mexico,"0,647597939","0,756207912","16,77120418"
MDA,107,Moldova (Republic of),"0,652060984","0,693302691","6,324823608"
MNG,90,Mongolia,"0,577852353","0,726620589","25,74502564"
MAR,126,Morocco,"0,4571569","0,627953662","37,36064382"
MOZ,180,Mozambique,"0,217599506","0,416427561","91,37339463"
MMR,148,Myanmar,"0,352454418","0,535560678","51,95175607"
NAM,126,Namibia,"0,577772674","0,627616308","8,626858882"
NPL,145,Nepal,"0,384094276","0,547536525","42,55263852"
NLD,5,Netherlands,"0,829240422","0,921793512","11,16118888"
NZL,9,New Zealand,"0,820072095","0,913497656","11,39235946"
NIC,125,Nicaragua,"0,49481293","0,631432134","27,61027358"
NER,188,Niger,"0,213981438","0,348254389","62,74981252"
NOR,1,Norway,"0,849367673","0,94387728","11,12705483"
PAK,147,Pakistan,"0,399396241","0,538381762","34,79890551"
PAN,60,Panama,"0,655583357","0,779677597","18,92882701"
PNG,158,Papua New Guinea,"0,352598134","0,505259362","43,29609631"
PRY,112,Paraguay,"0,578796717","0,679164356","17,34074079"
PER,84,Peru,"0,61315742","0,734203129","19,74137554"
PHL,115,Philippines,"0,585814348","0,668218346","14,06657209"
POL,36,Poland,"0,712556068","0,842677828","18,26126611"
PRT,43,Portugal,"0,709946947","0,830095297","16,92356739"
QAT,32,Qatar,"0,754185531","0,849768365","12,67364994"
ROU,52,Romania,"0,703333886","0,79279742","12,71992375"
RUS,50,Russian Federation,"0,729225457","0,797870201","9,413377331"
RWA,163,Rwanda,"0,243972463","0,483240524","98,07174852"
WSM,105,Samoa,"0,620643185","0,702093945","13,12360505"
STP,143,Sao Tome and Principe,"0,455180676","0,555003909","21,93046376"
SAU,39,Saudi Arabia,"0,689514328","0,837273977","21,42952554"
SEN,170,Senegal,"0,366831006","0,465889127","27,00374812"
SRB,66,Serbia,"0,713616135","0,771149777","8,062267643"
SLE,181,Sierra Leone,"0,262053557","0,412779427","57,51720033"
SGP,11,Singapore,"0,717717456","0,91179782","27,04133257"
SVK,35,Slovakia,"0,737669196","0,843572119","14,35642474"
SVN,25,Slovenia,"0,765623426","0,88028084","14,97569313"
ZAF,116,South Africa,"0,621200549","0,665879394","7,1923384"
ESP,26,Spain,"0,756001393","0,876124307","15,88924517"
LKA,73,Sri Lanka,"0,620063286","0,756658911","22,02930373"
