English ID,Forest area (sq. km) 2011,Forest area (sq. km) 2012
Afghanistan,"13,500.0","13,500.0"
Albania,"7,751.6","7,740.2"
Algeria,"14,832.0","14,744.0"
American Samoa,176.8,176.4
Andorra,160.0,160.0
Angola,"583,552.0","582,304.0"
Antigua and Barbuda,98.0,98.0
Argentina,"291,602.0","289,204.0"
Armenia,"2,578.0","2,536.0"
Aruba,4.2,4.2
Australia,"1,483,760.0","1,474,520.0"
Austria,"38,920.0","38,970.0"
Azerbaijan,"9,360.0","9,360.0"
"Bahamas, The","5,150.0","5,150.0"
Bahrain,5.4,5.6
Bangladesh,"14,394.0","14,368.0"
Barbados,83.6,83.6
Belarus,"86,688.0","87,076.0"
Belgium,"6,788.4","6,798.8"
Belize,"13,834.0","13,738.0"
Benin,"45,110.0","44,610.0"
Bermuda,10.0,10.0
Bhutan,"32,598.0","32,706.0"
Bolivia,"568,884.0","565,808.0"
Bosnia and Herzegovina,"21,850.0","21,850.0"
Botswana,"112,326.0","111,142.0"
Brazil,"5,173,276.0","5,151,332.0"
Brunei Darussalam,"3,782.0","3,764.0"
Bulgaria,"39,822.0","40,374.0"
Burkina Faso,"55,890.0","55,290.0"
Burundi,"1,702.0","1,684.0"
Cabo Verde,847.9,856.9
Cambodia,"99,666.0","98,392.0"
Cameroon,"196,960.0","194,760.0"
Canada,"3,101,340.0","3,101,340.0"
Cayman Islands,127.0,127.0
Central African Republic,"225,750.0","225,450.0"
Chad,"114,458.0","113,666.0"
Chile,"162,686.0","163,062.0"
China,"2,096,239.4","2,123,872.8"
Colombia,"603,980.0","602,970.0"
Comoros,26.0,22.0
"Congo, Dem. Rep.","1,538,236.0","1,535,122.0"
"Congo, Rep.","223,990.0","223,870.0"
Costa Rica,"26,278.0","26,506.0"
Cote d'Ivoire,"104,026.0","104,022.0"
Croatia,"19,234.0","19,268.0"
Cuba,"29,046.0","29,392.0"
Curacao,,
Cyprus,"1,732.5","1,733.1"
Czech Republic,"26,590.0","26,610.0"
Denmark,"5,460.0","5,480.0"
Djibouti,56.0,56.0
Dominica,443.9,441.0
Dominican Republic,"19,720.0","19,720.0"
Ecuador,"96,674.0","94,698.0"
"Egypt, Arab Rep.",706.0,712.0
El Salvador,"2,826.0","2,782.0"
Equatorial Guinea,"16,142.0","16,024.0"
Eritrea,"15,276.0","15,232.0"
Estonia,"22,100.0","21,960.0"
Ethiopia,"121,552.0","120,144.0"
Faeroe Islands,1.0,1.0
Fiji,"10,174.0","10,208.0"
Finland,"221,570.0","221,570.0"
France,"160,020.0","160,500.0"
French Polynesia,"1,600.0","1,650.0"
Gabon,"220,000.0","220,000.0"
"Gambia, The","4,818.0","4,836.0"
Georgia,"27,397.4","27,371.8"
Germany,"110,760.0","110,760.0"
Ghana,"48,246.0","47,092.0"
Greece,"39,332.0","39,634.0"
Greenland,2.2,2.2
Grenada,169.9,169.9
Guam,258.8,258.8
Guatemala,"36,008.0","35,446.0"
Guinea,"65,080.0","64,720.0"
Guinea-Bissau,"20,120.0","20,020.0"
Guyana,"152,050.0","152,050.0"
Haiti,"1,002.0",994.0
Honduras,"50,720.0","49,520.0"
"Hong Kong SAR, China",,
Hungary,"20,382.0","20,474.0"
Iceland,308.0,317.0
India,"685,790.0","687,240.0"
Indonesia,"937,470.0","930,620.0"
"Iran, Islamic Rep.","110,750.0","110,750.0"
Iraq,"8,250.0","8,250.0"
Ireland,"7,478.0","7,566.0"
Isle of Man,34.6,34.6
Israel,"1,538.0","1,536.0"
Italy,"92,270.0","93,050.0"
Jamaica,"3,366.8","3,362.6"
Japan,"249,878.0","249,966.0"
Jordan,975.0,975.0
Kazakhstan,"33,034.0","32,978.0"
Kenya,"34,560.0","34,450.0"
Kiribati,121.5,121.5
"Korea, Dem. Rep.","55,394.0","54,128.0"
"Korea, Rep.","62,154.0","62,088.0"
Kuwait,63.9,65.3
Kyrgyz Republic,"9,707.0","9,876.0"
Lao PDR,"156,728.0","155,946.0"
Latvia,"33,654.0","33,768.0"
Lebanon,"1,369.8","1,370.6"
Lesotho,442.0,444.0
Liberia,"42,990.0","42,690.0"
Libya,"2,170.0","2,170.0"
Liechtenstein,69.0,69.0
Lithuania,"21,678.0","21,756.0"
Luxembourg,867.5,867.5
"Macao SAR, China",,
"Macedonia, FYR","10,026.0","10,072.0"
Madagascar,"124,960.0","124,390.0"
Malawi,"32,040.0","31,710.0"
Malaysia,"203,692.0","202,824.0"
Maldives,9.0,9.0
Mali,"124,110.0","123,320.0"
Malta,3.0,3.0
Marshall Islands,126.4,126.4
Mauritania,"2,370.0","2,320.0"
Mauritius,350.2,350.4
Mexico,"646,468.0","644,916.0"
"Micronesia, Fed. Sts.",641.6,641.8
Moldova,"3,906.0","3,952.0"
Monaco,,
Mongolia,"108,160.0","107,340.0"
Montenegro,"5,430.0","5,430.0"
Morocco,"51,410.0","51,510.0"
