RS,NUTS3,Fläche in km²,Einwohner insgesamt,Einwohner männlich,Einwohner weiblich,Einwohner je km2
01001,DEF01,"56,74",85942,42767,43175,1515
01002,DEF02,"118,65",246306,119835,126471,2076
01003,DEF03,"214,21",216253,103683,112570,1010
01004,DEF04,"71,63",79197,39118,40079,1106
01051,DEF05,"1428,15",132917,65512,67405,93
01053,DEF06,"1263,01",192999,94684,98315,153
01054,DEF07,"2082,76",163960,80319,83641,79
01055,DEF08,"1392,56",199574,96412,103162,143
01056,DEF09,"664,28",307471,150455,157016,463
01057,DEF0A,"1083,17",128304,62349,65955,118
01058,DEF0B,"2189,18",270378,133002,137376,124
01059,DEF0C,"2071,31",196839,97496,99343,95
01060,DEF0D,"1344,39",267503,131777,135726,199
01061,DEF0E,"1056,14",131457,65047,66410,124
02000,DE600,"755,3",1787408,873062,914346,2366
01062,DEF0F,"766,31",239614,117002,122612,313
03101,DE911,"192,18",251364,125001,126363,1308
03102,DE912,"223,92",101079,49898,51181,451
03103,DE913,"204,09",124045,61581,62464,608
03151,DE914,"1562,86",174205,87129,87076,111
03152,DE915,"1117,39",255653,126142,129511,229
03153,DE916,"965,29",138236,68245,69991,143
03154,DE917,"674,03",91500,45354,46146,136
03155,DE918,"1267,08",134896,66394,68502,106
03156,DE919,"636,02",73885,36192,37693,116
03157,DE91A,"534,97",132320,65493,66827,247
03158,DE91B,"722,56",120981,59846,61135,167
03241,DE929,"2290,86",1144481,559775,584706,500
03251,DE922,"1988,14",213976,106475,107501,108
03252,DE923,"796,15",148281,71606,76675,186
03254,DE925,"1206,03",277055,135007,142048,230
03255,DE926,"692,65",71659,35481,36178,103
03256,DE927,"1398,97",120632,59947,60685,86
03257,DE928,"675,57",156206,76229,79977,231
03351,DE931,"1545,20",177971,87543,90428,115
03352,DE932,"2057,55",198103,97064,101039,96
03353,DE933,"1245,03",248122,122089,126033,199
03354,DE934,"1220,72",50128,24991,25137,41
03355,DE935,"1323,68",180719,88448,92271,137
03356,DE936,"650,81",113579,56098,57481,175
03357,DE937,"2070,45",163253,82229,81024,79
03358,DE938,"1873,72",140264,70371,69893,75
03359,DE939,"1266,02",200054,99894,100160,158
03360,DE93A,"1454,22",93131,45631,47500,64
03361,DE93B,"787,97",134645,66140,68505,171
03401,DE941,"62,36",76323,37823,38500,1224
03402,DE942,"112,34",50694,25249,25445,451
03403,DE943,"102,99",163830,78259,85571,1591
03404,DE944,"119,80",162403,78275,84128,1356
03405,DE945,"106,79",75995,37244,38751,712
03451,DE946,"728,38",121435,59587,61848,167
03452,DE947,"1283,99",189199,93212,95987,147
03453,DE948,"1418,45",164734,83274,81460,116
03454,DE949,"2882,07",319488,162482,157006,111
03455,DE94A,"607,71",97900,47771,50129,161
03456,DE94B,"980,84",135662,67780,67882,138
03457,DE94C,"1067,74",167548,83431,84117,157
03458,DE94D,"1063,16",128608,63988,64620,121
03459,DE94E,"2121,63",358079,178475,179604,169
03460,DE94F,"812,63",137866,69535,68331,170
03461,DE94G,"821,29",89239,44649,44590,109
03462,DE94H,"656,57",57173,28071,29102,87
04011,DE501,"326,18",557464,274119,283345,1709
04012,DE502,"93,66",114025,56776,57249,1217
05111,DEA11,"217,41",612178,295896,316282,2816
05112,DEA12,"232,80",491231,241417,249814,2110
05113,DEA13,"210,34",582624,282565,300059,2770
05114,DEA14,"137,77",225144,109487,115657,1634
05116,DEA15,"170,47",259996,127512,132484,1525
05117,DEA16,"91,28",169278,81461,87817,1854
05119,DEA17,"77,09",210934,103284,107650,2736
05120,DEA18,"74,52",109499,53725,55774,1469
05122,DEA19,"89,54",158726,76948,81778,1773
05124,DEA1A,"168,39",350046,170822,179224,2079
05154,DEA1B,"1232,99",310337,154988,155349,252
05158,DEA1C,"407,22",483279,233448,249831,1187
05162,DEA1D,"576,52",450026,219650,230376,781
05166,DEA1E,"563,28",297661,145470,152191,528
05170,DEA1F,"1042,80",462664,226396,236268,444
05314,DEA22,"141,06",318809,151954,166855,2260
05315,DEA23,"405,02",1060582,516976,543606,2619
05316,DEA24,"78,87",163487,79590,83897,2073
05334,DEA2D,"706,95",553922,279260,274662,784
05358,DEA26,"941,37",262828,130522,132306,279
05362,DEA27,"704,71",466657,228450,238207,662
05366,DEA28,"1248,73",191165,94759,96406,153
05370,DEA29,"627,99",252527,124956,127571,402
05374,DEA2A,"918,84",273452,134670,138782,298
05378,DEA2B,"437,32",282729,137438,145291,647
05382,DEA2C,"1153,21",596213,292555,303658,517
05512,DEA31,"100,61",117143,57004,60139,1164
05513,DEA32,"104,94",260368,129267,131101,2481
05515,DEA33,"303,28",310039,148447,161592,1022
05554,DEA34,"1420,98",369666,184973,184693,260
05558,DEA35,"1112,04",218401,107953,110448,196
05562,DEA36,"761,31",617807,301893,315914,812
05566,DEA37,"1795,76",443374,220782,222592,247
05570,DEA38,"1319,41",277431,137265,140166,210
05711,DEA41,"258,82",333090,161148,171942,1287
05754,DEA42,"969,21",360642,180222,180420,372
05758,DEA43,"450,41",252122,123935,128187,560
05762,DEA44,"1201,42",144010,72006,72004,120
05766,DEA45,"1246,21",350750,172490,178260,281
05770,DEA46,"1152,41",313050,154488,158562,272
05774,DEA47,"1246,80",304332,152549,151783,244
05911,DEA51,"145,66",364742,177427,187315,2504
05913,DEA52,"280,71",586181,287846,298335,2088
05914,DEA53,"160,45",189044,92207,96837,1178
05915,DEA54,"226,43",179397,88166,91231,792
05916,DEA55,"51,42",155851,75940,79911,3031
05954,DEA56,"409,64",325954,158312,167642,796
05958,DEA57,"1960,17",263762,131764,131998,135
05962,DEA58,"1061,06",416171,204987,211184,392
05966,DEA59,"712,14",136365,68624,67741,191
05970,DEA5A,"1132,89",280800,139626,141174,248
05974,DEA5B,"1328,63",302995,151061,151934,228
