NUTS_1,Name,31.12.2006,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015
DE1,Baden-Württemberg,10738753,10749755,10749506,10744921,10753880,10512441,10569111,10631278,10716644,10879618
DE2,Bayern,12492658,12520332,12519728,12510331,12538696,12443372,12519571,12604244,12691568,12843514
DE3,Berlin,3404037,3416255,3431675,3442675,3460725,3326002,3375222,3421829,3469849,3520031
DE4,Brandenburg,2547772,2535737,2522493,2511525,2503273,2453180,2449511,2449193,2457872,2484826
DE5,Bremen,663979,663082,661866,661716,660706,652182,654774,657391,661888,671489
DE6,Hamburg,1754182,1770629,1772100,1774224,1786448,1718187,1734272,1746342,1762791,1787408
DE7,Hessen,6075359,6072555,6064953,6061951,6067021,5993771,6016481,6045425,6093888,6176172
DE8,Mecklenburg-Vorpommern,1693754,1679682,1664356,1651216,1642327,1606899,1600327,1596505,1599138,1612362
DE9,Niedersachsen,7982685,7971684,7947244,7928815,7918293,7774253,7778995,7790559,7826739,7926599
DEA,Nordrhein-Westfalen,18028745,17996621,17933064,17872763,17845154,17544938,17554329,17571856,17638098,17865516
DEB,Rheinland-Pfalz,4052860,4045643,4028351,4012675,4003745,3990033,3990278,3994366,4011582,4052803
DEC,Saarland,1043167,1036598,1030324,1022585,1017567,997855,994287,990718,989035,995597
DED,Sachsen,4249774,4220200,4192801,4168732,4149477,4054182,4050204,4046385,4055274,4084851
DEE,Sachsen-Anhalt,2441787,2412472,2381872,2356219,2335006,2276736,2259393,2244577,2235548,2245470
DEF,Schleswig-Holstein,2834254,2837373,2834260,2832027,2834259,2802266,2806531,2815955,2830864,2858714
DEG,Thüringen,2311140,2289219,2267763,2249882,2235025,2181603,2170460,2160840,2156759,2170714
