unique_number,id_no,rev_bis,name_en,name_fr,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en,states_name_fr,name_en,name_fr,iso_code,udnp_code,transboundary
230,208,Rev,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,2003,,Y 2003,"67,82525","34,84694","158,9265",1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et pacifique,af,afg,0
234,211,Rev,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,2002,,Y 2002,"64,51605556","34,39655556",70,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et pacifique,af,afg,0
1590,569,Bis,Historic Centres of Berat and Gjirokastra ,Centres historiques de Berat et de Gjirokastra ,2005,2008,,"20,13333333","40,06944444","58,9",0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du nord,al,alb,0
1563,570,ter,Butrint,Butrint,1992,1999,,"20,02611111","39,75111111",,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du nord,al,alb,0
111,102,,Al Qal'a of Beni Hammad,La Kalâa des Béni Hammad,1980,,,"4,78684","35,81844",150,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
209,188,,M'Zab Valley,Vallée du M'Zab,1982,,,"3,68333","32,48333","665,03",0,1,1,0,1,0,0,0,0,0,(ii)(iii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
212,191,,Djémila,Djémila,1982,,,"5,73667","36,32056","30,6",0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
215,194,,Timgad,Timgad,1982,,,"6,63333","35,45","90,54",0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
667,565,,Kasbah of Algiers,Casbah d'Alger,1992,,,"3,06028","36,78333",60,0,1,0,0,1,0,0,0,0,0,(ii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0
1487,1160,Bis,Madriu-Perafita-Claror Valley,La Vallée du Madriu-Perafita-Claror,2004,,,"1,595555556","42,49472222",4247,0,0,0,0,1,0,0,0,0,0,(v),Cultural,C,Andorra,Andorre,Europe and North America,Europe et Amérique du nord,ad,and,0
160,145,,Los Glaciares National Park,Parc national de Los Glaciares,1981,,,"-73,24944",-50,726927,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
340,303,,Iguazu National Park,Parc national de l'Iguazu,1984,,,"-54,13333333","-25,51805556",55000,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1091,936,,"Cueva de las Manos, Río Pinturas","Cueva de las Manos, Río Pinturas",1999,,,"-70,66666667","-47,15",600,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1130,966,,Ischigualasto / Talampaya Natural Parks,Parcs naturels d’Ischigualasto / Talampaya,2000,,,-68,-30,275369,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1159,995,,Jesuit Block and Estancias of Córdoba,Ensemble et les estancias jésuites de Córdoba,2000,,,"-64,19111","-31,42056","38,12",0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
1295,1116,,Quebrada de Humahuaca,Quebrada de Humahuaca,2003,,,"-65,34886111","-23,19986111","172116,4375",0,1,0,1,1,0,0,0,0,0,(ii)(iv)(v),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,0
920,777,Bis,Monasteries of Haghpat and Sanahin,Monastères de Haghbat et de Sanahin,1996,2000,,"44,71028","41,095","2,65",0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du nord,am,arm,0
1124,960,,Monastery of Geghard and the Upper Azat Valley,Monastère de Gherart et la Haute vallée de l’Azat,2000,,,"44,79667","40,15889","2,7",0,1,0,0,0,0,0,0,0,0,(ii),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du nord,am,arm,0
1181,1011,,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cathédrale et les églises d’Etchmiadzine et le site archéologique de Zvarnotz,2000,,,"44,29514","40,15931","74,3",0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du nord,am,arm,0
1872,147,Quater,Kakadu National Park,Parc national de Kakadu,1981,19 871 992,,"132,8333333","-12,83333333","1980994,92",1,0,0,0,0,1,1,0,1,1,(i)(vi)(vii)(ix)(x),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1457,166,rev,Sydney Opera House,Opéra de Sydney,2007,,0,"151,2152778","-33,85666667","5,8",1,0,0,0,0,0,0,0,0,0,(i),Cultural,C,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
185,167,,Willandra Lakes Region,Région des lacs Willandra,1981,,,143,-34,240000,0,0,1,0,0,0,0,1,0,0,(iii)(viii),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
206,186,,Lord Howe Island Group,Îles Lord Howe,1982,,,"159,0883333","-31,56555556",146300,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
422,368,bis,Gondwana Rainforests of Australia,Forêts humides Gondwana de l’Australie,1986,1994,,"150,05","-28,25",370000,0,0,0,0,0,0,0,1,1,1,(viii)(ix)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
519,447,rev,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Parc national d'Ulu<U>r</U>u-Kata Tju<U>t</U>a,1987,1994,,131,"-25,33333333",132566,0,0,0,0,1,1,1,1,0,0,(v)(vi)(vii)(viii),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
684,578,,"Shark Bay, Western Australia","Baie Shark, Australie occidentale",1991,,,"113,4361111","-25,48611111",2200902,0,0,0,0,0,0,1,1,1,1,(vii)(viii)(ix)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
748,630,,Fraser Island,Île Fraser,1992,,,"153,1333333","-25,21666667",184000,0,0,0,0,0,0,1,1,1,0,(vii)(viii)(ix),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
826,698,,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Sites fossilifères de mammifères d'Australie (Riversleigh / Naracoorte),1994,,,"138,7166667","-19,08333333",10300,0,0,0,0,0,0,0,1,1,0,(viii)(ix),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1071,917,,Greater Blue Mountains Area,Région des montagnes Bleues,2000,,,150,"-33,7",1032649,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1272,1094,,Purnululu National Park,Parc national de Purnululu,2003,,,"128,5","-17,5",239723,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1730,1131,Bis,Royal Exhibition Building and Carlton Gardens,Palais royal des expositions et jardins Carlton,2004,,,"144,9702778","-37,80611111",26,0,1,0,0,0,0,0,0,0,0,(ii),Cultural,C,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1648,1306,,Australian Convict Sites,Sites de bagnes australiens,2010,,,"150,9944444","-33,37833333","1502,51",0,0,0,1,0,1,0,0,0,0,(iv)(vi),Cultural,C,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
1763,1369,,Ningaloo Coast,Côte de Ningaloo,2011,,,"113,8102778","-22,5625",705015,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et pacifique,au,aus,0
927,784,,Historic Centre of the City of Salzburg,Centre historique de la ville de Salzbourg,1996,,,"13,04333333","47,80055556",236,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,Austria,Autriche,Europe and North America,Europe et Amérique du nord,at,aut,0
928,785,,Semmering Railway,Ligne de chemin de fer de Semmering,1998,,,"15,82797222","47,64877778","156,18",0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Austria,Autriche,Europe and North America,Europe et Amérique du nord,at,aut,0
929,786,,Palace and Gardens of Schönbrunn,Palais et  jardins de Schönbrunn,1996,,,"16,31333333","48,18666667","186,28",1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Austria,Autriche,Europe and North America,Europe et Amérique du nord,at,aut,0
