ID,Name,Name alt,POP 2008,POP 2013,POP 2014,POP_15_19a,POP_20_24a,POP_25_39a,POP_40_54a,POP_55_64a,POP_65_79a,POP_sup80a,%_15_19,%_20_24,%_25_39,%_40_54,%_55_64,%_65_79,%_sup80
95018,Argenteuil,Argenteuil,105256,108414,108865,6830,7299,23765,21154,10919,8507,3245,6.3,6.73,21.92,19.51,10.07,7.85,2.99
93039,LIle-Saint-Denis,LIle-Saint-Denis,7099,7028,7293,443,442,1567,1382,747,571,156,6.3,6.29,22.3,19.66,10.63,8.12,2.22
93031,Epinay-sur-Seine,Epinay-sur-Seine,52961,55079,55157,3721,4027,12488,10012,5404,4144,1274,6.76,7.31,22.67,18.18,9.81,7.52,2.31
93030,Dugny,Dugny,10597,10279,10420,698,661,2437,1959,929,664,214,6.79,6.43,23.71,19.06,09.04,6.46,02.08
91479,Paray-Vieille-Poste,Paray-Vieille-Poste,7197,7341,7378,444,434,1228,1633,857,967,443,06.05,5.91,16.73,22.24,11.67,13.17,06.03
91432,Morangis,Morangis,11874,12586,12583,862,785,2234,2789,1473,1437,505,6.85,6.24,17.75,22.16,11.7,11.42,04.01
92078,Villeneuve-la-Garenne,Villeneuve-la-Garenne,24861,25607,25007,1640,1804,5328,4883,2750,2080,614,6.4,07.04,20.81,19.07,10.74,8.12,2.4
92025,Colombes,Colombes,84493,85338,84392,5240,5064,18258,17972,8802,7116,2866,6.14,5.93,21.39,21.06,10.31,8.34,3.36
92009,Bois-Colombes,Bois-Colombes,28028,28869,28514,1585,1504,6406,6390,2853,2481,1224,5.49,5.21,22.19,22.13,9.88,8.59,4.24
92050,Nanterre,Nanterre,91450,94193,93509,6302,7114,20466,18798,9032,6629,2177,6.69,7.55,21.73,19.96,9.59,07.04,2.31
92035,La Garenne-Colombes,La Garenne-Colombes,26960,28847,29072,1567,1645,7051,6372,2811,2226,1094,5.43,5.7,24.44,22.09,9.74,7.72,3.79
92026,Courbevoie,Courbevoie,85374,86228,84658,4386,5331,22575,17601,8230,7174,3189,05.09,6.18,26.18,20.41,9.54,8.32,3.7
92063,Rueil-Malmaison,Rueil-Malmaison,78987,81357,79204,5152,4144,15816,17757,8766,7645,3472,6.33,05.09,19.44,21.83,10.77,9.4,4.27
92062,Puteaux,Puteaux,44665,44218,44506,1977,2596,12459,8956,4243,3701,1459,4.47,5.87,28.18,20.25,9.6,8.37,3.3
92073,Suresnes,Suresnes,45824,48573,48526,2711,2721,11707,10576,4502,3666,1829,5.58,5.6,24.1,21.77,9.27,7.55,3.77
92064,Saint-Cloud,Saint-Cloud,30284,29678,29360,1794,1632,5390,6180,3142,3210,1946,06.04,5.5,18.16,20.82,10.59,10.82,6.56
92033,Garches,Garches,18535,18164,17662,1194,862,2960,4078,1895,1911,1025,6.57,4.75,16.3,22.45,10.43,10.52,5.64
92012,Boulogne-Billancourt,Boulogne-Billancourt,113411,117947,116927,5574,7785,29402,23188,11873,12030,5864,4.73,6.6,24.93,19.66,10.07,10.2,4.97
92076,Vaucresson,Vaucresson,8974,9153,8747,615,418,1262,1936,1170,1020,552,6.72,4.57,13.79,21.15,12.78,11.14,06.03
92047,Marnes-la-Coquette,Marnes-la-Coquette,1721,1721,1712,142,98,203,395,175,220,80,8.25,5.69,11.8,22.95,10.17,12.78,4.65
92072,Sèvres,Sèvres,23609,23845,23206,1502,1354,4342,5018,2588,2535,999,6.3,5.68,18.21,21.04,10.85,10.63,4.19
92040,Issy-les-Moulineaux,Issy-les-Moulineaux,63997,66557,67360,3643,4079,17298,13990,6206,5300,2386,5.47,6.13,25.99,21.02,9.32,7.96,3.58
92077,Ville-dAvray,Ville-dAvray,11054,11496,11419,827,580,1723,2626,1214,1262,573,7.19,05.05,14.99,22.84,10.56,10.98,4.98
