ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
950180601,CHATEAUBRIAND,H,103,49,54,31,59,13,"47,57","52,43","30,10","57,28","12,62"
930150000,COUBRON,Z,4 713,2 305,2 408,1 218,2 759,737,"48,91","51,09","25,84","58,54","15,64"
940010000,ABLON-SUR-SEINE,Z,5 388,2 577,2 811,1 416,3 147,825,"47,83","52,17","26,28","58,41","15,31"
751197515,AMERIQUE 15,H,2 475,1 243,1 232,494,1 656,325,"50,22","49,78","19,96","66,91","13,13"
751197311,VILLETTE 11,H,2 872,1 361,1 511,570,1 915,387,"47,39","52,61","19,85","66,68","13,47"
751197315,VILLETTE 15,H,3 592,1 761,1 831,964,2 266,362,"49,03","50,97","26,84","63,08","10,08"
751197601,COMBAT 1,H,2 496,1 107,1 389,535,1 622,339,"44,35","55,65","21,43","64,98","13,58"
751197610,COMBAT 10,H,1 455,626,830,353,906,197,"43,02","57,04","24,26","62,27","13,54"
751197608,COMBAT 8,H,2 200,1 050,1 150,380,1 491,328,"47,73","52,27","17,27","67,77","14,91"
751197518,AMERIQUE 18,H,4 209,1 732,2 477,1 184,2 436,589,"41,15","58,85","28,13","57,88","13,99"
751197512,AMERIQUE 12,H,1 716,800,916,406,1 052,258,"46,62","53,38","23,66","61,31","15,03"
751197517,AMERIQUE 17,H,3 490,1 738,1 752,858,2 192,441,"49,80","50,20","24,58","62,81","12,64"
751197520,AMERIQUE 20,H,3 136,1 484,1 652,892,1 830,414,"47,32","52,68","28,44","58,35","13,20"
751197604,COMBAT 4,H,2 915,1 435,1 480,642,1 947,326,"49,23","50,77","22,02","66,79","11,18"
751197306,VILLETTE 6,H,3 004,1 340,1 664,808,1 709,486,"44,61","55,39","26,90","56,89","16,18"
751197615,COMBAT 15,H,2 250,1 075,1 175,487,1 498,265,"47,78","52,22","21,64","66,58","11,78"
