ID,Census division,2011,2012,2013,2014,2015,2016,2017
1001,"Division No. 1, Newfoundland and Labrador",268890,271272,273568,276159,278055,280548,281333
1002,"Division No. 2, Newfoundland and Labrador",21649,21447,21173,20930,20670,20540,20341
1003,"Division No. 3, Newfoundland and Labrador",16522,16305,16069,15835,15578,15336,15045
1004,"Division No. 4, Newfoundland and Labrador",21145,21006,20868,20687,20516,20417,20194
1005,"Division No. 5, Newfoundland and Labrador",41731,41711,41804,41739,41635,41690,41534
1006,"Division No. 6, Newfoundland and Labrador",37952,38281,38284,38336,38460,38600,38519
1007,"Division No. 7, Newfoundland and Labrador",35178,34948,34728,34461,34312,34168,33881
1008,"Division No. 8, Newfoundland and Labrador",37537,37062,36651,36262,35893,35523,34983
1009,"Division No. 9, Newfoundland and Labrador",16983,16710,16430,16076,15898,15735,15503
1010,"Division No. 10, Newfoundland and Labrador",24753,25008,25100,25182,25078,25048,24812
1011,"Division No. 11, Newfoundland and Labrador",2697,2700,2724,2719,2720,2700,2672
1101,"Kings, Prince Edward Island",18387,17995,17830,17628,17409,17385,17342
1102,"Queens, Prince Edward Island",80305,81846,82421,83606,84954,87514,90042
1103,"Prince, Prince Edward Island",45346,45239,44947,44681,44428,44573,44637
1201,"Shelburne, Nova Scotia",14772,14532,14287,14150,13955,14006,14046
1202,"Yarmouth, Nova Scotia",25771,25556,25185,24795,24615,24586,24552
1203,"Digby, Nova Scotia",18346,17986,17756,17634,17501,17508,17499
1204,"Queens, Nova Scotia",11140,11090,10875,10700,10623,10548,10469
1205,"Annapolis, Nova Scotia",21113,21101,21036,21082,21048,21121,21181
1206,"Lunenburg, Nova Scotia",48217,48048,47745,47396,47171,47181,47151
1207,"Kings, Nova Scotia",61957,61641,61276,61050,60858,60985,61061
1208,"Hants, Nova Scotia",43259,43328,43127,42906,42760,42678,42566
1209,"Halifax, Nova Scotia",402441,406794,410091,413600,416853,424975,431721
1210,"Colchester, Nova Scotia",52103,51971,51769,51536,51232,51369,51465
1211,"Cumberland, Nova Scotia",31933,31517,31089,30826,30583,30363,30118
1212,"Pictou, Nova Scotia",46595,46374,45997,45558,45103,44989,44825
1213,"Guysborough, Nova Scotia",8254,8161,7933,7710,7545,7441,7337
1214,"Antigonish, Nova Scotia",20047,19895,19689,19562,19495,19532,19544
1215,"Inverness, Nova Scotia",18260,17934,17607,17359,17198,17108,17012
1216,"Richmond, Nova Scotia",9438,9399,9290,9151,9004,8918,8827
1217,"Cape Breton, Nova Scotia",103586,102550,101317,100279,99174,98560,97823
1218,"Victoria, Nova Scotia",7237,7066,6980,6915,6827,6750,6672
1301,"Saint John, New Brunswick",77119,76852,76443,76028,76112,76866,77335
1302,"Charlotte, New Brunswick",26622,26516,26236,25937,25716,25684,25627
1303,"Sunbury, New Brunswick",27530,27808,27783,27738,27582,27634,27721
1304,"Queens, New Brunswick",11065,10962,10761,10582,10402,10248,10095
1305,"Kings, New Brunswick",70005,69969,69787,69602,69409,69412,69355
1306,"Albert, New Brunswick",28983,29143,29154,29225,29178,29314,29442
1307,"Westmorland, New Brunswick",145715,148036,149521,151150,152370,154818,156835
1308,"Kent, New Brunswick",30858,30794,30537,30451,30236,30166,30093
1309,"Northumberland, New Brunswick",48411,48160,47784,47260,46867,46610,46349
1310,"York, New Brunswick",98202,98882,100157,101001,101867,103345,104524
1311,"Carleton, New Brunswick",27128,26995,26803,26484,26219,26211,26161
1312,"Victoria, New Brunswick",19957,19769,19361,19111,18826,18736,18641
1313,"Madawaska, New Brunswick",33491,33349,32994,32765,32567,32385,32199
1314,"Restigouche, New Brunswick",32594,32178,31748,31465,31198,30999,30785
1315,"Gloucester, New Brunswick",77850,77364,76641,75901,75395,74956,74493
2401,"Les Îles-de-la-Madeleine, Quebec",12844,12726,12585,12447,12339,12300,12323
