Provinces,At birth Males,At birth Females,At birth Both sexes,At age 65 Males,At age 65 Females,At age 65 Both sexes
Newfoundland and Labrador,"77,2","81,5","79,3","17,3",20,"18,7"
Prince Edward Island,79,"83,6","81,4",18,"21,3","19,8"
Nova Scotia,"78,2","82,6","80,4","17,8","20,8","19,4"
New Brunswick,"78,7",83,"80,9","18,4","21,1","19,8"
Quebec,"80,1",84,"82,2","19,1",22,"20,6"
Ontario,"80,4","84,4","82,4","19,4","22,3",21
Manitoba,"77,9","82,3","80,1","18,2","21,2","19,8"
Saskatchewan,"77,8","82,4","80,1","18,5","21,4","20,1"
Alberta,"79,3","83,6","81,5","19,1",22,"20,6"
British Columbia,"80,5","84,6","82,5","19,8","22,4","21,2"
Yukon,"75,9","81,5","78,7","17,3","20,8",19
Northwest Territories,"75,8","79,6","77,8","17,5","18,9","18,5"
Nunavut,"69,2","73,9",71,"14,8","16,2",15
