"NUTS3","Fläche in km²","Einwohner insgesamt","Einwohner männlich","Einwohner weiblich","Einwohner je km2"
"DEF01","    56,74","   85 942","   42 767","   43 175","   1 515"
"DEF02","    118,65","   246 306","   119 835","   126 471","   2 076"
"DEF03","    214,21","   216 253","   103 683","   112 570","   1 010"
"DEF04","    71,63","   79 197","   39 118","   40 079","   1 106"
"DEF05","   1 428,15","   132 917","   65 512","   67 405","    93"
"DEF06","   1 263,01","   192 999","   94 684","   98 315","    153"
"DEF07","   2 082,76","   163 960","   80 319","   83 641","    79"
"DEF08","   1 392,56","   199 574","   96 412","   103 162","    143"
"DEF09","    664,28","   307 471","   150 455","   157 016","    463"
"DEF0A","   1 083,17","   128 304","   62 349","   65 955","    118"
"DEF0B","   2 189,18","   270 378","   133 002","   137 376","    124"
"DEF0C","   2 071,31","   196 839","   97 496","   99 343","    95"
"DEF0D","   1 344,39","   267 503","   131 777","   135 726","    199"
"DEF0E","   1 056,14","   131 457","   65 047","   66 410","    124"
"DEF0F","    766,31","   239 614","   117 002","   122 612","    313"
"DE911","    192,18","   251 364","   125 001","   126 363","   1 308"
"DE912","    223,92","   101 079","   49 898","   51 181","    451"
"DE913","    204,09","   124 045","   61 581","   62 464","    608"
"DE914","   1 562,86","   174 205","   87 129","   87 076","    111"
"DE915","   1 117,39","   255 653","   126 142","   129 511","    229"
"DE916","    965,29","   138 236","   68 245","   69 991","    143"
"DE917","    674,03","   91 500","   45 354","   46 146","    136"
"DE918","   1 267,08","   134 896","   66 394","   68 502","    106"
"DE919","    636,02","   73 885","   36 192","   37 693","    116"
"DE91A","    534,97","   132 320","   65 493","   66 827","    247"
"DE91B","    722,56","   120 981","   59 846","   61 135","    167"
"DE929","   2 290,86","  1 144 481","   559 775","   584 706","    500"
"DE922","   1 988,14","   213 976","   106 475","   107 501","    108"
"DE923","    796,15","   148 281","   71 606","   76 675","    186"
"DE925","   1 206,03","   277 055","   135 007","   142 048","    230"
"DE926","    692,65","   71 659","   35 481","   36 178","    103"
"DE927","   1 398,97","   120 632","   59 947","   60 685","    86"
"DE928","    675,57","   156 206","   76 229","   79 977","    231"
"DE931","   1 545,20","   177 971","   87 543","   90 428","    115"
"DE932","   2 057,55","   198 103","   97 064","   101 039","    96"
"DE933","   1 245,03","   248 122","   122 089","   126 033","    199"
"DE934","   1 220,72","   50 128","   24 991","   25 137","    41"
"DE935","   1 323,68","   180 719","   88 448","   92 271","    137"
"DE936","    650,81","   113 579","   56 098","   57 481","    175"
"DE937","   2 070,45","   163 253","   82 229","   81 024","    79"
"DE938","   1 873,72","   140 264","   70 371","   69 893","    75"
"DE939","   1 266,02","   200 054","   99 894","   100 160","    158"
"DE93A","   1 454,22","   93 131","   45 631","   47 500","    64"
"DE93B","    787,97","   134 645","   66 140","   68 505","    171"
"DE941","    62,36","   76 323","   37 823","   38 500","   1 224"
"DE942","    112,34","   50 694","   25 249","   25 445","    451"
"DE943","    102,99","   163 830","   78 259","   85 571","   1 591"
"DE944","    119,80","   162 403","   78 275","   84 128","   1 356"
"DE945","    106,79","   75 995","   37 244","   38 751","    712"
"DE946","    728,38","   121 435","   59 587","   61 848","    167"
"DE947","   1 283,99","   189 199","   93 212","   95 987","    147"
"DE948","   1 418,45","   164 734","   83 274","   81 460","    116"
"DE949","   2 882,07","   319 488","   162 482","   157 006","    111"
"DE94A","    607,71","   97 900","   47 771","   50 129","    161"
"DE94B","    980,84","   135 662","   67 780","   67 882","    138"
"DE94C","   1 067,74","   167 548","   83 431","   84 117","    157"
"DE94D","   1 063,16","   128 608","   63 988","   64 620","    121"
"DE94E","   2 121,63","   358 079","   178 475","   179 604","    169"
"DE94F","    812,63","   137 866","   69 535","   68 331","    170"
"DE94G","    821,29","   89 239","   44 649","   44 590","    109"
"DE94H","    656,57","   57 173","   28 071","   29 102","    87"
"DE501","    326,18","   557 464","   274 119","   283 345","   1 709"
"DE502","    93,66","   114 025","   56 776","   57 249","   1 217"
"DEA11","    217,41","   612 178","   295 896","   316 282","   2 816"
"DEA12","    232,80","   491 231","   241 417","   249 814","   2 110"
"DEA13","    210,34","   582 624","   282 565","   300 059","   2 770"
"DEA14","    137,77","   225 144","   109 487","   115 657","   1 634"
"DEA15","    170,47","   259 996","   127 512","   132 484","   1 525"
"DEA16","    91,28","   169 278","   81 461","   87 817","   1 854"
"DEA17","    77,09","   210 934","   103 284","   107 650","   2 736"
"DEA18","    74,52","   109 499","   53 725","   55 774","   1 469"
"DEA19","    89,54","   158 726","   76 948","   81 778","   1 773"
"DEA1A","    168,39","   350 046","   170 822","   179 224","   2 079"
"DEA1B","   1 232,99","   310 337","   154 988","   155 349","    252"
"DEA1C","    407,22","   483 279","   233 448","   249 831","   1 187"
"DEA1D","    576,52","   450 026","   219 650","   230 376","    781"
"DEA1E","    563,28","   297 661","   145 470","   152 191","    528"
"DEA1F","   1 042,80","   462 664","   226 396","   236 268","    444"
"DEA22","    141,06","   318 809","   151 954","   166 855","   2 260"
"DEA23","    405,02","  1 060 582","   516 976","   543 606","   2 619"
"DEA24","    78,87","   163 487","   79 590","   83 897","   2 073"
"DEA2D","    706,95","   553 922","   279 260","   274 662","    784"
"DEA26","    941,37","   262 828","   130 522","   132 306","    279"
"DEA27","    704,71","   466 657","   228 450","   238 207","    662"
"DEA28","   1 248,73","   191 165","   94 759","   96 406","    153"
"DEA29","    627,99","   252 527","   124 956","   127 571","    402"
"DEA2A","    918,84","   273 452","   134 670","   138 782","    298"
"DEA2B","    437,32","   282 729","   137 438","   145 291","    647"
"DEA2C","   1 153,21","   596 213","   292 555","   303 658","    517"
"DEA31","    100,61","   117 143","   57 004","   60 139","   1 164"
"DEA32","    104,94","   260 368","   129 267","   131 101","   2 481"
"DEA33","    303,28","   310 039","   148 447","   161 592","   1 022"
"DEA34","   1 420,98","   369 666","   184 973","   184 693","    260"
"DEA35","   1 112,04","   218 401","   107 953","   110 448","    196"
"DEA36","    761,31","   617 807","   301 893","   315 914","    812"
"DEA37","   1 795,76","   443 374","   220 782","   222 592","    247"
"DEA38","   1 319,41","   277 431","   137 265","   140 166","    210"
"DEA41","    258,82","   333 090","   161 148","   171 942","   1 287"
"DEA42","    969,21","   360 642","   180 222","   180 420","    372"
"DEA43","    450,41","   252 122","   123 935","   128 187","    560"
"DEA44","   1 201,42","   144 010","   72 006","   72 004","    120"
"DEA45","   1 246,21","   350 750","   172 490","   178 260","    281"
"DEA46","   1 152,41","   313 050","   154 488","   158 562","    272"
"DEA47","   1 246,80","   304 332","   152 549","   151 783","    244"
"DEA51","    145,66","   364 742","   177 427","   187 315","   2 504"
