Code_Wilaya,Wilaya_Province,Pop_2008
1,Adrar,399714
2,Chlef,1002088
3,Laghouat,455602
4,Oum El Bouaghi,621612
5,Batna,1119791
6,Béjaïa,912577
7,Biskra,721356
8,Béchar,270061
9,Blida,1002937
10,Bouira,695583
11,Tamanrasset,176637
12,Tébessa,648703
13,Tlemcen,949135
14,Tiaret,946823
15,Tizi Ouzou,1172607
16,Algiers,2988144
17,Djelfa,1092184
18,Jijel,636948
19,Sétif,1489979
20,Saïda,330641
21,Skikda,89868
22,Sidi Bel Abbès,604744
23,Annaba,609499
24,Guelma,48243
25,Constantine,938475
26,Médéa,819932
27,Mostaganem,737118
28,M'Sila,990591
29,Mascara,784073
30,Ouargla,558558
31,Oran,1454078
32,El Bayadh,228624
33,Illizi,52333
34,Bordj Bou Arreridj,628475
35,Boumerdès,802083
36,El Tarf,408414
37,Tindouf,49149
38,Tissemsilt,294476
39,El Oued,647548
40,Khenchela,386683
41,Souk Ahras,438127
42,Tipaza,59101
43,Mila,766886
44,Aïn Defla,766013
45,Naâma,192891
46,Aïn Témouchent,371239
47,Ghardaïa,363598
48,Relizane,72618
