ID,Comunidades,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ES-AN,Andalucía,8399043,8402305,8440300,8449985,8424102,8370975,8302923,8202220,8059461,7975672,7849799,7687518,7606848,7478432,7403968,7340052
ES-AR,Aragón,1317847,1325385,1347150,1349467,1346293,1347095,1345473,1326918,1296655,1277471,1269027,1249584,1230090,1217514,1199753,1189909
ES-AS,"Asturias, Principado de",1051229,1061756,1068165,1077360,1081487,1084341,1085289,1080138,1074862,1076896,1076635,1073761,1075381,1073971,1075329,1076567
ES-IB,"Balears, Illes",1104479,1103442,1111674,1119439,1113114,1106049,1095426,1072844,1030650,1001062,983131,955045,947361,916968,878627,845630
ES-CN,Canarias,2100306,2104815,2118679,2118344,2126769,2118519,2103992,2075968,2025951,1995833,1968280,1915540,1894868,1843755,1781366,1716276
ES-CB,Cantabria,585179,588656,591888,593861,593121,592250,589235,582138,572824,568091,562309,554784,549690,542275,537606,531159
ES-CL,Castilla y León,2472052,2494790,2519875,2546078,2558463,2559515,2563521,2557330,2528417,2523020,2510849,2493918,2487646,2480369,2479425,2479118
ES-CM,Castilla - La Mancha,2059191,2078611,2100998,2121888,2115334,2098373,2081313,2043100,1977304,1932261,1894667,1848881,1815781,1782038,1755053,1734261
ES-CT,Cataluña,7508106,7518903,7553650,7570908,7539618,7512381,7475420,7364078,7210508,7134697,6995206,6813319,6704146,6506440,6361365,6261999
ES-VC,Comunitat Valenciana,4980689,5004844,5113815,5129266,5117190,5111706,5094675,5029601,4885029,4806908,4692449,4543304,4470885,4326708,4202608,4120729
ES-EX,Extremadura,1092997,1099632,1104004,1108130,1109367,1107220,1102410,1097744,1089990,1086373,1083879,1075286,1073904,1073050,1073381,1069420
ES-GA,Galicia,2732347,2748695,2765940,2781498,2795422,2797653,2796089,2784169,2772533,2767524,2762198,2750985,2751094,2737370,2732926,2731900
ES-MD,"Madrid, Comunidad de",6436996,6454440,6495551,6498560,6489680,6458684,6386932,6271638,6081689,6008183,5964143,5804829,5718942,5527152,5372433,5205408
ES-MC,"Murcia, Región de",1467288,1466818,1472049,1474449,1470069,1461979,1446520,1426109,1392117,1370306,1335792,1294694,1269230,1226993,1190378,1149328
ES-NC,"Navarra, Comunidad Foral de",640476,640790,644477,644566,642051,636924,630578,620377,605876,601874,593472,584734,578210,569628,556263,543757
ES-PV,País Vasco,2189257,2188985,2191682,2193093,2184606,2178339,2172175,2157112,2141860,2133684,2124846,2115279,2112204,2108281,2101478,2098596
ES-RI,"Rioja, La",317053,319002,322027,323609,322955,322415,321702,317501,308968,306377,301084,293553,287390,281614,270400,264178
ES-CE,Ceuta,84263,84963,84180,84018,82376,80579,78674,77389,76603,75861,75276,74654,74931,76152,75694,75241
ES-ML,Melilla,85584,84509,83679,80802,78476,76034,73460,71448,69440,66871,65488,68016,68463,69184,68789,66263
