ID,Provincias,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
02,Albacete,394580,396987,400007,402837,402318,401682,400891,397493,392110,387658,384640,379448,376556,371787,367283,363263
03,Alicante/Alacant,1855047,1868438,1945642,1943910,1934127,1926285,1917012,1891477,1825264,1783555,1732389,1657040,1632349,1557968,1490265,1445144
04,Almería,701211,701688,699329,704219,702819,695560,684426,667635,646633,635850,612315,580077,565310,546498,533168,518229
01,Araba/Álava,323648,321932,321417,322557,319227,317352,313819,309635,305459,301926,299957,295905,294360,291860,288793,286497
33,Asturias,1051229,1061756,1068165,1077360,1081487,1084341,1085289,1080138,1074862,1076896,1076635,1073761,1075381,1073971,1075329,1076567
05,Ávila,164925,167015,168825,171265,172704,171896,171680,171815,168638,167818,167032,166108,165480,165138,163885,164991
06,Badajoz,686730,690929,693729,694533,693921,692137,688777,685246,678459,673474,671299,663896,663142,662808,664251,661874
07,"Balears, Illes",1104479,1103442,1111674,1119439,1113114,1106049,1095426,1072844,1030650,1001062,983131,955045,947361,916968,878627,845630
08,Barcelona,5523922,5523784,5540925,5552050,5529099,5511147,5487935,5416447,5332513,5309404,5226354,5117885,5052666,4906117,4804606,4736277
48,Bizkaia,1148775,1151905,1156447,1158439,1155772,1153724,1152658,1146421,1141457,1139863,1136181,1132861,1133428,1133444,1132616,1132729
09,Burgos,364002,366900,371248,374970,375657,374826,375563,373672,365972,363874,361021,356437,355205,352723,349810,347240
10,Cáceres,406267,408703,410275,413597,415446,415083,413633,412498,411531,412899,412580,411390,410762,410242,409130,407546
11,Cádiz,1240284,1240175,1238492,1245164,1243519,1236739,1230594,1220467,1207343,1194062,1180817,1164374,1155724,1140793,1131346,1125105
39,Cantabria,585179,588656,591888,593861,593121,592250,589235,582138,572824,568091,562309,554784,549690,542275,537606,531159
12,Castellón/Castelló,582327,587508,601699,604564,604344,604274,602301,594915,573282,559761,543432,527345,518239,501237,485173,474385
13,Ciudad Real,513713,519613,524962,530250,530175,529453,527273,522343,510122,506864,500060,492914,487670,484338,478581,476633
14,Córdoba,795611,799402,802422,804498,805857,805108,803998,798822,792182,788287,784376,779870,775944,771131,769625,769237
15,"Coruña, A",1127196,1132735,1138161,1143911,1147124,1146458,1145488,1139121,1132792,1129141,1126707,1121344,1120814,1111886,1108002,1108419
16,Cuenca,203841,207449,211899,218036,219138,217716,217363,215274,211375,208616,207974,204546,202982,201614,201526,201053
20,Gipuzkoa,716834,715148,713818,712097,709607,707263,705698,701056,694944,691895,688708,686513,684416,682977,680069,679370
17,Girona,753054,756156,761632,761627,756810,753046,747782,731864,706185,687331,664506,636198,619692,598112,579650,565599
18,Granada,917297,919455,919319,922928,924550,918072,907428,901220,884099,876184,860898,841687,828107,818959,812637,809004
19,Guadalajara,253686,255426,257723,259537,256461,251563,246151,237787,224076,213505,203737,193913,185474,177761,171532,165347
21,Huelva,520017,519229,520668,522862,521968,518081,513403,507915,497671,492174,483792,476707,472446,464934,461730,458998
22,Huesca,222909,224909,226329,227609,228361,228566,228409,225271,220107,218023,215864,212901,211286,208963,205955,205430
