ID,Total SAU (superficie agricole utilisée),SAU des exploitations 0-9.9 ha,SAU des exploitations 10-49.9 ha,SAU des exploitations 50 ha et plus,% SAU des exploitations 0-9.9 ha,% SAU des exploitations 10-49.9 ha,% SAU des exploitations 50 ha et plus
BE10,2150,10,160,1640,"0,47","7,44","76,28"
BE21,92510,6180,46680,39660,"6,68","50,46","42,87"
BE22,83320,4510,41450,37380,"5,41","49,75","44,86"
BE23,148700,12160,83770,52770,"8,18","56,33","35,49"
BE24,85170,4990,37050,43150,"5,86","43,50","50,66"
BE25,203490,14020,119090,70370,"6,89","58,52","34,58"
BE31,59480,750,11950,46770,"1,26","20,09","78,63"
BE32,203180,2770,51870,148550,"1,36","25,53","73,11"
BE33,151280,2590,42540,106150,"1,71","28,12","70,17"
BE34,134020,1200,28500,104310,"0,90","21,27","77,83"
BE35,144610,1420,24110,119090,"0,98","16,67","82,35"
BG31,936770,26890,45870,864000,"2,87","4,90","92,23"
BG32,793430,33600,39970,719860,"4,23","5,04","90,73"
BG33,822230,29800,44070,748360,"3,62","5,36","91,02"
BG34,845160,33640,62470,749050,"3,98","7,39","88,63"
BG41,554470,50620,49550,454310,"9,13","8,94","81,94"
BG42,698880,82660,57640,558590,"11,83","8,25","79,93"
CZ01,13270,20,430,12730,"0,15","3,24","95,93"
CZ02,553240,6050,32700,514490,"1,09","5,91","93,00"
CZ03,731710,7110,47370,677230,"0,97","6,47","92,55"
CZ04,312350,2450,16510,293390,"0,78","5,29","93,93"
CZ05,560550,7410,34530,518610,"1,32","6,16","92,52"
CZ06,719260,8940,41940,668370,"1,24","5,83","92,92"
CZ07,393960,7140,24320,362510,"1,81","6,17","92,02"
CZ08,207130,3950,13600,189580,"1,91","6,57","91,53"
DK01,98480,4710,19700,74070,"4,78","20,00","75,21"
DK02,470050,10610,61990,397440,"2,26","13,19","84,55"
DK03,773600,12510,92910,668180,"1,62","12,01","86,37"
DK04,791690,17930,117360,656400,"2,26","14,82","82,91"
DK05,485520,13290,72880,399350,"2,74","15,01","82,25"
EE00,957510,44730,128090,784690,"4,67","13,38","81,95"
IE01,2269920,94690,1208920,966310,"4,17","53,26","42,57"
IE02,2689540,53180,1085770,1550590,"1,98","40,37","57,65"
EL11,432360,124020,177390,130950,"28,68","41,03","30,29"
EL12,783560,257730,304090,221730,"32,89","38,81","28,30"
EL13,402840,59310,103830,239700,"14,72","25,77","59,50"
EL14,587180,149550,214730,222910,"25,47","36,57","37,96"
EL21,177220,46840,26480,103900,"26,43","14,94","58,63"
EL22,94570,36960,16520,41090,"39,08","17,47","43,45"
EL23,385620,158470,104360,122790,"41,09","27,06","31,84"
EL24,401810,124010,129580,148210,"30,86","32,25","36,89"
EL25,471700,203980,91520,176210,"43,24","19,40","37,36"
EL30,54330,33840,9740,10750,"62,29","17,93","19,79"
EL41,245760,53020,58500,134240,"21,57","23,80","54,62"
EL42,214010,31750,36390,145860,"14,84","17,00","68,16"
EL43,605820,152750,112630,340430,"25,21","18,59","56,19"
ES11,655520,167440,356410,131680,"25,54","54,37","20,09"
ES12,336310,57400,119990,158910,"17,07","35,68","47,25"
ES13,222950,21540,68640,132770,"9,66","30,79","59,55"
ES21,187250,39690,68200,79360,"21,20","36,42","42,38"
ES22,546890,26060,106100,414740,"4,77","19,40","75,84"
ES23,215840,21470,55960,138410,"9,95","25,93","64,13"
ES24,2261690,79480,413140,1769070,"3,51","18,27","78,22"
ES30,304150,15300,43710,245150,"5,03","14,37","80,60"
ES41,5295680,113880,816240,4365560,"2,15","15,41","82,44"
ES42,4045810,244760,768720,3032350,"6,05","19,00","74,95"
ES43,2491730,131190,338430,2022120,"5,27","13,58","81,15"
ES51,1125270,134250,375490,615540,"11,93","33,37","54,70"
ES52,637750,242570,191550,203640,"38,04","30,04","31,93"
ES53,176280,23570,51310,101400,"13,37","29,11","57,52"
ES61,4369000,614350,957120,2797520,"14,06","21,91","64,03"
ES62,375860,63480,103870,208520,"16,89","27,64","55,48"
ES63,0,0,0,0,:,:,:
ES64,0,0,0,0,:,:,:
ES70,52210,19580,8890,23750,"37,50","17,03","45,49"
FR10,571640,2140,10610,558890,"0,37","1,86","97,77"
FR21,1532170,25460,48210,1458510,"1,66","3,15","95,19"
FR22,1316620,9470,53420,1253740,"0,72","4,06","95,22"
FR23,764380,9080,43990,711300,"1,19","5,75","93,06"
FR24,2302910,17640,98910,2186370,"0,77","4,30","94,94"
FR25,1229760,27350,135500,1066920,"2,22","11,02","86,76"
FR26,1745500,21310,68650,1655530,"1,22","3,93","94,85"
FR30,813380,9540,108030,695810,"1,17","13,28","85,55"
FR41,1130340,7390,48300,1074650,"0,65","4,27","95,07"
FR42,341790,13900,82930,244950,"4,07","24,26","71,67"
FR43,669860,8000,32000,629870,"1,19","4,78","94,03"
FR51,2092730,22170,205260,1865300,"1,06","9,81","89,13"
FR52,1643670,26680,300530,1316450,"1,62","18,28","80,09"
FR53,1721090,18470,169500,1533110,"1,07","9,85","89,08"
FR61,1454170,52240,451230,950710,"3,59","31,03","65,38"
