ID,Total 15-24 ans - heures de travail hebdo 2015,Total 25-64 ans - heures de travail hebdo 2015,Total 65-74 ans - heures de travail hebdo 2015,Homme 15-24 ans - heures de travail hebdo 2015,Homme 25-64 ans - heures de travail hebdo 2015,Homme 65-74 ans - heures de travail hebdo 2015,Femme 15-24 ans - heures de travail hebdo 2015,Femme 25-64 ans - heures de travail hebdo 2015,Femme 65-74 ans - heures de travail hebdo 2015
BE10,"34,4","37,6","29,9","37,3",40,"31,9","31,3","34,9",:
BE21,"34,4","37,4","24,8","37,7","41,1","23,3",31,"33,2",:
BE22,"34,5",36,:,"37,6","40,6",:,"29,6","30,9",:
BE23,"34,1","37,9","25,7",37,"41,3","27,7","30,7","34,2",:
BE24,"33,3","38,9","32,6","34,7","42,4",:,"31,6","35,2",:
BE25,"35,3","37,9","24,8",36,"42,3","25,1","34,5","33,3",:
BE31,"30,8","38,5","32,1","30,2","42,1",:,"31,5","34,7",:
BE32,"33,9","36,5","28,6","36,7","39,6","29,9","31,1",33,:
BE33,"33,8",36,"30,6","37,2",40,"33,2","29,2","31,5",:
BE34,"34,7",37,:,"36,8","41,7",:,"32,2","31,4",:
BE35,"34,9","36,7",:,"37,9","40,2",:,"30,5","32,8",:
BG31,"39,4","40,5","38,6","39,6","40,6",:,39,"40,4",:
BG32,"39,9","40,3","37,8","39,8","40,6",:,40,"39,9",:
BG33,"41,4","41,5","37,5","41,7","42,1","38,3","40,8","40,8",:
BG34,"40,9","40,8","39,7",41,41,:,"40,9","40,5",:
BG41,"39,7","40,5","37,7","40,1","40,8","39,4",39,"40,2","35,4"
BG42,41,"41,8","40,7","41,2","42,2","42,3","40,7","41,5","38,3"
CZ01,"35,8","41,3","29,8","37,8","43,1","33,5","33,5","39,1","25,8"
CZ02,"39,1","41,8","32,7","39,4","43,3","33,1","38,7","39,7","32,2"
CZ03,"40,1","40,6","31,5","40,6","41,9","34,7","39,4",39,"27,3"
CZ04,"38,8","41,1","29,6","39,7","42,1",30,"37,5","39,7",29
CZ05,"38,4","40,6","29,6",39,"42,2","32,7","37,6","38,5","24,7"
CZ06,"36,8","41,1","27,6","38,5","42,8","30,2","34,6",39,24
CZ07,"38,9","40,8","29,5","40,1",42,"35,2","37,1","39,1","23,6"
CZ08,"36,5","39,6","28,3","37,9","40,7","31,5","34,3","38,3","24,6"
DK01,"19,2","35,8","28,5","21,4","37,5","30,8",17,"33,9",23
DK02,"21,4","36,4","27,2","24,7","38,5","29,3","17,9","34,1","23,1"
DK03,"19,9","36,2","28,8","23,4","38,2","30,1","16,4",34,"25,7"
DK04,"19,2","35,7","27,6","22,4","37,9","29,7","15,9","33,2","20,9"
DK05,"20,8","36,5","27,8","24,6","38,5","28,8","16,9","34,3","24,7"
