ID,Habitant au km2 - 2015
BE100,7408
BE211,1079
BE212,676
BE213,338
BE221,475
BE222,275
BE223,322
BE231,607
BE232,592
BE233,252
BE234,586
BE235,293
BE236,538
BE241,660
BE242,429
BE251,433
BE252,141
BE253,194
BE254,713
BE255,533
BE256,550
BE257,279
BE258,223
BE310,363
BE321,178
BE322,777
BE323,445
BE324,749
BE325,365
BE326,163
BE327,242
BE331,171
BE332,791
BE334,203
BE335,181
BE336,91
BE341,192
BE342,46
BE343,60
BE344,46
BE345,69
BE351,70
BE352,270
BE353,74
BG311,31
BG312,39
BG313,49
BG314,57
BG315,32
BG321,54
BG322,61
BG323,81
BG324,50
BG325,41
BG331,126
BG332,39
BG333,53
BG334,43
BG341,55
BG342,55
BG343,38
BG344,65
BG411,1030
BG412,34
BG413,50
BG414,54
BG415,42
BG421,116
BG422,44
BG423,63
BG424,35
BG425,48
CZ010,2605
CZ020,122
CZ031,66
CZ032,77
CZ041,92
CZ042,157
CZ051,141
CZ052,118
CZ053,116
CZ063,76
CZ064,167
CZ071,122
CZ072,150
CZ080,229
DK011,4170
DK012,1571
DK013,314
DK014,68
DK021,301
DK022,91
DK031,141
DK032,82
DK041,60
DK042,147
DK050,74
DE111,2986
DE112,611
DE113,812
DE114,392
DE115,772
DE116,486
DE117,1212
DE118,302
DE119,141
DE11A,128
DE11B,101
DE11C,207
DE11D,205
DE121,384
DE122,1757
DE123,400
DE124,306
DE125,1427
DE126,2088
DE127,126
DE128,507
DE129,1232
DE12A,193
DE12B,340
DE12C,133
DE131,1466
DE132,185
DE133,237
DE134,224
DE135,178
DE136,203
DE137,185
DE138,340
DE139,279
DE13A,147
DE141,256
DE142,424
DE143,204
DE144,1022
DE145,140
DE146,136
DE147,317
DE148,170
DE149,107
DE211,990
DE212,4630
DE213,1659
DE214,190
DE215,123
DE216,112
DE217,255
DE218,248
DE219,105
DE21A,152
DE21B,215
DE21C,487
DE21D,86
DE21E,145
DE21F,113
DE21G,138
DE21H,507
DE21I,127
DE21J,161
DE21K,176
DE21L,272
DE21M,113
DE21N,137
DE221,1036
DE222,718
DE223,683
DE224,135
DE225,79
DE226,110
DE227,114
DE228,122
DE229,79
DE22A,93
DE22B,82
DE22C,107
DE231,834
DE232,1776
DE233,591
DE234,82
DE235,83
DE236,96
DE237,67
DE238,135
DE239,99
DE23A,68
DE241,1321
DE242,1073
DE243,857
DE244,767
DE245,124
DE246,82
DE247,147
DE248,178
DE249,108
DE24A,104
DE24B,110
DE24C,128
DE24D,121
DE251,406
DE252,1395
DE253,1950
DE254,2718
DE255,980
DE256,92
DE257,236
DE258,370
DE259,208
DE25A,78
DE25B,139
DE25C,96
DE261,1106
DE262,1439
DE263,1415
DE264,248
DE265,91
DE266,78
DE267,88
DE268,130
DE269,179
DE26A,95
DE26B,136
DE26C,165
DE271,1930
DE272,1059
DE273,1052
DE274,607
DE275,167
DE276,228
DE277,119
DE278,161
DE279,328
DE27A,247
DE27B,98
DE27C,113
DE27D,103
DE27E,99
DE300,3918
DE401,310
DE402,604
DE403,391
DE404,882
DE405,119
DE406,72
DE407,55
DE408,91
DE409,88
DE40A,114
DE40B,92
DE40C,80
DE40D,39
DE40E,81
DE40F,36
DE40G,71
DE40H,77
DE40I,39
DE501,1707
DE502,1192
DE600,2351
DE711,1259
DE712,2924
DE713,2719
DE714,1351
DE715,369
DE716,441
DE717,581
DE718,482
DE719,293
DE71A,1042
DE71B,155
DE71C,968
DE71D,226
DE71E,272
DE721,305
DE722,237
DE723,232
DE724,193
DE725,73
DE731,1835
DE732,158
DE733,110
DE734,181
DE735,117
DE736,85
DE737,98
DE803,1133
DE804,721
DE80J,48
DE80K,62
DE80L,70
DE80M,74
DE80N,61
DE80O,45
DE911,1302
DE912,447
DE913,606
DE914,111
DE915,226
DE916,143
DE917,135
DE918,106
DE919,116
DE91A,246
DE91B,167
DE922,107
DE923,186
DE925,229
DE926,103
DE927,86
DE928,231
DE929,496
DE931,115
DE932,96
DE933,198
DE934,40
DE935,136
DE936,173
DE937,79
DE938,74
DE939,157
DE93A,64
DE93B,170
DE941,1219
DE942,450
DE943,1576
DE944,1330
DE945,708
DE946,166
DE947,147
DE948,115
DE949,110
DE94A,160
DE94B,138
DE94C,153
DE94D,120
DE94E,167
DE94F,169
DE94G,108
DE94H,87
DEA11,2803
DEA12,2096
DEA13,2753
DEA14,1622
DEA15,1520
DEA16,1848
DEA17,2729
DEA18,1457
DEA19,1753
DEA1A,2070
DEA1B,250
DEA1C,1181
DEA1D,773
DEA1E,526
DEA1F,441
DEA22,2244
DEA23,2602
DEA24,2057
DEA26,277
DEA27,657
DEA28,152
DEA29,400
DEA2A,296
DEA2B,643
DEA2C,513
DEA2D,779
DEA31,1154
DEA32,2467
DEA33,1010
DEA34,259
DEA35,195
DEA36,810
DEA37,245
DEA38,209
DEA41,1280
DEA42,369
DEA43,557
DEA44,119
DEA45,279
DEA46,270
DEA47,242
DEA51,2488
DEA52,2076
DEA53,1174
DEA54,788
DEA55,3044
DEA56,795
DEA57,134
DEA58,391
DEA59,190
DEA5A,246
DEA5B,225
DEA5C,725
DEB11,1067
DEB12,162
DEB13,200
DEB14,181
DEB15,104
DEB16,90
DEB17,258
DEB18,287
DEB19,103
DEB1A,157
DEB1B,202
DEB21,955
DEB22,95
DEB23,60
DEB24,67
DEB25,133
DEB31,1092
DEB32,700
DEB33,541
DEB34,2106
DEB35,2126
DEB36,451
DEB37,657
DEB38,1164
DEB39,748
DEB3A,481
DEB3B,215
DEB3C,222
DEB3D,116
DEB3E,274
DEB3F,163
DEB3G,124
DEB3H,172
DEB3I,494
DEB3J,342
DEB3K,101
DEC01,794
DEC02,186
DEC03,536
DEC04,428
DEC05,344
DEC06,186
DED21,1647
DED2C,128
DED2D,124
DED2E,168
DED2F,149
DED41,1113
DED42,191
DED43,148
DED44,165
DED45,342
DED51,1860
DED52,157
DED53,98
DEE01,339
DEE02,1739
DEE03,1164
DEE04,38
DEE05,114
DEE06,58
DEE07,73
DEE08,130
DEE09,105
DEE0A,98
DEE0B,130
DEE0C,138
DEE0D,47
DEE0E,67
DEF01,1497
DEF02,2057
DEF03,1006
DEF04,1089
DEF05,93
DEF06,152
DEF07,78
DEF08,143
DEF09,461
DEF0A,118
DEF0B,123
DEF0C,95
DEF0D,198
DEF0E,124
DEF0F,311
DEG01,771
DEG02,627
DEG03,947
DEG04,354
DEG05,760
DEG06,107
DEG07,119
DEG09,107
DEG0A,74
DEG0B,103
DEG0C,145
DEG0D,87
DEG0E,69
DEG0F,129
DEG0G,102
DEG0H,131
DEG0I,106
DEG0J,104
DEG0K,72
DEG0L,120
DEG0M,163
DEG0N,405
DEG0P,96
EE001,132
EE004,14
EE006,14
EE007,44
EE008,20
IE011,"41,9"
IE012,"44,8"
IE013,32
IE021,"1400,9"
IE022,"90,9"
IE023,"48,1"
IE024,"53,9"
IE025,"55,4"
EL511,35
EL512,63
EL513,44
EL514,28
EL515,64
EL521,83
EL522,302
EL523,32
EL524,56
EL525,86
EL526,43
EL527,34
EL531,30
EL532,28
EL533,26
EL541,47
EL542,30
EL543,34
EL611,40
EL612,53
EL613,78
EL621,99
EL622,162
EL623,43
EL624,68
EL631,38
EL632,93
EL633,60
EL641,41
EL642,51
EL643,10
EL644,36
EL645,20
EL651,28
EL652,65
EL653,38
EL301,4508
EL302,7206
EL303,10686
EL304,7391
EL305,363
EL306,176
EL307,551
EL411,47
EL412,54
EL413,59
EL421,77
EL422,49
EL431,118
EL432,41
EL433,58
EL434,67
ES111,143
ES112,34
ES113,44
ES114,212
ES120,99
ES130,111
ES211,107
ES212,359
ES213,515
ES220,62
ES230,62
ES241,14
ES242,9
ES243,56
ES300,804
ES411,21
ES412,25
ES413,31
ES414,21
ES415,28
ES416,23
ES417,9
ES418,65
ES419,18
ES421,26
ES422,26
ES423,12
ES424,21
ES425,45
ES431,32
ES432,21
ES511,706
ES512,126
ES513,36
ES514,127
ES521,320
ES522,87
ES523,234
ES531,242
ES532,242
ES533,134
ES611,79
ES612,171
ES613,58
ES614,73
ES615,53
ES616,49
ES617,226
ES618,140
ES620,130
ES630,4457
ES640,6513
ES703,40
ES704,67
ES705,550
ES706,58
ES707,118
ES708,169
ES709,446
FR101,20924
FR102,236
FR103,624
FR104,715
FR105,9142
FR106,6743
FR107,5638
FR108,978
FR211,53
FR212,52
FR213,70
FR214,29
FR221,73
FR222,141
FR223,93
FR231,100
FR232,201
FR241,43
FR242,74
FR243,33
FR244,99
FR245,53
FR246,99
FR251,125
FR252,84
FR253,47
FR261,61
FR262,31
FR263,65
FR264,46
FR301,455
FR302,221
FR411,139
FR412,31
FR413,168
FR414,63
FR421,235
FR422,217
FR431,103
FR432,52
FR433,44
FR434,237
FR511,201
FR512,113
FR513,59
FR514,92
FR515,100
FR521,87
FR522,135
FR523,155
FR524,110
FR531,59
FR532,94
FR533,62
FR534,62
FR611,46
FR612,156
FR613,44
FR614,62
FR615,88
FR621,31
FR622,32
FR623,213
FR624,31
FR625,33
FR626,51
FR627,67
FR628,69
FR631,41
FR632,21
FR633,68
FR711,111
FR712,59
FR713,77
FR714,169
