Code departement;D�partement;Evolution 2003-2014;Naissance 2014;Nom du p�re;% nom du p�re;Nom de la m�re;% nom de la m�re;Nom du p�re puis de la m�re;% nom p�re puis m�re;Nom de la m�re puis du p�re;% nom de la m�re puis du p�re;Autre
23;Creuse;-15;879;724;82,4;49;5,6;82;9,3;23;2,6;1
15;Cantal;-11;1214;1030;84,8;39;3,2;121;10,0;20;1,6;4
09;Ari�ge;1;1364;1044;76,5;69;5,1;192;14,1;56;4,1;3
17;Charente-Maritime;-2;5846;4727;80,9;285;4,9;677;11,6;148;2,5;9
46;Lot;-9;1415;1156;81,7;58;4,1;158;11,2;42;3,0;1
40;Landes;6;3696;3012;81,5;141;3,8;412;11,1;117;3,2;14
24;Dordogne;-4;3479;2770;79,6;213;6,1;366;10,5;124;3,6;6
22;C�tes-d'Armor;-11;5790;4892;84,5;191;3,3;572;9,9;127;2,2;8
50;Manche;-12;4911;4286;87,3;191;3,9;345;7,0;85;1,7;4
65;Hautes-Pyr�n�es;-2;2111;1699;80,5;128;6,1;229;10,8;54;2,6;1
52;Haute-Marne;-12;1881;1556;82,7;181;9,6;103;5,5;31;1,6;10
02;Aisne;-6;6468;5053;78,1;789;12,2;512;7,9;109;1,7;5
16;Charente;-1;3378;2750;81,4;182;5,4;355;10,5;83;2,5;8
36;Indre;-14;2030;1653;81,4;109;5,4;220;10,8;45;2,2;3
55;Meuse;-15;1928;1644;85,3;106;5,5;143;7,4;33;1,7;2
58;Ni�vre;-18;1801;1445;80,2;122;6,8;195;10,8;39;2,2;0
03;Allier;-8;3152;2643;83,9;173;5,5;259;8,2;74;2,3;3
07;Ard�che;-3;3254;2780;85,4;107;3,3;294;9,0;73;2,2;0
88;Vosges;-17;3679;3121;84,8;254;6,9;237;6,4;62;1,7;5
86;Vienne;2;4686;3832;81,8;273;5,8;468;10,0;112;2,4;1
05;Hautes-Alpes;-2;1383;1209;87,4;44;3,2;99;7,2;30;2,2;1
56;Morbihan;-3;7554;6377;84,4;334;4,4;674;8,9;155;2,1;14
32;Gers;0;1643;1342;81,7;71;4,3;178;10,8;51;3,1;1
66;Pyr�n�es-Orientales;7;4800;3476;72,4;472;9,8;712;14,8;131;2,7;9
80;Somme;-10;6506;5317;81,7;540;8,3;518;8,0;111;1,7;20
79;Deux-S�vres;-7;3718;3101;83,4;154;4,1;356;9,6;98;2,6;9
62;Pas-de-Calais;0;18809;16237;86,3;1242;6,6;1083;5,8;224;1,2;23
19;Corr�ze;-2;2094;1741;83,1;102;4,9;185;8,8;52;2,5;14
72;Sarthe;-3;6664;5494;82,4;587;8,8;453;6,8;115;1,7;15
14;Calvados;-10;7466;6218;83,3;382;5,1;667;8,9;181;2,4;18
48;Loz�re;-18;651;538;82,6;11;1,7;76;11,7;26;4,0;0
43;Haute-Loire;-14;2157;1917;88,9;48;2,2;160;7,4;30;1,4;2
08;Ardennes;-19;2966;2350;79,2;370;12,5;204;6,9;37;1,2;5
04;Alpes-de-Haute-Provence;5;1538;1274;82,8;58;3,8;155;10,1;49;3,2;2
11;Aude;3;3516;2777;79,0;217;6,2;431;12,3;79;2,2;12
29;Finist�re;-9;9088;7650;84,2;308;3,4;917;10,1;200;2,2;13
35;Ille-et-Vilaine;3;12555;10537;83,9;504;4,0;1198;9,5;304;2,4;12
61;Orne;-18;2810;2403;85,5;152;5,4;208;7,4;45;1,6;2
85;Vend�e;3;7070;6229;88,1;224;3,2;496;7,0;110;1,6;11
18;Cher;-7;3097;2554;82,5;162;5,2;300;9,7;72;2,3;9
81;Tarn;7;3831;3170;82,7;180;4,7;380;9,9;91;2,4;10
53;Mayenne;-11;3456;3020;87,4;132;3,8;234;6,8;67;1,9;3
12;Aveyron;0;2555;2187;85,6;82;3,2;225;8,8;57;2,2;4
87;Haute-Vienne;7;3724;3054;82,0;220;5,9;345;9,3;98;2,6;7
89;Yonne;-2;3621;3014;83,2;179;4,9;352;9,7;69;1,9;7
64;Pyr�n�es-Atlantiques;1;6497;5038;77,5;207;3,2;1045;16,1;182;2,8;25
974;La R�union;1;6497;5038;77,5;207;3,2;1045;16,1;182;2,8;25
