ID,Département,NumeroCirco,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,MACRON,LE PEN,MACRON_Ins,LE PEN_ins,MACRON_exp,LE PEN_exp
01001,Ain,1,82652,17988,"21,76",64664,"78,24",5857,"7,09","9,06",1931,"2,34","2,99",56876,"68,81","87,96",34232,22644,"41,42","27,4","60,19","39,81"
01002,Ain,2,93364,19756,"21,16",73608,"78,84",6473,"6,93","8,79",1803,"1,93","2,45",65332,"69,98","88,76",39188,26144,"41,97",28,"59,98","40,02"
01003,Ain,3,75433,17759,"23,54",57674,"76,46",4963,"6,58","8,61",1369,"1,81","2,37",51342,"68,06","89,02",35769,15573,"47,42","20,64","69,67","30,33"
01004,Ain,4,89280,18713,"20,96",70567,"79,04",6328,"7,09","8,97",1950,"2,18","2,76",62289,"69,77","88,27",36102,26187,"40,44","29,33","57,96","42,04"
01005,Ain,5,75221,18914,"25,14",56307,"74,86",5231,"6,95","9,29",1685,"2,24","2,99",49391,"65,66","87,72",28518,20873,"37,91","27,75","57,74","42,26"
02001,Aisne,1,72295,16854,"23,31",55441,"76,69",4752,"6,57","8,57",1780,"2,46","3,21",48909,"67,65","88,22",23492,25417,"32,49","35,16","48,03","51,97"
02002,Aisne,2,73948,18106,"24,48",55842,"75,52",4373,"5,91","7,83",1680,"2,27","3,01",49789,"67,33","89,16",25434,24355,"34,39","32,94","51,08","48,92"
02003,Aisne,3,68127,15578,"22,87",52549,"77,13",3940,"5,78","7,5",1710,"2,51","3,25",46899,"68,84","89,25",18835,28064,"27,65","41,19","40,16","59,84"
02004,Aisne,4,79187,21224,"26,8",57963,"73,2",4504,"5,69","7,77",1789,"2,26","3,09",51670,"65,25","89,14",24588,27082,"31,05","34,2","47,59","52,41"
02005,Aisne,5,82234,18983,"23,08",63251,"76,92",5269,"6,41","8,33",2108,"2,56","3,33",55874,"67,95","88,34",26853,29021,"32,65","35,29","48,06","51,94"
03001,Allier,1,89714,19839,"22,11",69875,"77,89",6871,"7,66","9,83",2870,"3,2","4,11",60134,"67,03","86,06",38345,21789,"42,74","24,29","63,77","36,23"
03002,Allier,2,84622,21417,"25,31",63205,"74,69",6432,"7,6","10,18",3202,"3,78","5,07",53571,"63,31","84,76",34520,19051,"40,79","22,51","64,44","35,56"
03003,Allier,3,79143,18038,"22,79",61105,"77,21",5574,"7,04","9,12",2450,"3,1","4,01",53081,"67,07","86,87",33714,19367,"42,6","24,47","63,51","36,49"
04001,Alpes-de-Haute-Provence,1,61143,13626,"22,29",47517,"77,71",4656,"7,61","9,8",1860,"3,04","3,91",41001,"67,06","86,29",23184,17817,"37,92","29,14","56,54","43,46"
04002,Alpes-de-Haute-Provence,2,65316,15629,"23,93",49687,"76,07",5015,"7,68","10,09",1862,"2,85","3,75",42810,"65,54","86,16",25810,17000,"39,52","26,03","60,29","39,71"
05001,Hautes-Alpes,1,57730,13066,"22,63",44664,"77,37",4366,"7,56","9,78",1455,"2,52","3,26",38843,"67,28","86,97",24502,14341,"42,44","24,84","63,08","36,92"
05002,Hautes-Alpes,2,52162,11829,"22,68",40333,"77,32",4304,"8,25","10,67",1244,"2,38","3,08",34785,"66,69","86,24",22709,12076,"43,54","23,15","65,28","34,72"
