ID,Régions-2015,Population 2013,remarque
44,Grand Est,5552388,
75,Nouvelle-Aquitaine,5844177,
84,Auvergne-Rhône-Alpes,7757595,
27,Bourgogne-Franche-Comté,2819783,
53,Bretagne,3258707,
24,Centre-Val de Loire,2570548,
94,Corse,320208,
11,Île-de-France,11959807,
76,Occitanie,5683878,
32,Hauts-de-France,5987883,
28,Normandie,3328364,
52,Pays de la Loire,3660852,
93,Provence-Alpes-Côte d'Azur,4953675,
01,Guadeloupe,402119,
02,Guyane,244118,
03,La Réunion,835103,
04,Martinique,385551,
06,Mayotte,217091,donnée 2012
