ID,Densite population,Pop totale,Pop urbaine,Pop rurale,Pop masculine,Pop féminine,Taux scolarisation 7-12 ans,Taux scolarisation 7-12 ans URBAINS,Taux scolarisation 7-12 ans RURAUX,Taux analphabétisme pop sup 10 ans,Taux analphabétisme pop sup 10 ans URBAINS,Taux analphabétisme pop sup 10 ans RURAL
321,23.1057270117,232416,229979,2437,119122,113294,97.747917,97.768027,95.212766,19.567316,19.456413,30.066701
461,92.2000145443,631725,216430,415295,319446,312279,92.220512,97.42622,89.906829,41.994624,25.285968,51.13965
181,201.548713242,786716,312275,474441,400615,386101,92.572009,98.007633,89.751808,38.289002,19.951144,51.054097
467,141.46695509,452448,85682,366766,229023,223425,92.548527,96.596669,91.684694,47.80541,28.23782,52.467429
431,167.324969319,691983,345890,346093,350516,341467,94.417018,97.77988,91.80501,36.539396,22.850416,51.248811
585,86.166751735,251943,100883,151060,128372,123571,91.339551,97.381408,88.238031,42.803013,26.113692,54.884023
131,13.8288456551,197475,65587,131888,97324,100151,91.410991,97.802626,88.345701,42.133316,28.851004,48.885162
231,3641.5007089,1146088,1125756,20332,567132,578956,97.032069,97.10299,93.330349,26.366273,26.127836,40.252366
591,119.449853475,172311,23383,148928,88071,84240,93.069083,95.930791,92.597869,46.810702,38.399774,48.100366
451,81.0681995551,285938,155077,130861,138871,147067,94.999671,97.917958,91.687764,37.067716,27.069113,49.291451
281,312.29385115,1052177,597931,454246,525815,526362,93.597086,97.30384,89.815974,35.079502,22.412837,52.970588
481,166.572839022,522070,168434,353636,264169,257901,95.440685,97.527179,94.584095,40.405243,26.927136,47.130151
491,216.988244496,320205,130913,189292,160086,160119,93.806372,96.70338,92.103746,38.738018,26.48923,47.666685
355,789.939968231,171822,119803,52019,87268,84554,97.12234,97.229917,96.871176,26.949509,25.036268,31.399788
371,1505.60264001,403392,287864,115528,200520,202872,97.917105,98.454531,96.79799,22.118402,18.565505,31.463452
385,743.781642734,325651,271664,53987,166571,159080,97.743458,97.846448,97.213572,26.499311,25.725297,30.408883
191,134.648510149,535753,152649,383104,271904,263849,95.511111,97.570995,94.72391,41.220063,28.509783,46.445577
351,509.277704551,1323005,974021,348984,654865,668140,97.243781,98.130223,95.251557,24.877187,20.770828,37.274373
161,51.8741800131,369494,62218,307276,184472,185022,92.12738,97.016843,91.241857,50.52393,31.80171,54.393554
71,1.10909007422,26947,18584,8363,13435,13512,89.186603,97.768281,71.622935,36.84755,28.779525,54.874525
521,7.34577006396,85655,82149,3506,43605,42050,97.18205,98.214483,68.882175,25.235257,24.02563,52.305085
211,68.5407134642,449133,105596,343537,225450,223683,92.29584,97.615991,90.965375,48.941406,25.898957,56.355097
41,95.1389663937,571999,84205,487794,291795,280204,94.632103,98.122466,94.065153,44.114752,27.897253,46.95254
221,0.797201605654,50864,50016,848,25550,25314,97.835845,98.374777,58.823529,21.749243,21.276217,48.489209
121,0.84481217745,44440,42504,1936,23857,20583,97.882488,98.383683,40,29.151783,28.168341,47.249725
311,122.781022541,538325,374912,163413,264203,274122,96.238649,98.191119,92.274333,31.311327,24.13596,48.286496
537,1.06785394021,13028,7986,5042,7158,5870,96.698873,97.64268,94.954128,29.006686,24.309828,36.213992
427,54.3241419515,311457,103063,208394,160444,151013,93.589392,97.575545,91.777157,44.478472,28.112676,52.796972
301,57.9224961727,370178,227608,142570,182072,188106,94.230869,98.195073,88.472089,43.653624,34.279766,58.852938
201,15.3798388156,415963,191921,224042,204259,211704,97.208957,98.545587,96.037909,26.334915,19.003612,32.665075
363,22.6807911679,288990,125773,163217,142732,146258,91.446533,98.216542,86.805237,41.356852,27.838587,52.138268
171,115.028451156,246173,121031,125142,122907,123266,95.110459,97.029784,93.385642,37.642885,30.480239,44.754105
271,42.6436905574,153771,83142,70629,75661,78110,93.129915,97.906436,88.59875,38.037649,25.695023,53.13731
61,463.967600496,827479,684484,142995,408004,419475,97.078418,98.046917,93.06937,25.312667,21.484139,44.536239
113,158.297628024,287977,181636,106341,143198,144779,95.348568,96.874421,92.817623,33.283515,28.153116,42.188352
167,73.5447059924,211049,56014,155035,102018,109031,90.595836,95.570235,88.812261,46.310857,36.248594,49.887732
251,3.81466130994,135603,66461,69142,66192,69411,73.508557,97.474453,56.246057,46.181579,26.271658,67.250348
275,16.0773732164,108011,65918,42093,53266,54745,91.137693,97.127525,83.72093,38.764336,30.756912,52.105376
411,302.115033045,549615,504895,44720,272157,277458,96.734272,97.659797,87.381425,23.26773,21.276646,47.016229
533,30.9232101998,232752,149917,82835,114433,118319,91.339014,96.465193,83.196763,41.979584,34.043466,56.753227
66,0.0376578216551,2396,0,2396,1836,560,95.575221,0,95.575221,25.302889,0,25.302889
391,1.542008718,111625,102098,9527,64222,47403,98.020309,98.057752,92.771084,22.245378,21.058792,32.360515
421,4868.48464158,572717,572717,0,277348,295369,98.463254,98.463254,0,15.496378,15.496378,0
291,67.934849576,539828,279671,260157,265392,274436,92.483058,97.621363,87.336533,40.405767,28.954008,53.100137
441,1383.88722645,973418,907899,65519,483382,490036,97.561661,98.215015,90.29653,21.651789,20.078417,44.946903
501,527.342314702,572170,515390,56780,286644,285526,97.862646,98.176102,95.311507,22.229058,20.66891,36.797509
401,24.2248708428,295622,112092,183530,141717,153905,96.678565,98.407108,95.628495,33.934993,19.728098,42.619503
577,23.5543754379,321184,75007,246177,158603,162581,93.30018,97.249169,92.278059,37.10272,25.04719,40.94563
587,13.8392426667,305510,50668,254842,149094,156416,95.767139,97.690531,95.391942,36.784504,26.021516,38.977835
473,38.8100456314,115055,30956,84099,54207,60848,95.845088,98.631657,95.007228,43.255199,27.094093,49.309031
1,246.598205124,598757,506517,92240,301264,297493,97.808758,98.673666,93.535711,23.495175,19.377959,46.386934
163,106.021468948,369777,113439,256338,183120,186657,95.890789,96.742011,95.486047,39.09466,32.644196,41.868998
273,1817.03958509,534525,507207,27318,268757,265768,98.073409,98.078398,97.982216,26.496425,25.98941,35.96203
541,52.3565793634,834907,247718,587189,400778,434129,96.151685,97.915973,95.461718,40.667622,27.771525,46.145572
581,40.1749392232,205182,80400,124782,95875,109307,96.621286,99.01599,94.998333,35.936706,22.130131,44.618486
81,59.7576980583,552884,100189,452695,277571,275313,91.105114,98.346961,89.727463,47.607932,28.861532,51.983521
91,125.760377815,548776,325562,223214,266710,282066,95.030568,97.799773,91.35963,35.10792,26.681913,47.815634
255,193.706303839,502212,205575,296637,246261,255951,95.180034,97.023158,93.856778,39.389001,32.383208,44.362978
151,117.24625126,456701,57210,399491,236036,220665,90.012358,97.990031,89.059047,40.158054,22.411198,42.807975
227,113.670250141,75485,0,75485,38911,36574,93.224778,0,93.224778,39.252227,0,39.252227
331,181.019012498,495030,264775,230255,250037,244993,93.9512,97.483781,90.587395,36.50898,24.924097,50.38706
573,786.328576281,208899,197532,11367,107430,101469,97.462296,97.652245,94.352941,24.151571,23.512943,35.060319
405,139.67460838,298751,69816,228935,149747,149004,96.634857,98.668997,96.102113,39.217002,24.950724,43.673542
511,1025.96212789,1060261,1000644,59617,540280,519981,97.250272,97.44413,94.446973,21.775854,20.58265,42.110528
571,285.366896366,547177,394849,152328,274866,272311,94.561195,98.218654,87.271475,27.546867,21.106788,45.152364
531,118.758205427,660736,84780,575956,331007,329729,90.07254,97.138377,89.109321,47.818671,28.245224,50.728287
561,86.6090513853,526986,206551,320435,259260,267726,93.436198,98.296958,90.778515,41.459192,26.867719,51.206377
141,15263.5767318,3343642,3343642,0,1647986,1695656,98.229188,98.229188,0,17.165793,17.165793,0
111,92.6932745983,229065,113048,116017,116821,112244,94.894136,98.02572,92.174597,32.17865,21.58104,42.748174
117,189.620661396,482312,272067,210245,245852,236460,95.065042,97.555317,92.116914,32.177093,23.272382,43.924592
261,16.4988012667,186832,138730,48102,90615,96217,96.821717,98.338825,92.260062,29.264105,25.564077,39.823369
551,4.38342780213,114758,37917,76841,50519,64239,97.007248,99.060694,96.024888,36.706836,24.963014,42.458298
265,30.0740925188,216105,90268,125837,107414,108691,89.887032,96.154215,85.649439,41.986914,31.0629,49.954115
51,112.725354061,397708,135840,261868,198506,199202,92.481278,97.603505,90.402315,39.319859,27.34404,45.735639
381,179.010737192,561070,389408,171662,282896,278174,94.823472,96.442403,91.395771,32.26625,28.174207,41.679734
