ID,Densite population,Pop totale,Pop urbaine,Pop rurale,Pop masculine,Pop féminine,Taux scolarisation 7-12 ans,Taux scolarisation 7-12 ans URBAINS,Taux scolarisation 7-12 ans RURAUX,Taux analphabétisme pop sup 10 ans,Taux analphabétisme pop sup 10 ans URBAINS,Taux analphabétisme pop sup 10 ans RURAL
9,49.7327959337,2657906,1493198,1164708,1300313,1357593,96.916707,98.207377,95.367375,33.136452,24.259424,44.571695
5,93.1069348091,2512375,1233846,1278529,1236817,1275558,94.191607,97.902242,91.033954,39.087576,28.443645,49.802757
8,18.5544541267,1627269,555461,1071808,796405,830864,95.044253,98.202766,93.49493,34.45806,22.633681,40.7455
12,0.838297835017,114021,102098,11923,66058,47963,97.996957,98.057752,94.387755,22.317549,21.058792,31.039595
3,108.846519031,4216957,2549791,1667166,2088237,2128720,94.448184,97.511751,90.493371,34.657904,25.41745,49.329466
6,339.464833355,6826773,5022475,1804298,3414102,3412671,95.953786,98.054427,91.406935,26.221661,18.979614,47.550091
10,8.24927810483,414489,270419,144070,201862,212627,96.089257,98.28477,91.979208,32.850313,25.495793,46.525179
11,2.45733679935,340748,330485,10263,175687,165061,97.746579,97.958558,87.665782,21.492996,20.950083,38.147329
7,115.337079012,4504767,1928525,2576242,2267818,2236949,94.660927,97.879097,92.680228,37.789213,23.329188,49.249637
4,255.313517453,4552585,3172955,1379630,2262836,2289749,95.509033,97.903956,91.155466,29.446822,21.152045,49.719185
1,218.822482906,3540012,2120666,1419346,1795813,1744199,94.610343,97.681754,90.949951,30.996473,22.126337,44.689723
2,34.5564212351,2302182,1504517,797665,1141574,1160608,92.281171,96.912472,84.570481,34.43292,26.897236,49.075461
