Commune,Inscrits,Votants,% Votants,Abstention,% Abstention,Nuls,% Nuls,Blancs,% Blancs,Exprimés,% Exprimés,OUI,% OUI,NON,% NON
BÉLEP,920,707,"76,85",213,"23,15",4,"0,57",0,"0,00",703,"99,43",664,"94,45",39,"5,55"
BOULOUPARIS,2645,2400,"90,74",245,"9,26",18,"0,75",6,"0,25",2376,"99,00",719,"30,26",1657,"69,74"
BOURAIL,3934,3482,"88,51",452,"11,49",33,"0,95",17,"0,49",3432,"98,56",1061,"30,91",2371,"69,09"
CANALA,3406,2974,"87,32",432,"12,68",24,"0,81",20,"0,67",2930,"98,52",2762,"94,27",168,"5,73"
DUMBÉA ,16546,13699,"82,79",2847,"17,21",122,"0,89",111,"0,81",13466,"98,30",2930,"21,76",10536,"78,24"
FARINO ,548,520,"94,89",28,"5,11",6,"1,15",2,"0,38",512,"98,46",47,"9,18",465,"90,82"
HIENGHÈNE,2390,2069,"86,57",321,"13,43",19,"0,92",10,"0,48",2040,"98,60",1933,"94,75",107,"5,25"
HOUAILOU,3578,2948,"82,39",630,"17,61",30,"1,02",17,"0,58",2901,"98,41",2434,"83,90",467,"16,10"
ILE DES PINS ,1711,1411,"82,47",300,"17,53",14,"0,99",11,"0,78",1386,"98,23",933,"67,32",453,"32,68"
KAALA-GOMEN ,1634,1430,"87,52",204,"12,48",6,"0,42",8,"0,56",1416,"99,02",1068,"75,42",348,"24,58"
KONÉ,4149,3638,"87,68",511,"12,32",35,"0,96",16,"0,44",3587,"98,60",2307,"64,32",1280,"35,68"
KOUAOUA ,1132,954,"84,28",178,"15,72",5,"0,52",8,"0,84",941,"98,64",692,"73,54",249,"26,46"
KOUMAC ,2660,2388,"89,77",272,"10,23",23,"0,96",26,"1,09",2339,"97,95",853,"36,47",1486,"63,53"
LA FOA,2879,2631,"91,39",248,"8,61",25,"0,95",16,"0,61",2590,"98,44",776,"29,96",1814,"70,04"
LIFOU,10477,6526,"62,29",3951,"37,71",53,"0,81",33,"0,51",6440,"98,68",5147,"79,92",1293,"20,08"
MARÉ,7385,3971,"53,77",3414,"46,23",37,"0,93",4,"0,10",3930,"98,97",3324,"84,58",606,"15,42"
MOINDOU,747,682,"91,30",65,"8,70",5,"0,73",5,"0,73",672,"98,53",299,"44,49",373,"55,51"
MONT-DORE,17369,14522,"83,61",2847,"16,39",196,"1,35",141,"0,97",14185,"97,68",3626,"25,56",10559,"74,44"
NOUMÉA,50686,40697,"80,29",9989,"19,71",227,"0,56",362,"0,89",40108,"98,55",7818,"19,49",32290,"80,51"
OUÉGOA ,2157,1832,"84,93",325,"15,07",7,"0,38",5,"0,27",1820,"99,34",1271,"69,84",549,"30,16"
OUVÉA,4374,2598,"59,40",1776,"40,60",24,"0,92",8,"0,31",2566,"98,77",2160,"84,18",406,"15,82"
PAITA,11147,9544,"85,62",1603,"14,38",75,"0,79",88,"0,92",9381,"98,29",2430,"25,90",6951,"74,10"
POINDIMIÉ,4057,3567,"87,92",490,"12,08",33,"0,93",24,"0,67",3510,"98,40",2782,"79,26",728,"20,74"
PONÉRIHOUEN,2596,2238,"86,21",358,"13,79",20,"0,89",14,"0,63",2204,"98,48",1887,"85,62",317,"14,38"
POUÉBO,2335,1888,"80,86",447,"19,14",10,"0,53",1,"0,05",1877,"99,42",1769,"94,25",108,"5,75"
POUEMBOUT,1383,1218,"88,07",165,"11,93",13,"1,07",10,"0,82",1195,"98,11",556,"46,53",639,"53,47"
POUM ,1366,1152,"84,33",214,"15,67",9,"0,78",10,"0,87",1133,"98,35",948,"83,67",185,"16,33"
POYA,2242,1950,"86,98",292,"13,02",14,"0,72",7,"0,36",1929,"98,92",1147,"59,46",782,"40,54"
SARRAMÉA,506,472,"93,28",34,"6,72",3,"0,64",4,"0,85",465,"98,52",339,"72,90",126,"27,10"
THIO,2114,1805,"85,38",309,"14,62",15,"0,83",5,"0,28",1785,"98,89",1483,"83,08",302,"16,92"
TOUHO,1889,1612,"85,34",277,"14,66",9,"0,56",5,"0,31",1598,"99,13",1320,"82,60",278,"17,40"
VOH,2312,2027,"87,67",285,"12,33",30,"1,48",19,"0,94",1978,"97,58",1357,"68,60",621,"31,40"
YATÉ,1721,1547,"89,89",174,"10,11",8,"0,52",1,"0,06",1538,"99,42",1357,"88,23",181,"11,77"
