ID,Code_ONS,Region,Pop_2017
UKC,E12000001,North East (England),2644727
UKD,E12000002,North West (England),7258627
UKE,E12000003,Yorkshire and The Humber,5450130
UKF,E12000004,East Midlands (England),4771666
UKI,E12000007,London,8825001
UKG,E12000005,West Midlands (England),5860706
UKH,E12000006,East of England,6168432
UKJ,E12000008,South East (England),9080825
UKK,E12000009,South West (England),5559316
UKL,W92000004,Wales,3125165
UKM,S92000003,Scotland,5424800
UKN,N92000002,Northern Ireland,1870834
