ID,nuts318nm,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018
UKC11,Hartlepool and Stockton-on-Tees,146 061,146 460,146 831,147 193,147 738
UKC12,South Teesside,140 074,140 189,140 491,140 885,141 064
UKC13,Darlington,54 365,54 413,54 467,54 580,54 621
UKC14,Durham CC,263 150,263 892,264 810,265 764,266 651
UKC21,Northumberland,161 950,161 986,162 196,162 958,163 057
UKC22,Tyneside,426 590,427 734,429 235,431 205,432 609
UKC23,Sunderland,141 784,141 960,142 056,142 150,142 295
UKD11,West Cumbria,118 121,118 056,117 962,117 751,117 439
UKD12,East Cumbria,134 783,134 817,134 855,135 002,135 038
UKD33,Manchester,256 014,259 799,264 834,268 285,271 161
UKD34,Greater Manchester South West,237 675,239 650,241 672,243 880,245 916
UKD35,Greater Manchester South East,258 162,259 226,260 699,262 000,263 030
UKD36,Greater Manchester North West,302 970,303 812,304 785,305 793,306 946
UKD37,Greater Manchester North East,319 720,321 202,323 040,325 036,326 579
UKD41,Blackburn with Darwen,73 830,73 765,73 940,74 146,74 169
UKD42,Blackpool,71 802,71 336,70 921,70 760,70 494
UKD44,Lancaster and Wyre,127 228,127 506,128 057,128 634,128 890
UKD45,Mid Lancashire,193 933,194 625,195 459,196 206,196 475
UKD46,East Lancashire,165 200,165 479,165 855,166 406,166 532
UKD47,Chorley and West Lancashire,112 724,113 698,114 621,115 702,116 424
UKD61,Warrington,103 800,104 419,104 946,105 416,105 968
UKD62,Cheshire East,190 667,191 344,191 992,192 898,193 554
UKD63,Cheshire West and Chester,170 118,170 780,171 609,172 559,173 231
UKD71,East Merseyside,231 317,232 140,232 944,233 831,234 515
UKD72,Liverpool,238 346,240 381,243 394,245 885,247 598
UKD73,Sefton,142 364,142 401,142 394,142 393,142 451
UKD74,Wirral,166 298,166 426,166 392,166 408,166 519
UKE11,"Kingston upon Hull, City of",128 176,128 339,128 850,129 231,129 529
UKE12,East Riding of Yorkshire,171 649,171 827,171 875,172 100,172 383
UKE13,North and North East Lincolnshire,167 038,167 221,167 404,167 696,167 855
UKE21,York,103 845,104 637,105 313,105 903,106 387
UKE22,North Yorkshire CC,306 626,307 302,308 330,309 677,310 393
UKE31,"Barnsley, Doncaster and Rotherham",406 090,407 747,409 488,411 509,413 135
UKE32,Sheffield,283 496,285 395,287 639,289 565,291 471
UKE41,Bradford,267 349,268 268,269 425,270 577,271 358
UKE42,Leeds,388 516,391 643,395 463,398 454,401 057
UKE44,Calderdale and Kirklees,322 292,323 769,325 284,326 558,328 081
UKE45,Wakefield,168 277,169 270,170 516,172 159,173 110
UKF11,Derby,127 234,127 841,128 672,129 402,130 145
UKF12,East Derbyshire,142 751,143 274,143 908,144 557,144 980
UKF13,South and West Derbyshire,253 139,254 263,255 168,256 742,257 876
UKF14,Nottingham,154 634,156 554,159 020,161 373,162 390
UKF15,North Nottinghamshire,233 034,234 484,236 078,238 066,239 523
UKF16,South Nottinghamshire,172 708,173 708,174 436,175 193,176 372
UKF21,Leicester,169 968,171 974,174 100,175 889,177 483
UKF22,Leicestershire CC and Rutland,353 906,357 113,360 724,365 325,368 087
UKF24,West Northamptonshire,193 932,196 069,198 321,200 332,201 945
UKF25,North Northamptonshire,165 819,167 727,169 904,172 311,174 037
UKF30,Lincolnshire,372 765,375 619,378 622,381 893,383 983
UKG11,"Herefordshire, County of",94 631,94 994,95 400,96 086,96 505
UKG12,Worcestershire,291 332,292 935,294 947,297 405,298 983
UKG13,Warwickshire,278 831,280 186,281 657,283 895,284 905
UKG21,Telford and Wrekin,85 306,86 063,86 960,87 887,88 466
UKG22,Shropshire CC,156 197,156 958,157 796,159 130,159 731
UKG23,Stoke-on-Trent,125 615,125 883,126 390,126 945,127 432
UKG24,Staffordshire CC,432 381,433 471,434 665,436 529,437 619
UKG31,Birmingham,556 264,561 209,567 170,572 401,577 263
UKG32,Solihull,107 841,108 168,108 598,109 348,109 858
UKG33,Coventry,165 807,169 236,173 113,176 435,179 407
UKG36,Dudley,160 293,160 821,161 345,162 195,162 659
UKG37,Sandwell,159 570,160 726,162 077,163 383,164 659
UKG38,Walsall,138 774,139 762,140 970,142 378,143 279
UKG39,Wolverhampton,127 368,128 250,129 375,130 495,131 308
UKH11,Peterborough,95 260,96 280,97 578,98 786,99 690
UKH12,Cambridgeshire CC,316 870,319 503,321 411,323 091,324 715
UKH14,Suffolk,373 954,376 847,378 835,381 149,383 126
