States,2010,2011,2012,2013,2014,2015
Alabama,4785161,4801108,4816089,4830533,4846411,4858979
Alaska,714021,72272,731228,737442,737046,738432
Arizona,6408208,6468732,6553262,6630799,6728783,6828065
Arkansas,2922394,2938538,2949499,2957957,2966835,2978204
California,37334079,37700034,38056055,38414128,38792291,39144818
Colorado,5048254,5119480,5191731,5271132,5355588,5456574
Connecticut,3579717,3589759,3593541,3597168,3594762,3590886
Delaware,899791,907916,917099,925353,935968,945934
District of Columbia,605126,620472,635342,64954,659836,672228
Florida,18849890,19105533,19352021,19594467,19905569,20271272
Georgia,9713454,9812280,9917639,9991562,10097132,10214860
Hawaii,1363980,1378227,1392641,1408765,1420257,1431603
Idaho,1570986,1584134,1596097,1612785,1634806,1654930
Illinois,12841249,12861882,12875167,12889580,12882189,12859995
Indiana,6490590,6516845,6538283,6570518,6597880,6619680
Iowa,3050694,3065389,3076636,3092224,3109481,3123899
Kansas,2858824,2869917,2886281,2894630,2902507,2911641
Kentucky,4347937,4367882,4382667,4398500,4412617,4425092
Louisiana,4544951,4575381,4603676,4627491,4648990,4670724
Maine,1327695,1328257,1328888,1328778,1330256,1329328
Maryland,5788409,5844171,5890740,5936040,5975346,6006401
Massachusetts,6565036,6611797,6657780,6708810,6755124,6794422
Michigan,9877369,9876589,9886879,9900506,9916306,9922576
Minnesota,5310903,5348119,5380443,5420541,5457125,5489594
Mississippi,2970316,2977999,2985660,2990976,2993443,2992333
Missouri,5996052,6010587,6025468,6043708,6063827,6083672
Montana,990643,997746,1005157,1014402,1023252,1032949
Nebraska,1830025,1842383,1855973,1869300,1882980,1896190
Nevada,2703440,2718819,2754874,2790366,2838281,2890845
New Hampshire,1316708,1318344,1321393,1322660,1327996,1330608
New Jersey,8803881,8842934,8874893,8907384,8938844,8958013
New Mexico,2064741,2078226,2084792,2086890,2085567,2085109
New York,19402920,19523202,19606981,19691032,19748858,19795791
North Carolina,9558979,9651025,9747021,9845432,9940387,10042802
North Dakota,67453,685326,702265,723626,74004,756927
Ohio,11540766,11545442,11551783,11572232,11596998,11613423
Oklahoma,3759596,3786626,3817679,3853405,3879610,3911338
Oregon,3837972,3868509,3899444,3928030,3971202,4028977
Pennsylvania,12712014,12745202,12772789,12783536,12793767,12802503
Rhode Island,1053219,1051856,1052393,1052856,1054907,1056298
South Carolina,4635894,4672733,4721341,4768498,4829160,4896146
South Dakota,816299,824289,834631,84527,853304,858469
Tennessee,6356585,6398408,6455469,6496130,6547779,6600299
Texas,25244363,25654464,26089741,26500674,26979078,27469114
Utah,2775426,2816440,2856343,2903685,2944498,2995919
Vermont,625984,626687,626398,627129,626767,626042
Virginia,8025787,8110783,8193374,8267875,8328098,8382993
Washington,6743060,6823229,6897292,6973281,7063166,7170351
West Virginia,1854225,1854948,1856283,1852985,1848751,1844128
Wisconsin,5690204,5709720,5726422,5743653,5759432,5771337
Wyoming,564516,567768,57708,583131,584304,586107
Puerto Rico,3721526,3678736,3634487,3593079,3534888,3474182
