ID,Name,Nombre d’inscrits,Nombre de procurations,Nombre de votants,% votants,Nombre abstention,% abstention,Nombre de bulletins blancs,% blancs,Nombre de bulletins nuls,% nuls,Nombre de bulletins exprimés,% exprimés,MACRON,LE PEN,% MACRON,% LE PEN
132,"Ecole Maternelle ""Sully""",963,81,756,"78,50",207,"21,50",61,"8,07",11,"1,46",684,"90,48",586,98,"85,67","14,33"
133,"Ecole Maternelle ""Sully""",949,105,743,"78,29",206,"21,71",58,"7,81",10,"1,35",675,"90,85",611,64,"90,52","9,48"
134,"Ecole Maternelle ""Sully""",1001,77,764,"76,32",237,"23,68",78,"10,21",8,"1,05",678,"88,74",593,85,"87,46","12,54"
141,"Ecole Primaire ""Noire""",978,69,745,"76,18",233,"23,82",45,"6,04",19,"2,55",681,"91,41",612,69,"89,87","10,13"
142,"Ecole Primaire ""Noire""",954,97,723,"75,79",231,"24,21",42,"5,81",11,"1,52",670,"92,67",620,50,"92,54","7,46"
143,"Ecole Primaire ""Noire""",966,108,753,"77,95",213,"22,05",57,"7,57",12,"1,59",684,"90,84",607,77,"88,74","11,26"
144,"Ecole Primaire ""Noire""",1008,81,779,"77,28",229,"22,72",50,"6,42",16,"2,05",713,"91,53",624,89,"87,52","12,48"
152,"Ecole Primaire ""Léon Say""",998,100,798,"79,96",200,"20,04",53,"6,64",19,"2,38",726,"90,98",627,99,"86,36","13,64"
154,"Ecole Primaire ""Léon Say""",874,110,711,"81,35",163,"18,65",59,"8,30",15,"2,11",637,"89,59",562,75,"88,23","11,77"
173,"Ecole Maternelle ""Fellonneau""",990,89,807,"81,52",183,"18,48",61,"7,56",18,"2,23",728,"90,21",662,66,"90,93","9,07"
231,"Ecole Primaire ""Gay Lussac""",905,59,676,"74,70",229,"25,30",57,"8,43",17,"2,51",602,"89,05",513,89,"85,22","14,78"
242,"Ecole Maternelle ""Agenêts""",863,89,683,"79,14",180,"20,86",68,"9,96",11,"1,61",604,"88,43",531,73,"87,91","12,09"
243,"Ecole Maternelle ""Agenêts""",825,89,653,"79,15",172,"20,85",48,"7,35",12,"1,84",593,"90,81",517,76,"87,18","12,82"
244,"Ecole Maternelle ""Agenêts""",800,42,610,"76,25",190,"23,75",67,"10,98",10,"1,64",533,"87,38",449,84,"84,24","15,76"
261,"Ecole Elementaire ""Coudray""",845,110,686,"81,18",159,"18,82",48,"7,00",11,"1,60",627,"91,40",547,80,"87,24","12,76"
272,"Ecole Maternelle ""Port Boyer""",923,61,673,"72,91",250,"27,09",45,"6,69",13,"1,93",615,"91,38",530,85,"86,18","13,82"
273,"Ecole Maternelle ""Port Boyer""",857,66,631,"73,63",226,"26,37",49,"7,77",13,"2,06",569,"90,17",512,57,"89,98","10,02"
351,"Ecole Maternelle ""Gustave Roch""",950,62,689,"72,53",261,"27,47",46,"6,68",19,"2,76",624,"90,57",534,90,"85,58","14,42"
353,"Ecole Maternelle ""Gustave Roch""",925,59,653,"70,59",272,"29,41",62,"9,49",17,"2,60",574,"87,90",500,74,"87,11","12,89"
371,"Ecole Maternelle ""Jacques Tati""",950,48,715,"75,26",235,"24,74",50,"6,99",11,"1,54",654,"91,47",549,105,"83,94","16,06"
381,"Ecole Elementaire ""Ledru Rollin""",845,30,599,"70,89",246,"29,11",51,"8,51",14,"2,34",534,"89,15",419,115,"78,46","21,54"
382,"Ecole Elementaire ""Ledru Rollin""",873,59,653,"74,80",220,"25,20",58,"8,88",11,"1,68",584,"89,43",509,75,"87,16","12,84"
