Mission,Région,Pays,ID geo Khartis,Début,Fin,Statut octobre 2017
FINUL,Moyen-Orient,Liban,Liban,1978,,en cours
FISNUA,Afrique,Soudan (Abiyé),Soudan du Sud,2011,,en cours
FNUOD,Moyen-Orient,Syrie (Golan),Syrie,1973,,en cours
MINUAD,Afrique,Soudan (Darfour),Soudan,2007,,en cours
MINUJUSTH,Amérique centrale,Haiti,Haïti,2017,,en cours
MINUK,Europe,Kosovo,Kosovo,1999,,en cours
MINUL,Afrique,Libéria,Liberia,2003,,en cours
MINURSO,Afrique,Sahara occidental,Sahara occidental,1991,,en cours
MINUSCA,Afrique,RCA,République centrafricaine,2014,,en cours
MINUSMA,Afrique,Mali,Mali,2013,,en cours
MINUSS / MANURSS,Afrique,Soudan du Sud,Soudan du Sud,2005,,en cours
MONUSCO,Afrique,RDC,République démocratique du Congo,2010,,en cours
ONUST,Moyen-Orient,,Syrie,1948,,en cours
UNFICYP,Europe,Chypre,Chypre,1964,,en cours
UNMOGIP,Asie et Pacifique,Inde / Pakistan,Pakistan,1949,,en cours
MINUSTAH,Amérique centrale,Haïti,Haïti,2004,2017,terminée
APRONUC,Asie et Pacifique,Cambodge,Cambodge,1992,1993,terminée
ATNUSO,Europe,Croatie,Croatie,1996,1998,terminée
ATNUTO,Asie et Pacifique,Timor oriental,Timor-Leste,1999,2002,terminée
DOMREP,Amérique centrale,R. dominicaine,République dominicaine,1965,1966,terminée
FORDEPRENU,Europe,Macédoine,Macédoine,1995,1999,terminée
FORPRONU,Europe,Ex-Yougoslavie,Croatie,1992,1995,terminée
FUNU I,Moyen-Orient,,Palestine,1956,1967,terminée
FUNU II,Moyen-Orient,,Egypte,1973,1979,terminée
GANUPT,Afrique,Namibie,Namibie,1989,1990,terminée
GOMNUI,Moyen-Orient,Iran / Irak,Irak,1988,1991,terminée
GONUBA,Afrique,Tchad (bande A),Tchad,1994,1994,terminée
GONUL,Moyen-Orient,Liban,Liban,juin-58,déc-58,terminée
MANUH,Amérique centrale,Haiti,Haïti,1996,1997,terminée
MANUTO,Asie et Pacifique,Timor oriental,Timor-Leste,2002,2005,terminée
MINUAH,Amérique centrale,Haiti,Haïti,1993,1996,terminée
MINUAR,Afrique,Rwanda,Rwanda,1993,1996,terminée
MINUBH,Europe,Bosnie,Bosnie-Herzégovine,1995,2002,terminée
MINUCI,Afrique,Côte d'Ivoire,Côte d'Ivoire,2003,2004,terminée
MINUEE,Afrique,Ethiopie / Erythrée,Erythrée,2000,2008,terminée
MINUGUA,Amérique centrale,Guatemala,Guatemala,1997,1997,terminée
MINURCA,Afrique,Rép centrafricaine,République centrafricaine,1998,2000,terminée
MINURCAT,Afrique,Tchad,Tchad,2007,2010,terminée
MINURSO,Afrique,RDC,République démocratique du Congo,1999,2010,terminée
MINUS,Afrique,Soudan / Soudan du Sud,Soudan du Sud,2005,2011,terminée
MINUSIL,Afrique,Sierra Leone,Sierra Leone,1999,2005,terminée
MINUT,Asie et Pacifique,Timor oriental,Timor-Leste,2006,2012,terminée
MIPONUH,Amérique centrale,Haiti,Haïti,1999,2000,terminée
MITNUH,Amérique centrale,Haiti,Haïti,1997,1997,terminée
MONUA,Afrique,Angola,Angola,1997,1999,terminée
MONUC,Afrique,RDC,République démocratique du Congo,1999,2010,terminée
MONUG,Europe,Géorgie,Géorgie,1993,2009,terminée
MONUIK,Moyen-Orient,Iran / Koweil,Koweït,1991,2003,terminée
MONUL,Afrique,Liberia,Liberia,1993,1997,terminée
MONUOR,Afrique,Rwanda / Ouganda,Rwanda,1993,1994,terminée
MONUP,Europe,Croatie / Bosnie,Bosnie-Herzégovine,1996,2002,terminée
MONUSIL,Afrique,Sierra Leone,Sierra Leone,1998,1999,terminée
MONUT,Asie et Pacifique,Tadjikistan,Tadjikistan,1994,2000,terminée
ONUB,Afrique,Burundi,Burundi,2004,2006,terminée
ONUC,Afrique,RDC,République démocratique du Congo,1960,1964,terminée
ONUCA,Amérique centrale,"Costa Rica, El Salvador, Guatemala, Honduras et Nicaragua",Honduras,1989,1992,terminée
ONUCI,Afrique,Côte d'Ivoire,Côte d'Ivoire,2004,2017,terminée
ONUMOZ,Afrique,Mozambique,Mozambique,1992,1994,terminée
ONURC,Europe,Croatie,Croatie,1995,1996,terminée
ONUSAL,Amérique centrale,Salvador,El Salvador,1991,1995,terminée
ONUSOM I,Afrique,Somalie,Somalie,1992,1993,terminée
ONUSOM II,Afrique,Somalie,Somalie,1993,1995,terminée
UNAMIC,Asie et Pacifique,Cambodge,Cambodge,1991,1992,terminée
UNAVEM I,Afrique,Angola,Angola,1989,1991,terminée
UNAVEM II,Afrique,Angola,Angola,1991,1995,terminée
UNAVEM III,Afrique,Angola,Angola,1995,1997,terminée
UNGOMAP,Asie et Pacifique,Afghanistan / Pakistan,Afghanistan,1988,1990,terminée
UNIPOM,Asie et Pacifique,Inde / Pakistan,Pakistan,1965,1966,terminée
UNPSG,Europe,Croatie,Croatie,janv-98,oct-98,terminée
UNSF,Asie et Pacifique,Indonésie,Indonésie,1962,1963,terminée
UNYOM,Moyen-Orient,Yémen,Yémen,1963,1964,terminée
MANUA,Asie et Pacifique,Afghanistan,Afghanistan,2002,,en cours
