Rang,Aire urbaine,Latitude,Longitude,Population municipale 2013,Variation relative annuelle 13/08 en %,Nombre de communes2,Rang (1 à 4),Classement aires urbaines 2013 (selon le nombre d'habitants)
1,Paris,48.856614,2.3522219,12405426,"0,5",1794,1,plus de 1 120 000
2,Lyon,45.764043,4.835659,2237676,"1,1",511,1,plus de 1 120 000
3,Marseille - Aix-en-Provence,43.33472219999999,5.359874100000001,1734277,"0,2",90,1,plus de 1 120 000
4,Toulouse,43.604652,1.444209,1291517,"1,4",453,1,plus de 1 120 000
5,Bordeaux,44.837789,-0.57918,1178335,"1,3",255,2,entre 580 000 et 1 120 000
6,Lille1,50.609049,3.138063,1175828,"0,4",125,2,entre 580 000 et 1 120 000
7,Nice,43.7101728,7.261953200000001,1004826,0,129,2,entre 580 000 et 1 120 000
8,Nantes,47.218371,-1.553621,908815,"1,2",114,2,entre 580 000 et 1 120 000
9,Strasbourg,48.5734053,7.752111299999999,773447,"0,4",267,2,entre 580 000 et 1 120 000
10,Rennes,48.117266,-1.6777926,700675,"1,4",190,2,entre 580 000 et 1 120 000
11,Grenoble,45.188529,5.724524,684398,"0,6",197,2,entre 580 000 et 1 120 000
12,Rouen,49.44323199999999,1.099971,660256,"0,3",293,2,entre 580 000 et 1 120 000
13,Toulon,43.124228,5.928,611978,"0,2",40,2,entre 580 000 et 1 120 000
14,Montpellier,43.610769,3.876716,579401,"1,5",116,3,entre 320 000 et 580 000
15,Douai - Lens,50.4279697,2.8375319,539322,"-0,2",103,3,entre 320 000 et 580 000
16,Avignon,43.94931700000001,4.805528,518981,"0,4",97,3,entre 320 000 et 580 000
17,Saint-Étienne,45.439695,4.3871779,515240,"0,3",117,3,entre 320 000 et 580 000
18,Tours,47.394144,0.68484,487023,"0,6",144,3,entre 320 000 et 580 000
19,Clermont-Ferrand,45.77722199999999,3.087025,472943,"0,6",185,3,entre 320 000 et 580 000
20,Nancy,48.692054,6.184417,432788,"-0,1",285,3,entre 320 000 et 580 000
21,Orléans,47.902964,1.909251,425495,"0,5",138,3,entre 320 000 et 580 000
22,Angers,47.478419,-0.5631659999999999,407295,"0,7",133,3,entre 320 000 et 580 000
23,Caen,49.182863,-0.370679,405409,"0,4",268,3,entre 320 000 et 580 000
24,Metz,49.1193089,6.175715599999999,389898,0,218,3,entre 320 000 et 580 000
25,Dijon,47.322047,5.04148,380236,"0,4",295,3,entre 320 000 et 580 000
26,Béthune,50.531036,2.63926,369795,"0,2",122,3,entre 320 000 et 580 000
27,Valenciennes1,50.35816699999999,3.521755,367992,"0,1",90,3,entre 320 000 et 580 000
28,Le Mans,48.00611000000001,0.199556,346686,"0,5",124,3,entre 320 000 et 580 000
29,Reims,49.258329,4.031696,319059,"0,3",238,4,moins de 320 000
30,Brest,48.390394,-4.486076,315982,"0,3",52,4,moins de 320 000
31,Pointe-à-Pitre - Les Abymes,16.2376869,-61.5340424,315684,"0,2",16,4,moins de 320 000
32,Perpignan,42.6886591,2.8948332,313861,"1,2",66,4,moins de 320 000
33,Genève,46.2043907,6.1431577,300200,"2,7",114,4,moins de 320 000
34,Amiens,49.894067,2.295753,294595,"0,2",257,4,moins de 320 000
35,Bayonne,40.6687141,-74.1143091,291443,"1,1",60,4,moins de 320 000
36,Le Havre,49.49437,0.107929,290037,"-0,3",81,4,moins de 320 000
37,Mulhouse,47.750839,7.335888,286730,"0,4",65,4,moins de 320 000
38,Limoges,45.83361900000001,1.261105,283050,"0,2",96,4,moins de 320 000
39,Nîmes,43.836699,4.360054,264647,"1,4",50,4,moins de 320 000
40,Dunkerque,51.0343684,2.3767763,257269,"-0,2",57,4,moins de 320 000
41,Poitiers,46.58022400000001,0.340375,257233,"0,6",103,4,moins de 320 000
42,Besançon,47.237829,6.024053899999999,248899,"0,5",262,4,moins de 320 000
43,Pau,43.2951,-0.370797,241495,"0,1",167,4,moins de 320 000
44,Annecy,45.899247,6.129384,225173,"1,4",69,4,moins de 320 000
45,Chambéry,45.564601,5.917781,220118,1,87,4,moins de 320 000
46,Lorient,47.7482524,-3.3702449,216977,"0,4",29,4,moins de 320 000
47,Saint-Nazaire,47.2734979,-2.213848,215408,"0,7",29,4,moins de 320 000
48,La Rochelle,46.160329,-1.151139,209453,"0,9",63,4,moins de 320 000
49,Saint-Denis La Réunion,-20.8906596,55.4550536,197256,0,3,4,moins de 320 000
50,Troyes,48.2973451,4.0744009,192445,"0,4",149,4,moins de 320 000
