ROW ID,Country,ISO code,Others-Exclued cat,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Evolution 2000-2016
1,US,USA,0,569,"552,2",552,"562,5","566,1","574,5","565,7","573,3","564,2","496,2",525,"495,4","437,9","454,6","453,5","391,8","358,4",-37
2,Canada,CAN,0,"30,6","31,8",32,"31,9",30,"30,1","29,2","30,3","29,4","23,5","24,8","21,8",21,"20,8","19,7","19,6","18,7","-38,9"
3,Mexico,MEX,0,"6,6","7,2",12,"8,9","9,1","11,5","12,3","11,3","10,1","10,3","12,7","14,7","12,8","12,7","12,7","12,7","9,8","48,5"
4,Argentina,ARG,0,"0,6","0,7","0,6","0,7","1,1","1,1","1,1","1,2","1,4",1,"1,3","1,5","1,3","1,3","1,5","1,4","1,1","83,3"
5,Brazil,BRA,0,13,"12,8","12,4","12,8","13,5",13,"12,8","13,6","13,8","11,1","14,5","15,4","15,3","16,5","17,5","17,7","16,5","26,9"
6,Chile,CHL,0,"3,2","2,5","2,5","2,4","2,8","2,8","3,4","4,1","4,4",4,"4,5","5,8","6,7","7,5","7,6","7,3","8,2","156,3"
7,Colombia,COL,0,"2,7","2,7","2,2","2,4","2,1","1,3","3,7","3,2","4,9",4,"4,7","3,7","4,6",5,"5,2","5,3","4,6","70,4"
9,Peru,PER,0,"0,6","0,6","0,8","0,8","0,9","0,9","0,8",1,"0,9","0,8","0,8","0,8","0,9","0,9","0,9","0,8","0,8","33,3"
11,Venezuela,VEN,0,"0,1",,,,,,"0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",0
13,Austria,AUT,0,"3,7","3,8","3,8","4,1",4,4,"4,1","3,9","3,8","2,9","3,4","3,5","3,2","3,3",3,"3,2","3,2","-13,5"
15,Belarus,BLR,0,1,"0,7","0,7","0,6","0,6","0,7","0,6","0,7","0,6","0,6","0,6","0,8","0,8","0,9","0,8","0,7","0,8",-20
16,Belgium,BEL,0,8,"7,4","6,4",6,"5,9","5,2",5,"4,4","4,5","3,1","3,8","3,5","3,2","3,3","3,3","3,2",3,"-62,5"
17,Bulgaria,BGR,0,"6,4","7,2","6,7","7,3","7,2","6,9",7,"7,9","7,6","6,4","6,9","8,1","6,9","5,9","6,4","6,6","5,7","-10,9"
18,Czech Republic,CZE,0,"21,6","21,2","20,8",21,21,"20,2",21,"21,4","19,7","17,7","18,8","18,4","17,4","17,2",16,"16,6","16,9","-21,8"
19,Denmark,DNK,0,4,"4,2","4,2","5,7","4,4","3,7","5,6","4,7","4,1",4,"3,8","3,2","2,5","3,2","2,6","1,7","2,1","-47,5"
20,Finland,FIN,0,5,"6,1","6,6","8,2","7,4","4,7","7,4",7,"5,3","5,4","6,8","5,5","4,5",5,"4,5","3,8","4,1",-18
21,France,FRA,0,"14,2","12,4","12,8","13,6","12,9","13,4","12,4","12,8","12,1","10,8","11,5","9,8","11,1","11,6","8,6","8,4","8,3","-41,5"
22,Germany,DEU,0,"85,3","85,5","85,7","87,2",85,"81,3","84,5","86,7","80,1","71,7","77,1","78,3","80,5","82,8","79,6","78,5","75,3","-11,7"
23,Greece,GRC,0,9,"9,3",9,"8,9","9,1","8,9","8,4","8,8","8,3","8,4","7,9","7,9","8,1",7,"6,7","5,6","4,7","-47,8"
24,Hungary,HUN,0,"3,9","3,6","3,6","3,7","3,4",3,"3,1","3,1","3,1","2,6","2,7","2,7","2,6","2,3","2,2","2,4","2,3",-41
25,Ireland,IRL,0,"2,6","2,7","2,6","2,6","2,4","2,7","2,4","2,3","2,3",2,2,"1,9","2,3",2,2,"2,2","2,2","-15,4"
26,Italy,ITA,0,"12,6","13,4","13,7","14,9","16,6","16,5","16,7","16,3","15,8","12,4","13,7","15,4","15,7","13,5","13,1","12,3","10,9","-13,5"
27,Kazakhstan,KAZ,0,"17,8","22,3","22,6","24,9","26,6","26,9","28,3","31,1","33,8","30,9","33,4","36,3","36,5","36,3",41,"35,8","35,6",100
28,Lithuania,LTU,0,"0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,2","0,2",100
29,Netherlands,NLD,0,"7,8","8,3","8,3","8,6","8,5","8,1","7,7","8,4",8,"7,5","7,5","7,5","8,2","8,2","9,1",11,"10,3","32,1"
30,Norway,NOR,0,1,"0,9","0,8","0,7","0,8","0,7","0,6","0,7","0,7","0,6","0,8","0,8","0,8","0,8","0,9","0,8","0,8",-20
31,Poland,POL,0,"56,2","55,6","54,5","56,1","54,5","55,1","57,4","55,9","55,2","51,8","55,1",55,"51,2","53,4","49,4","48,7","48,8","-13,2"
32,Portugal,PRT,0,"3,7","3,2","3,5","3,4","3,3","3,3","3,3","2,9","2,5","2,9","1,6","2,2","2,9","2,7","2,7","3,3","2,9","-21,6"
33,Romania,ROU,0,"7,5","7,6","8,8","9,4","9,3","8,8","9,5","10,1","9,6","7,6",7,"8,2","7,6","5,8","5,7","5,9","5,4",-28
34,Russian Federation,RUS,0,"105,8","103,2","103,6","104,2","99,9","94,6",97,"93,9","100,7","92,2","90,5",94,"98,4","90,5","87,6","92,2","87,3","-17,5"
35,Slovakia,SVK,0,"4,3","4,4","4,3","4,6","4,5","4,2","4,5",4,4,"3,9","3,9","3,7","3,5","3,5","3,4","3,3","3,1","-27,9"
36,Spain,ESP,0,"20,9","19,2","21,6","20,1",21,"20,5","17,9",20,"13,5","9,4","6,9","12,8","15,5","11,4","11,6","13,7","10,4","-50,2"
37,Sweden,SWE,0,"2,5","2,8","2,8","2,7",3,"2,6","2,7","2,7","2,4","1,9","2,5","2,5","2,2","2,2","2,1","2,1","2,2",-12
