Country Code,Country or area,City Code,Urban Agglomeration,Latitude,Longitude,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,Evolution 2015-2030,Evolution 1965-2015
32,Argentina,20057,Bahia Blanca,"-38,72","-62,27","115,8",121,"126,4","150,5","180,5","200,8","222,4","237,2","252,4","261,7","269,9","285,5",305,325,"343,8","365,9","388,4","19,51869518","115,8720247"
32,Argentina,20058,Buenos Aires,"-34,61","-58,4","5097,6","5799,2","6597,6","7317,2","8104,6","8744,6","9422,4","9959,1","10513,3","11389,6","12406,8","13329,5","14245,9","15180,2","15894,3","16479,5","16956,5","11,70154417","107,4596883"
32,Argentina,20059,Córdoba,"-31,41","-64,18","429,2","509,7","605,3","700,6","809,8","904,9","1009,5","1101,5","1200,2","1275,1","1347,6","1405,8","1459,3","1510,9","1562,5","1639,1","1718,2","13,71879122","115,6657117"
32,Argentina,20063,Corrientes,"-27,48","-58,83","64,3","78,8","96,5","114,6","135,8","156,1","179,1","211,5","250,3","279,5","308,3","333,6","358,3","383,8","407,3","433,3","459,3","19,67355788","234,9660909"
32,Argentina,20065,La Plata,"-34,92","-57,95","299,5","346,6","401,2","441,1","483,7","521,7","562,2","597,2","633,7","656,3","676,2","722,6","783,1","846,1","901,1","954,7","1005,5","18,83911867","91,81687315"
32,Argentina,20067,Mar Del Plata,-38,"-57,56","132,4","166,3",209,"250,5","299,6",351,"410,7","458,4","510,1","528,2","538,8","568,9","608,7","649,5","686,5","727,4","767,8","18,21034318","159,2647294"
32,Argentina,20068,Mendoza,"-32,89","-68,83","245,8","284,1","328,4","393,9","473,4","537,4","608,1","679,6","758,8","802,2","838,4","889,3","948,8","1009,4","1063,6","1123,1","1181,2","17,02229047","156,2657405"
32,Argentina,20070,Neuquén-Plottier-Cipolletti,"-38,95","-68,06","13,9","22,6","36,6","50,3","68,4","96,2","135,5","177,9","232,4","261,2","284,3","309,5","336,8","365,6","391,4","417,3","442,5","21,03843671","627,2633233"
32,Argentina,20072,Posadas,"-27,37","-55,9","45,6","57,7","73,1","84,3","96,8","117,2","142,2","170,7","204,7",236,"269,8","289,6","303,5","317,3","331,6",352,"373,7","17,7789755","276,163997"
32,Argentina,20073,Resistencia,"-27,46","-58,98","72,6","87,1","104,6","121,9","141,8","175,2","217,2","249,2","284,4","316,3","349,7","373,5","393,7","413,8","433,7",460,"487,3","17,75214272","239,5829914"
32,Argentina,20075,Rosario,"-32,95","-60,64","554,5","610,1","671,3","740,2","816,2","882,6","953,5",1017,"1083,8","1121,1","1152,4","1216,8","1298,1","1380,9","1453,8","1531,8",1607,"16,37135587","86,55911073"
32,Argentina,20076,Salta,"-24,79","-65,41","77,2",95,"116,9","142,8","174,5",212,"257,6","303,5","356,9",404,"453,8","496,1","536,8","579,2","616,9","655,1","692,2","19,50021495","305,4949594"
32,Argentina,20078,San Juan,"-31,54","-68,54","108,2",127,"149,1","181,1","220,4","252,9","289,3","317,7","347,9","378,8",412,"440,8","468,7","497,1","523,7","555,4","587,5","18,19260845","174,4044957"
