ID siège,Nom force,Code force,Types opération,Effectifs avril 2015
Guadeloupe,Forces armées aux Antilles,FAA,Forces prépositionnées,1200
Guyane française,Forces armées en Guyane,FAG,Forces prépositionnées,2150
Sénégal,Eléments français au Sénégal,EFS,Forces prépositionnées,350
Côte d'Ivoire,Forces françaises en Côte d'Ivoire,FFCI,Forces prépositionnées,450
Gabon,Forces françaises au Gabon,FFG,Forces prépositionnées,940
Djibouti,Forces françaises stationnées à Djibouti,FFDJ,Forces prépositionnées,2000
Emirats arabes unis,Forces armées aux Emirats arabes unis,FFEAU,Forces prépositionnées,750
Mayotte,Forces armées dans la zone Sud de l'Océan Indien,FAZSOI,Forces prépositionnées,1850
Nouvelle-Calédonie,Forces armées en Nouvelle-Calédonie,FANC,Forces prépositionnées,1450
Polynésie française,Forces armées de Polynésie française,FAPF,Forces prépositionnées,950
Cap-Vert,CORYMBRE (Golfe de Guinée),CORYMBRE,Opérations extérieures,350
Mali,MINUSMA et EUTM,MINUSMA/EUTM,Opérations extérieures,85
Niger,BARKHANE (Sahel),BARKHANE ,Opérations extérieures,3000
République centrafricaine,SANGARIS/EUMAM/MINUSCA,SANGARIS/EUMAM/MINUSCA,Opérations extérieures,1730
Somalie,ATALANTE/Enduring Freedom/EPE,ATALANTE/Enduring Freedom/EPE,Opérations extérieures,420
Irak,CHAMMAL,CHAMMAL,Opérations extérieures,3200
Liban,FINUL,FINUL,Opérations extérieures,900
Sahara occidental,MINURSO,MINURSO,Autres (ONU/UE/OTAN),13
RDC,MONUSCO/EUSEC,MONUSCO/EUSEC,Autres (ONU/UE/OTAN),12
Liberia,MINUL/FMO/ALTHEA,MINUL/FMO/ALTHEA,Autres (ONU/UE/OTAN),5
Côte d'Ivoire,ONUCI,ONUCI,Autres (ONU/UE/OTAN),10
