Country Name,Country Code,2015 Urban Pop %,Urban Agglo,Latitude,Longitude,2015 Agglo Pop
Aruba,ABW,"41,53",,,,
Andorre,AND,"85,12",,,,
Afghanistan,AFG,"26,7",,,,
Angola,AGO,"44,05",,,,
Albanie,ALB,"57,41",,,,
Le monde arabe,ARB,"57,82",,,,
Émirats arabes unis,ARE,"85,54",,,,
Argentine,ARG,"91,75",,,,
Arménie,ARM,"62,67",,,,
Samoa américaines,ASM,"87,2",,,,
Antigua-et-Barbuda,ATG,"23,77",,,,
Australie,AUS,"89,42",,,,
Autriche,AUT,"65,97",,,,
Azerbaïdjan,AZE,"54,62",,,,
Burundi,BDI,"12,06",,,,
Belgique,BEL,"97,86",,,,
Bénin,BEN,"43,95",,,,
Burkina Faso,BFA,"29,86",,,,
Bangladesh,BGD,"34,28",,,,
Bulgarie,BGR,"73,95",,,,
Bahreïn,BHR,"88,78",,,,
Bahamas,BHS,"82,87",,,,
Bosnie-Herzégovine,BIH,"39,77",,,,
Bélarus,BLR,"76,67",,,,
Belize,BLZ,"43,97",,,,
Bermudes,BMU,100,,,,
Bolivie,BOL,"68,51",,,,
Brésil,BRA,"85,69",,,,
Barbade,BRB,"31,48",,,,
Brunéi Darussalam,BRN,"77,2",,,,
Bhoutan,BTN,"38,64",,,,
Botswana,BWA,"57,44",,,,
République centrafricaine,CAF,"40,04",,,,
Canada,CAN,"81,83",,,,
Europe centrale et les pays baltes,CEB,"62,36",,,,
Suisse,CHE,"73,91",,,,
Îles Anglo-Normandes,CHI,"31,47",,,,
Chili,CHL,"89,53",,,,
Chine,CHN,"55,61",,,,
Côte d'Ivoire,CIV,"54,18",,,,
Cameroun,CMR,"54,38",,,,
"Congo, République du",COG,"65,38",,,,
Colombie,COL,"76,44",,,,
Comores,COM,"28,3",,,,
Cabo Verde,CPV,"65,53",,,,
Costa Rica,CRI,"76,82",,,,
Petits états des Caraïbes,CSS,"42,17",,,,
Cuba,CUB,"77,07",,,,
Curacao,CUW,"89,33",,,,
Îles Caïmans,CYM,100,,,,
Chypre,CYP,"66,92",,,,
République tchèque,CZE,"72,99",,,,
Allemagne,DEU,"75,3",,,,
Djibouti,DJI,"77,34",,,,
Dominique,DMA,"69,54",,,,
Danemark,DNK,"87,68",,,,
République dominicaine,DOM,"78,98",,,,
Algérie,DZA,"70,73",,,,
Asie de l’Est et Pacifique (hors revenu élevé),EAP,"52,94",,,,
de dividende précoce démographique,EAR,"44,14",,,,
Asie de l’Est et Pacifique,EAS,"56,63",,,,
Europe et Asie centrale (hors revenu élevé),ECA,"65,09",,,,
Europe et Asie centrale,ECS,"70,87",,,,
Équateur,ECU,"63,74",,,,
"Égypte, République arabe d’",EGY,"43,14",,,,
Zone euro,EMU,"75,92",,,,
Érythrée,ERI,,,,,
Espagne,ESP,"79,58",,,,
Estonie,EST,"67,54",,,,
Éthiopie,ETH,"19,47",,,,
Union européenne,EUU,"74,8",,,,
Fragile et les situations de conflit touchées,FCS,"40,83",,,,
Finlande,FIN,"84,22",,,,
Fidji,FJI,"53,73",,,,
France,FRA,"79,52",,,,
Îles Féroé,FRO,"41,96",,,,
"Micronésie, États fédérés de",FSM,"22,42",,,,
Gabon,GAB,"87,16",,,,
Royaume-Uni,GBR,"82,59",,,,
Géorgie,GEO,"53,64",,,,
Ghana,GHA,"54,04",,,,
Gibraltar,GIB,100,,,,
Guinée,GIN,"37,16",,,,
Gambie,GMB,"59,63",,,,
Guinée-Bissau,GNB,"49,33",,,,
Guinée équatoriale,GNQ,"39,92",,,,
Grèce,GRC,"78,01",,,,
Grenade,GRD,"35,59",,,,
Groenland,GRL,"86,44",,,,
Guatemala,GTM,"51,57",,,,
Guam,GUM,"94,52",,,,
Guyane,GUY,"28,55",,,,
Revenu élevé,HIC,"81,12",,,,
"Chine, RAS de Hong Kong",HKG,100,,,,
Honduras,HND,"54,73",,,,
Pays pauvres très endettés (PPTE),HPC,"34,59",,,,
Croatie,HRV,"58,96",,,,
Haïti,HTI,"58,65",,,,
Hongrie,HUN,"71,23",,,,
BIRD seulement,IBD,"53,6",,,,
BIRD et IDA,IBT,"48,8",,,,
IDA totale,IDA,"35,7",,,,
IDA mélange,IDB,"40,98",,,,
Indonésie,IDN,"53,74",,,,
IDA seulement,IDX,"32,8",,,,
Île de Man,IMN,"52,2",,,,
Inde,IND,"32,75",,,,
Non classifié,INX,,,,,
Irlande,IRL,"63,24",,,,
"Iran, République islamique d’",IRN,"73,38",,,,
Iraq,IRQ,"69,47",,,,
Islande,ISL,"94,14",,,,
Israël,ISR,"92,14",,,,
Italie,ITA,"68,96",,,,
Jamaïque,JAM,"54,79",,,,
Jordanie,JOR,"83,68",,,,
Japon,JPN,"93,5",,,,
Kazakhstan,KAZ,"53,25",,,,
Kenya,KEN,"25,62",,,,
République kirghize,KGZ,"35,71",,,,
Cambodge,KHM,"20,72",,,,
Kiribati,KIR,"44,3",,,,
Saint-Kitts-et-Nevis,KNA,"32,05",,,,
"Corée, République de",KOR,"82,47",,,,
Kosovo,KSV,,,,,
Koweït,KWT,"98,34",,,,
Amérique latine et Caraïbes (hors revenu élevé),LAC,"79,62",,,,
République démocratique populaire lao,LAO,"38,61",,,,
Liban,LBN,"87,79",,,,
Libéria,LBR,"49,7",,,,
Libye,LBY,"78,55",,,,
Sainte-Lucie,LCA,"18,5",,,,
Amérique latine et Caraïbes,LCN,"79,88",,,,
Pays les moins avancés : classement de l’ONU,LDC,"31,54",,,,
Faible revenu,LIC,"30,74",,,,
Liechtenstein,LIE,"14,29",,,,
Sri Lanka,LKA,"18,36",,,,
"Revenu intermédiaire, tranche inférieure",LMC,"38,96",,,,
Revenu faible et intermédiaire,LMY,"48,71",,,,
Lesotho,LSO,"27,31",,,,
de dividende tardif démographique,LTE,"59,88",,,,
Lituanie,LTU,"66,51",,,,
Luxembourg,LUX,"90,16",,,,
Lettonie,LVA,"67,38",,,,
