Urban Agglo,Latitude,Longitude,2015 Agglo Pop
Tokyo,"35,69","139,69",38001
Delhi,"28,67","77,22",25703
Shanghai,"31,22","121,46",23741
São Paulo,"-23,55","-46,64",21066
Mumbai (Bombay),"19,07","72,88",21043
Ciudad de México (Mexico City),"19,43","-99,14",20999
Beijing,"39,91","116,4",20384
Kinki M.M.A. (Osaka),"34,68","135,55",20238
Al-Qahirah (Cairo),"30,04","31,24",18772
New York-Newark,"40,72",-74,18593
Dhaka,"23,71","90,41",17598
Karachi,"24,91","67,08",16618
Buenos Aires,"-34,61","-58,4",15180
Kolkata (Calcutta),"22,53","88,36",14865
Istanbul,"41,01","28,95",14164
Chongqing,"29,56","106,55",13332
Lagos,"6,45","3,4",13123
Manila,"14,6","120,98",12946
Rio de Janeiro,"-22,9","-43,21",12902
"Guangzhou, Guangdong","23,13","113,26",12458
Los Angeles-Long Beach-Santa Ana,"34,03","-118,24",12310
Moskva (Moscow),"55,75","37,62",12166
Kinshasa,"-4,33","15,31",11587
Tianjin,"39,11","117,19",11210
Paris,"48,85","2,35",10843
Shenzhen,"22,54","114,06",10749
Jakarta,"-6,21","106,84",10323
London,"51,51","-0,13",10313
Bangalore,"12,97","77,59",10087
