Pays,APD Japon 2007,APD Japon 2008,APD Japon 2009,APD Japon 2010,APD Japon 2011,APD Japon 2012,APD Japon 2013,APD Japon 2014,APD Japon 2015,APD Japon 2016,Moyenne APD Japon 2012-2016 (millions de $ constants de 2016)
Afghanistan,"106,94","195,42","286,52","609,14","567,01","665,13","671,17","385,01","353,73","300,83","475,174"
Afrique du Sud,"4,94","3,45","3,98","5,81","6,33","10,13","9,69","7,37","10,57","10,18","9,588"
Albanie,"-1,69","-2,33","-1,71","1,99","4,51","-0,53","-0,48","20,75","14,16","14,77","9,734"
Algérie,"7,69","3,79","1,59","12,65","1,33","1,52","1,49","1,98","0,87","0,22","1,216"
Angola,"24,46","16,67","5,77","30,73","8,69","10,5","14,17","7,97","220,02","4,54","51,44"
Antigua-et-Barbuda,"0,22","0,59","0,83","5,52","7,27","0,61","0,33","0,51","1,71","5,14","1,66"
Arabie saoudite,"-163,08",0,0,0,0,0,0,0,0,0,0
Argentine,"15,98","5,53","7,68","32,95","7,15","7,69","1,04","4,55","13,76","-10,42","3,324"
Arménie,"90,23","54,2","84,18","63,27","5,64","0,24","1,24","1,68","-5,92","-5,67","-1,686"
Azerbaïdjan,"12,03","-2,63","-1,73","-8,99","79,8","118,29","40,03","68,42","23,76","38,18","57,736"
Bangladesh,"-6,98","38,64","12,02","19,76","59,01","232,57","305,7","306,38","418,37","461,27","344,858"
Barbade (La),"0,11","0,08","0,03","0,98",0,0,0,0,0,0,0
Bélarus,"0,39","0,39","0,49","1,14","0,35","0,64","0,93","0,75","0,18","0,22","0,544"
Belize,"1,64","1,38","1,45","6,09","0,92","1,1","1,14","1,29","2,1","1,2","1,366"
Bénin,"7,21","25,56","22,04","23,8","19,85","15,14","31,31","10,16","14,39","10,92","16,384"
Bhoutan,"19,13","19,11","20,4","35,32","24,19","31,7","17,36","15,78","17,84","19,79","20,494"
Bolivie,"39,1","33,33","27,11","44,28","29,59","15,55","12,87","14,87","11,89","10,99","13,234"
Bosnie-Herzégovine,"5,71","9,96","4,22","1,83","1,33","2,01","6,1","6,79","12,24","10,94","7,616"
Botswana,"-2,35","-2,01","-2,23","8,75","0,07","0,8","2,37","0,47","0,78","7,99","2,482"
Brésil,"-10,49","87,63","-79,5","-51,18","118,62","-193,12","-13,4","15,31","4,09","-14,15","-40,254"
Burkina Faso,"21,63","19,71","42,45","33,98","30,43","42,91","24,34","23,45","26,27","30,25","29,444"
Burundi,"9,02","21,93","17,42","31,91",16,"19,84","28,68",9,"2,84","3,64","12,8"
Cabo Verde,2,"4,97","15,24","14,21","20,03","9,62","14,53","10,96","20,29","10,13","13,106"
Cambodge,"120,22","107,81","108,74","120,46","101,27","138,91","132,16","123,77","113,47",136,"128,862"
Cameroun,"19,64","14,64","6,92","34,33","18,12","12,18","38,6","24,94","37,22","23,72","27,332"
Chili,"9,26","6,2","6,74",13,"3,15","4,76","3,38","2,91","3,03","2,32","3,28"
Chine,"461,23","261,38","121,08","-157,39","-284,94","-638,32","-740,4","-881,86","-828,33","-949,15","-807,612"
Palestine,"51,54","28,46","65,41","64,17","56,68","55,62","46,76","41,44","74,13","56,75","54,94"
Colombie,"0,38","-6,47","-5,71","-21,37","2,6","8,89","9,46","8,14","8,58","13,21","9,656"
Comores,"0,01","0,03","4,52","0,57","2,78","5,11","1,7","3,44","4,86","0,29","3,08"
Congo,"5,28","9,98","0,32","4,89","5,45","3,86","5,73","6,36","1,05","3,82","4,164"
Costa Rica,"18,34","-1,09","49,72","52,07","-2,14","-6,42","-7,8","2,88","55,4","28,44","14,5"
