ISO3,Country name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2008-2017,No data
CHN,China,18659649,4030507,15920060,4489545,5730800,5924143,3611522,3602368,7434305,1103612,70506511,
IND,India,6662165,5304000,1411285,1503320,9110000,2144671,3427618,3654637,2400307,21455,35639458,
PHL,Philippines,2756634,2062402,1001991,2499241,3858596,7022195,5786981,2221158,5929853,739610,33878661,
PAK,Pakistan,89200,84290,11060000,300000,1856570,407436,770577,1001665,12673,1122,15583533,
NGA,Nigeria,,140000,560000,6300,6111580,117420,3002,100420,77733,2006,7118461,
BGD,Bangladesh,61347,1342000,569000,400000,650788,1159829,543000,531099,613710,855266,6726039,
MMR,Myanmar,2250000,2521,105993,13152,73840,223000,81032,1618261,509238,19660,4896697,
USA,United States,2019773,1326,,52225,900932,187865,34321,63337,1107321,257546,4624646,
IDN,Indonesia,221100,853990,409387,7442,103831,427422,943059,203913,1246474,146419,4563037,
CHL,Chile,43000,697,2000000,4000,7300,3640,985202,1046819,16418,7581,4114657,
JPN,Japan,800,,85000,892000,308080,638987,707470,486114,863583,,3982034,
COL,Colombia,63100,9093,3000000,149000,71200,11410,20295,4649,30839,22872,3382458,
THA,Thailand,202680,68000,1000000,1644965,3400,13282,27155,237,90160,74696,3124575,
NPL,Nepal,250000,18300,,46476,600,12474,74400,2622828,31338,1642,3058058,
LKA,Sri Lanka,525408,362885,141414,684884,129092,324236,151800,65562,500200,104680,2990161,
CUB,Cuba,1014000,,,,351730,,,2000,1079214,,2446944,
VNM,Vietnam,105590,186900,441849,230000,15000,1040338,67950,9551,80537,1000,2178715,
MEX,Mexico,13100,375000,900300,546795,6500,158330,18300,90534,11953,380,2121192,
HTI,Haiti,138761,9910,1572710,500,85900,1101,6500,1488,180206,1680,1998756,
BRA,Brazil,309435,522950,230497,169500,35000,82255,150313,59472,13562,70867,1643851,
NER,Niger,4300,5560,205355,28175,540000,200961,47484,38321,46000,2252,1118408,
MDG,Madagascar,194338,8102,37891,25845,267911,20000,2836,87401,51039,246842,942205,
SDN,Sudan,46500,80000,20000,18804,84000,283646,187000,8311,122738,8955,859954,
MOZ,Mozambique,143000,7328,130000,22000,10000,185897,21095,61102,7009,166972,754403,
TCD,Chad,10000,5795,70000,,500000,88199,9888,,5650,,689532,
ETH,Ethiopia,72810,,10000,,20118,61486,49412,104011,347156,8494,673487,
PER,Peru,45000,45975,10000,2747,183951,27827,952,8410,16990,293064,634916,
KHM,Cambodia,,66000,31505,214000,,144496,151073,8859,8274,635,624842,
KEN,Kenya,10100,91686,53786,19045,97626,180282,1368,105084,40318,24803,624098,
SSD,South Sudan,,,,,340000,115783,112341,15000,,,583124,
BEN,Benin,150000,40000,275000,,10292,15456,,,960,,491708,
PRK,"Korea, Dem. Rep.",,,27500,25000,232000,82000,,5968,107000,,479468,
MWI,Malawi,,20550,,24790,6182,33000,602,343023,9520,33959,471626,
MYS,Malaysia,4000,,65000,24000,22000,42626,255711,20607,18475,18974,471393,
AGO,Angola,,86065,78875,227490,6361,2450,,5595,19103,10668,436607,
COD,"Congo, Dem. Rep.",5075,125,98230,11600,23000,3816,24103,106488,130211,5360,408008,
BOL,Bolivia,,630,100300,11000,9000,4709,190183,11332,6967,3063,337184,
SEN,Senegal,,264000,7802,1640,20000,13300,,,24192,,330934,
ECU,Ecuador,13871,,500,,4796,7540,573,1927,289369,2946,321522,
GTM,Guatemala,18005,991,162640,28792,63679,80,10421,2866,1702,2955,292131,
PRY,Paraguay,60,,,,,28000,83565,171400,3600,4488,291113,
TUR,Turkey,300,20000,200,252000,,,478,1500,200,,274678,
SOM,Somalia,12000,,5200,,28000,59500,36065,58885,70000,,269650,
AFG,Afghanistan,3430,28435,71000,3000,29519,15170,13125,70948,7394,7566,249587,
CAN,Canada,2030,,,,,120240,5800,13300,92729,7906,242005,
BFA,Burkina Faso,28000,150000,20000,,,1763,,3699,17868,4460,225790,
DOM,Dominican Republic,8925,,,16900,43383,14183,11441,27760,52324,17560,192476,
PNG,Papua New Guinea,75000,1000,,,75000,46,21144,,1630,1387,175207,
GHA,Ghana,14292,52000,,49000,,30646,,9255,7918,5655,168766,
YEM,"Yemen, Rep.",22000,,1000,,,10316,,82896,44942,,161154,
VEN,"Venezuela, RB",4695,,101684,,1000,,,45481,228,,153088,
NAM,Namibia,,54581,11000,60000,400,17915,163,8,,3893,147960,
NIC,Nicaragua,18890,,61000,10278,,161,34919,1071,18360,,144679,
TWN,"Taiwan, China",,24950,,,6000,22146,9388,27141,45175,5730,140530,
FJI,Fiji,,13245,18000,,27062,,800,,76072,155,135334,
ITA,Italy,,75000,,,16850,3737,1600,1321,30950,,129458,
ZAF,South Africa,3500,20000,6000,52172,2000,17663,3525,14,12199,10240,127313,
RUS,Russia,,,22950,3500,31875,29198,22857,6600,3631,5463,126074,
ARG,Argentina,635,,,,2000,6900,32128,36255,12220,26045,116183,
LAO,Lao PDR,,37500,,50000,,9908,793,11951,659,,110811,
UGA,Uganda,15000,,,6400,216,30219,50106,600,2494,,105035,
AUS,Australia,1000,7500,1000,10000,16000,12734,1166,5713,3134,40918,99165,
TZA,Tanzania,2442,10599,,22000,10000,,13650,3500,35942,,98133,
HND,Honduras,70250,2250,7998,12061,,,2500,2006,890,,97955,
SLV,El Salvador,95,15000,15508,59854,,2300,22,1982,475,389,95625,
IRN,Iran,,,3500,,50000,4720,12000,5350,78,19857,95505,
ZMB,Zambia,5796,54000,150,,,5511,26021,25,,2352,93855,
BIH,Bosnia and Herzegovina,,,,,,,90621,320,,,90941,
ZWE,Zimbabwe,,,,,,43809,22510,800,400,10316,77835,
ISR,Israel,,,,,,200,700,,75210,,76110,
CAF,Central African Republic,14000,14835,,,17570,14465,944,1109,7464,,70387,
VUT,Vanuatu,,,,400,700,69,349,65000,,3390,69908,
AZE,Azerbaijan,,200,31665,,36000,,,,,,67865,
