CDC,CHEFLIEU,REG,DEP,COM,AR,CT,TNCC,ARTMAJ,NCC,ARTMIN,NCCENR,Code commune
0,0,93,04,001,3,05,1,,AIGLUN,,Aiglun,04001
0,0,93,04,004,3,15,1,,ALLEMAGNE-EN-PROVENCE,,Allemagne-en-Provence,04004
0,0,93,04,005,2,02,1,,ALLONS,,Allons,04005
0,0,93,04,006,2,02,1,,ALLOS,,Allos,04006
0,0,93,04,007,2,02,1,,ANGLES,,Angles,04007
0,0,93,04,008,2,02,1,,ANNOT,,Annot,04008
0,0,93,04,009,3,13,1,,ARCHAIL,,Archail,04009
0,0,93,04,012,4,11,1,,AUBENAS-LES-ALPES,,Aubenas-les-Alpes,04012
0,0,93,04,013,4,03,1,,AUBIGNOSC,,Aubignosc,04013
0,0,93,04,016,4,14,1,,AUTHON,,Authon,04016
0,0,93,04,017,3,13,1,,AUZET,,Auzet,04017
0,0,93,04,018,4,11,0,,BANON,,Banon,04018
0,2,93,04,019,1,01,0,,BARCELONNETTE,,Barcelonnette,04019
0,0,93,04,020,3,13,0,,BARLES,,Barles,04020
0,0,93,04,021,3,05,0,,BARRAS,,Barras,04021
0,0,93,04,022,3,12,0,,BARREME,,Barrême,04022
0,0,93,04,023,4,13,0,,BAYONS,,Bayons,04023
0,0,93,04,024,3,13,0,,BEAUJEU,,Beaujeu,04024
0,0,93,04,025,2,02,0,,BEAUVEZER,,Beauvezer,04025
0,0,93,04,026,4,13,0,,BELLAFFAIRE,,Bellaffaire,04026
0,0,93,04,027,4,14,0,,BEVONS,,Bevons,04027
0,0,93,04,028,3,12,0,,BEYNES,,Beynes,04028
0,0,93,04,030,3,12,0,,BLIEUX,,Blieux,04030
0,0,93,04,031,3,12,0,,BRAS-D'ASSE,,Bras-d'Asse,04031
0,0,93,04,032,2,02,0,,BRAUX,,Braux,04032
0,0,93,04,033,1,01,3,(LA),BREOLE,(La),Bréole,04033
0,0,93,04,034,4,06,3,(LA),BRILLANNE,(La),Brillanne,04034
0,0,93,04,035,3,15,0,,BRUNET,,Brunet,04035
0,0,93,04,036,3,13,2,(LE),BRUSQUET,(Le),Brusquet,04036
0,0,93,04,037,4,13,2,(LE),CAIRE,(Le),Caire,04037
0,2,93,04,039,2,02,0,,CASTELLANE,,Castellane,04039
0,0,93,04,040,3,04,2,(LE),CASTELLARD-MELAN,(Le),Castellard-Mélan,04040
0,0,93,04,041,3,12,2,(LE),CASTELLET,(Le),Castellet,04041
0,0,93,04,042,2,02,0,,CASTELLET-LES-SAUSSES,,Castellet-lès-Sausses,04042
0,0,93,04,043,2,02,0,,VAL-DE-CHALVAGNE,,Val-de-Chalvagne,04043
0,0,93,04,045,4,11,0,,CERESTE,,Céreste,04045
0,0,93,04,046,3,12,2,(LE),CHAFFAUT-SAINT-JURSON,(Le),Chaffaut-Saint-Jurson,04046
0,0,93,04,047,3,05,0,,CHAMPTERCIER,,Champtercier,04047
0,1,93,04,049,4,03,0,,CHATEAU-ARNOUX-SAINT-AUBAN,,Château-Arnoux-Saint-Auban,04049
0,0,93,04,050,4,13,0,,CHATEAUFORT,,Châteaufort,04050
0,0,93,04,051,4,14,0,,CHATEAUNEUF-MIRAVAIL,,Châteauneuf-Miravail,04051
0,0,93,04,053,4,03,0,,CHATEAUNEUF-VAL-SAINT-DONAT,,Châteauneuf-Val-Saint-Donat,04053
0,0,93,04,054,3,12,0,,CHATEAUREDON,,Châteauredon,04054
0,0,93,04,055,3,12,0,,CHAUDON-NORANTE,,Chaudon-Norante,04055
0,0,93,04,057,4,13,0,,CLAMENSANE,,Clamensane,04057
0,0,93,04,058,4,13,0,,CLARET,,Claret,04058
0,0,93,04,059,3,12,0,,CLUMANC,,Clumanc,04059
0,0,93,04,061,2,02,0,,COLMARS,,Colmars,04061
0,0,93,04,062,1,01,3,(LA),CONDAMINE-CHATELARD,(La),Condamine-Châtelard,04062
0,0,93,04,063,4,09,0,,CORBIERES,,Corbières,04063
0,0,93,04,065,4,06,0,,CRUIS,,Cruis,04065
0,0,93,04,066,4,13,0,,CURBANS,,Curbans,04066
0,0,93,04,067,4,14,0,,CUREL,,Curel,04067
