Español ID,2011,2012
Afganistán,"13.500,0","13.500,0"
Albania,"7.751,6","7.740,2"
Alemania,"110.760,0","110.760,0"
Andorra,"160,0","160,0"
Angola,"583.552,0","582.304,0"
Antigua y Barbuda,"98,0","98,0"
Arabia Saudita,"9.770,0","9.770,0"
Argelia,"14.832,0","14.744,0"
Argentina,"291.602,0","289.204,0"
Armenia,"2.578,0","2.536,0"
Aruba,"4,2","4,2"
Australia,"1.483.760,0","1.474.520,0"
Austria,"38.920,0","38.970,0"
Azerbaiyán,"9.360,0","9.360,0"
Bahamas,"5.150,0","5.150,0"
Bahrein,"5,4","5,6"
Bangladesh,"14.394,0","14.368,0"
Barbados,"83,6","83,6"
Belarús,"86.688,0","87.076,0"
Bélgica,"6.788,4","6.798,8"
Belice,"13.834,0","13.738,0"
Benin,"45.110,0","44.610,0"
Bermudas,"10,0","10,0"
Bhután,"32.598,0","32.706,0"
Bolivia,"568.884,0","565.808,0"
Bosnia y Herzegovina,"21.850,0","21.850,0"
Botswana,"112.326,0","111.142,0"
Brasil,"5.173.276,0","5.151.332,0"
Brunei Darussalam,"3.782,0","3.764,0"
Bulgaria,"39.822,0","40.374,0"
Burkina Faso,"55.890,0","55.290,0"
Burundi,"1.702,0","1.684,0"
Cabo Verde,"847,9","856,9"
Camboya,"99.666,0","98.392,0"
Camerún,"196.960,0","194.760,0"
Canadá,"3.101.340,0","3.101.340,0"
Chad,"114.458,0","113.666,0"
Chile,"162.686,0","163.062,0"
China,"2.096.239,4","2.123.872,8"
Chipre,"1.732,5","1.733,1"
Colombia,"603.980,0","602.970,0"
Comoras,"26,0","22,0"
"Congo, República del","223.990,0","223.870,0"
"Congo, República Democrática del","1.538.236,0","1.535.122,0"
"Corea, República de","62.154,0","62.088,0"
"Corea, República Popular Democrática de","55.394,0","54.128,0"
Costa Rica,"26.278,0","26.506,0"
Côte d'Ivoire,"104.026,0","104.022,0"
Croacia,"19.234,0","19.268,0"
Cuba,"29.046,0","29.392,0"
Curacao,,
Dinamarca,"5.460,0","5.480,0"
Djibouti,"56,0","56,0"
Dominica,"443,9","441,0"
Ecuador,"96.674,0","94.698,0"
"Egipto, República Árabe de","706,0","712,0"
El Salvador,"2.826,0","2.782,0"
Emiratos Árabes Unidos,"3.183,6","3.194,2"
Eritrea,"15.276,0","15.232,0"
Eslovenia,"12.550,0","12.570,0"
España,"183.493,0","185.253,2"
Estados Unidos,"3.044.048,0","3.047.876,0"
Estonia,"22.100,0","21.960,0"
Etiopía,"121.552,0","120.144,0"
Ex República Yugoslava de Macedonia,"10.026,0","10.072,0"
Federación de Rusia,"8.091.500,0","8.092.100,0"
Fiji,"10.174,0","10.208,0"
Filipinas,"77.198,0","77.746,0"
Finlandia,"221.570,0","221.570,0"
Francia,"160.020,0","160.500,0"
Gabón,"220.000,0","220.000,0"
Gambia,"4.818,0","4.836,0"
Georgia,"27.397,4","27.371,8"
Ghana,"48.246,0","47.092,0"
Granada,"169,9","169,9"
Grecia,"39.332,0","39.634,0"
Groenlandia,"2,2","2,2"
Guam,"258,8","258,8"
Guatemala,"36.008,0","35.446,0"
Guinea,"65.080,0","64.720,0"
Guinea-Bissau,"20.120,0","20.020,0"
Guinea Ecuatorial,"16.142,0","16.024,0"
Guyana,"152.050,0","152.050,0"
Haití,"1.002,0","994,0"
Honduras,"50.720,0","49.520,0"
"Hong Kong, Región Administrativa Especial",,
Hungría,"20.382,0","20.474,0"
India,"685.790,0","687.240,0"
Indonesia,"937.470,0","930.620,0"
"Irán, República Islámica del","110.750,0","110.750,0"
Iraq,"8.250,0","8.250,0"
Irlanda,"7.478,0","7.566,0"
Isla de Man,"34,6","34,6"
Isla de San Martín (parte francesa),,
Islandia,"308,0","317,0"
Islas Caimán,"127,0","127,0"
Islas Feroe,"1,0","1,0"
Islas Marshall,"126,4","126,4"
Islas Salomón,"22.074,0","22.018,0"
Islas Turcas y Caicos,"344,0","344,0"
Islas Vírgenes (EE.UU.),"201,0","199,0"
Israel,"1.538,0","1.536,0"
Italia,"92.270,0","93.050,0"
Jamaica,"3.366,8","3.362,6"
Japón,"249.878,0","249.966,0"
Jordania,"975,0","975,0"
Kazajstán,"33.034,0","32.978,0"
Kenya,"34.560,0","34.450,0"
Kirguistán,"9.707,0","9.876,0"
Kiribati,"121,5","121,5"
Kuwait,"63,9","65,3"
Lesotho,"442,0","444,0"
Letonia,"33.654,0","33.768,0"
Líbano,"1.369,8","1.370,6"
Liberia,"42.990,0","42.690,0"
Libia,"2.170,0","2.170,0"
Liechtenstein,"69,0","69,0"
Lituania,"21.678,0","21.756,0"
Luxemburgo,"867,5","867,5"
Madagascar,"124.960,0","124.390,0"
Malasia,"203.692,0","202.824,0"
Malawi,"32.040,0","31.710,0"
Maldivas,"9,0","9,0"
Malí,"124.110,0","123.320,0"
Malta,"3,0","3,0"
Mariana,"301,5","299,9"
Marruecos,"51.410,0","51.510,0"
Mauricio,"350,2","350,4"
Mauritania,"2.370,0","2.320,0"
México,"646.468,0","644.916,0"
Micronesia (Estados Federados de),"641,6","641,8"
Mónaco,,
Mongolia,"108.160,0","107.340,0"
Montenegro,"5.430,0","5.430,0"
Mozambique,"388.106,0","385.992,0"
Myanmar,"314.634,0","311.538,0"
Namibia,"72.158,0","71.416,0"
Nepal,"36.360,0","36.360,0"
Nicaragua,"30.440,0","29.740,0"
Níger,"11.916,0","11.792,0"
Nigeria,"86.314,0","82.218,0"
Noruega,"101.414,0","102.178,0"
Nueva Caledonia,"8.390,0","8.390,0"
Nueva Zelandia,"82.606,0","82.522,0"
Omán,"20,0","20,0"
Países Bajos,"3.650,0","3.650,0"
Pakistán,"16.440,0","16.010,0"
Palau,"403,0","403,0"
Panamá,"32.392,0","32.274,0"
