Code ISO 3,?????,????,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
ABW,?????,???,Aruba,Aruba,Aruba,"4,2","4,2",4.2,4.2
AND,??????,??????,Andorra,Andorra,Andorre,160,160,160,160
AFG,?????????,???,Afghanistan,Afganistán,Afghanistan,13500,13500,13500,13500
AGO,??????,???,Angola,Angola,Angola,583552,582304,583552,582304
ALB,???????,?????,Albania,Albania,Albanie,"7751,6","7740,2",7751.6,7740.2
ARB,?????? ??????,???????,Arab World,El mundo árabe,Le monde arabe,"733437,5","182118,4",733437.5,182118.4
ARE,???????? ??????? ???????,????????,United Arab Emirates,Emiratos Árabes Unidos,Émirats arabes unis,"3183,6","3194,2",3183.6,3194.2
ARG,?????????,???,Argentina,Argentina,Argentine,291602,289204,291602,289204
ARM,???????,????,Armenia,Armenia,Arménie,2578,2536,2578,2536
ASM,????? ?????????,?????,American Samoa,Samoa Americana,Samoa américaines,"176,8","176,4",176.8,176.4
ATG,??????? ???????,???????,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,98,98,98,98
AUS,????????,????,Australia,Australia,Australie,1483760,1474520,1483760,1474520
AUT,??????,???,Austria,Austria,Autriche,38920,38970,38920,38970
AZE,????????,????,Azerbaijan,Azerbaiyán,Azerbaïdjan,9360,9360,9360,9360
BDI,???????,???,Burundi,Burundi,Burundi,1702,1684,1702,1684
BEL,??????,???,Belgium,Bélgica,Belgique,"6788,4","6798,8",6788.4,6798.8
BEN,???,??,Benin,Benin,Bénin,45110,44610,45110,44610
BFA,??????? ????,?????,Burkina Faso,Burkina Faso,Burkina Faso,55890,55290,55890,55290
BGD,????????,????,Bangladesh,Bangladesh,Bangladesh,14394,14368,14394,14368
BGR,???????,????,Bulgaria,Bulgaria,Bulgarie,39822,40374,39822,40374
BHR,???????,??,Bahrain,Bahrein,Bahreïn,"5,4","5,6",5.4,5.6
BHS,??? ???????,???,"Bahamas, The",Bahamas,Bahamas,5150,5150,5150,5150
BIH,??????? ???????,??????????,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,21850,21850,21850,21850
BLR,??????? (????? ???????),????,Belarus,Belarús,Bélarus,86688,87076,86688,87076
BLZ,????,???,Belize,Belice,Belize,13834,13738,13834,13738
BMU,??????,???,Bermuda,Bermudas,Bermudes,10,10,10,10
BOL,???????,????,Bolivia,Bolivia,Bolivie,568884,565808,568884,565808
BRA,????????,??,Brazil,Brasil,Brésil,5173276,5151332,5173276,5151332
BRB,???????,????,Barbados,Barbados,Barbade,"83,6","83,6",83.6,83.6
BRN,?????? ??? ??????,???????,Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,3782,3764,3782,3764
BTN,?????,??,Bhutan,Bhután,Bhoutan,32598,32706,32598,32706
BWA,????????,????,Botswana,Botswana,Botswana,112326,111142,112326,111142
CAF,??????? ??????? ??????,?????,Central African Republic,República Centroafricana,République centrafricaine,225750,225450,225750,225450
CAN,????,???,Canada,Canadá,Canada,3101340,3101340,3101340,3101340
CEB,,,Central Europe and the Baltics,,,375080,376490,375080,376490
CHE,??????,??,Switzerland,Suiza,Suisse,12446,12492,12446,12492
CHI,??? ??????,????,Channel Islands,Islas del Canal,Îles Anglo-Normandes,8,8,8,8
CHL,????,??,Chile,Chile,Chili,162686,163062,162686,163062
CHN,?????,??,China,China,Chine,"2096239,4","2123872,8",2096239.4,2123872.8
CIV,??? ??????,????,Cote d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,104026,104022,104026,104022
CMR,?????????,???,Cameroon,Camerún,Cameroun,196960,194760,196960,194760
COG,??????? ???????,??(?),"Congo, Rep.","Congo, República del","Congo, République du",223990,223870,223990,223870
COL,????????,????,Colombia,Colombia,Colombie,603980,602970,603980,602970
COM,??? ?????,???,Comoros,Comoras,Comores,26,22,26,22
CPV,????? ??????,???,Cabo Verde,Cabo Verde,Cabo Verde,"847,9","856,9",847.9,856.9
CRI,?????????,?????,Costa Rica,Costa Rica,Costa Rica,26278,26506,26278,26506
CSS,??? ???????? ???????,?????,Caribbean small states,Estados pequeos del Caribe,Petits états des Caraïbes,"325844,8","325699,3",325844.8,325699.3
CUB,????,??,Cuba,Cuba,Cuba,29046,29392,29046,29392
CUW,??????,???,Curacao,Curacao,Curacao,,,,
CYM,??? ??????,????,Cayman Islands,Islas Caimán,Îles Caïmans,127,127,127,127
CYP,????,????,Cyprus,Chipre,Chypre,"1732,5","1733,1",1732.5,1733.1
CZE,????????? ????????,?????,Czech Republic,República Checa,République tchèque,26590,26610,26590,26610
DEU,???????,??,Germany,Alemania,Allemagne,110760,110760,110760,110760
DJI,??????,???,Djibouti,Djibouti,Djibouti,56,56,56,56
DMA,????????,????,Dominica,Dominica,Dominique,"443,9",441,443.9,441
DNK,????????,??,Denmark,Dinamarca,Danemark,5460,5480,5460,5480
DOM,????????? ???????????,???????,Dominican Republic,República Dominicana,République dominicaine,19720,19720,19720,19720
DZA,???????,?????,Algeria,Argelia,Algérie,14832,14744,14832,14744
EAP,??? ???? ??????? ??????,??????,East Asia & Pacific (developing only),Asia oriental y el Pacífico,Asie de l'Est et Pacifique,"4711532,7","4724789,9",4711532.7,4724789.9
EAS,??? ???? ??????? ?????? (???? ??????? ?????),????????(??????),East Asia & Pacific (all income levels),Asia oriental y el Pacífico (todos los niveles de ingreso),Asie de l'Est et Pacifique (tous niveaux de revenu),6604286,"6608271,6",6604286,6608271.6
ECA,?????? ????? ??????,?????,Europe & Central Asia (developing only),Europa y Asia central,Europe et Asie centrale,641172,644485,641172,644485
ECS,?????? ????? ?????? (???? ??????? ?????),???????(??????),Europe & Central Asia (all income levels),Europa y Asia central (todos los niveles de ingreso),Europe et Asie centrale (tous niveaux de revenu),"10334130,2","10342957,4",10334130.2,10342957.4
ECU,???????,????,Ecuador,Ecuador,Équateur,96674,94698,96674,94698
EGY,??????? ??? ???????,????????,"Egypt, Arab Rep.","Egipto, República Árabe de","Égypte, République arabe d'",706,712,706,712
EMU,????? ??????,??????,Euro area,Zona del Euro,Zone euro,"1010796,4","1014379,6",1010796.4,1014379.6
ERI,???????,?????,Eritrea,Eritrea,Érythrée,15276,15232,15276,15232
ESP,???????,???,Spain,España,Espagne,183493,"185253,2",183493,185253.2
EST,???????,????,Estonia,Estonia,Estonie,22100,21960,22100,21960
ETH,???????,?????,Ethiopia,Etiopía,Éthiopie,121552,120144,121552,120144
EUU,??????? ????????,????,European Union,Unión Europea,Union européenne,"3038281,25","1597945,6",1592934.4,1597945.6
FCS,,,Fragile and conflict affected situations,,,3668437,2956026,3668437,2956026
FIN,??????,??,Finland,Finlandia,Finlande,221570,221570,221570,221570
FJI,????,??,Fiji,Fiji,Fidji,10174,10208,10174,10208
FRA,?????,??,France,Francia,France,160020,160500,160020,160500
FRO,??? ????,????,Faeroe Islands,Islas Feroe,Îles Féroé,1,1,1,1
FSM,?????? ?????????? ???????,????????,"Micronesia, Fed. Sts.",Micronesia (Estados Federados de),"Micronésie, États fédérés de","641,6","641,8",641.6,641.8
