Code ISO 3,البلد,国家名称,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
ABW,أروبا,阿鲁巴,Aruba,Aruba,Aruba,"4,2","4,2",4.2,4.2
AND,أندورا,安道尔共和国,Andorra,Andorra,Andorre,160,160,160,160
AFG,أفغانستان,阿富汗,Afghanistan,Afganistán,Afghanistan,13500,13500,13500,13500
AGO,أنغولا,安哥拉,Angola,Angola,Angola,583552,582304,583552,582304
ALB,ألبانيا,阿尔巴尼亚,Albania,Albania,Albanie,"7751,6","7740,2",7751.6,7740.2
ARB,العالم العربي,阿拉伯联盟国家,Arab World,El mundo árabe,Le monde arabe,"733437,5","182118,4",733437.5,182118.4
ARE,الإمارات العربية المتحدة,阿拉伯联合酋长国,United Arab Emirates,Emiratos Árabes Unidos,Émirats arabes unis,"3183,6","3194,2",3183.6,3194.2
ARG,الأرجنتين,阿根廷,Argentina,Argentina,Argentine,291602,289204,291602,289204
ARM,أرمينيا,亚美尼亚,Armenia,Armenia,Arménie,2578,2536,2578,2536
ASM,ساموا الأمريكية,美属萨摩亚,American Samoa,Samoa Americana,Samoa américaines,"176,8","176,4",176.8,176.4
ATG,أنتيغوا وبربودا,安提瓜和巴布达,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,98,98,98,98
AUS,أستراليا,澳大利亚,Australia,Australia,Australie,1483760,1474520,1483760,1474520
AUT,النمسا,奥地利,Austria,Austria,Autriche,38920,38970,38920,38970
AZE,أذربيجان,阿塞拜疆,Azerbaijan,Azerbaiyán,Azerbaïdjan,9360,9360,9360,9360
BDI,بوروندي,布隆迪,Burundi,Burundi,Burundi,1702,1684,1702,1684
BEL,بلجيكا,比利时,Belgium,Bélgica,Belgique,"6788,4","6798,8",6788.4,6798.8
BEN,بنن,贝宁,Benin,Benin,Bénin,45110,44610,45110,44610
BFA,بوركينا فاصو,布基纳法索,Burkina Faso,Burkina Faso,Burkina Faso,55890,55290,55890,55290
BGD,بنغلاديش,孟加拉国,Bangladesh,Bangladesh,Bangladesh,14394,14368,14394,14368
BGR,بلغاريا,保加利亚,Bulgaria,Bulgaria,Bulgarie,39822,40374,39822,40374
BHR,البحرين,巴林,Bahrain,Bahrein,Bahreïn,"5,4","5,6",5.4,5.6
BHS,جزر البهاما,巴哈马,"Bahamas, The",Bahamas,Bahamas,5150,5150,5150,5150
BIH,البوسنة والهرسك,波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,21850,21850,21850,21850
BLR,بيلاروس (روسيا البيضاء),白俄罗斯,Belarus,Belarús,Bélarus,86688,87076,86688,87076
BLZ,بليز,伯利兹,Belize,Belice,Belize,13834,13738,13834,13738
BMU,برمودا,百慕大,Bermuda,Bermudas,Bermudes,10,10,10,10
BOL,بوليفيا,玻利维亚,Bolivia,Bolivia,Bolivie,568884,565808,568884,565808
BRA,البرازيل,巴西,Brazil,Brasil,Brésil,5173276,5151332,5173276,5151332
BRB,بربادوس,巴巴多斯,Barbados,Barbados,Barbade,"83,6","83,6",83.6,83.6
BRN,بروناي دار السلام,文莱达鲁萨兰国,Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,3782,3764,3782,3764
BTN,بوتان,不丹,Bhutan,Bhután,Bhoutan,32598,32706,32598,32706
BWA,بوتسوانا,博茨瓦纳,Botswana,Botswana,Botswana,112326,111142,112326,111142
CAF,جمهورية أفريقيا الوسطى,中非共和国,Central African Republic,República Centroafricana,République centrafricaine,225750,225450,225750,225450
CAN,كندا,加拿大,Canada,Canadá,Canada,3101340,3101340,3101340,3101340
CEB,,,Central Europe and the Baltics,,,375080,376490,375080,376490
CHE,سويسرا,瑞士,Switzerland,Suiza,Suisse,12446,12492,12446,12492
CHI,جزر القنال,海峡群岛,Channel Islands,Islas del Canal,Îles Anglo-Normandes,8,8,8,8
CHL,شيلي,智利,Chile,Chile,Chili,162686,163062,162686,163062
CHN,الصين,中国,China,China,Chine,"2096239,4","2123872,8",2096239.4,2123872.8
CIV,كوت ديفوار,科特迪瓦,Cote d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,104026,104022,104026,104022
CMR,الكاميرون,喀麦隆,Cameroon,Camerún,Cameroun,196960,194760,196960,194760
COG,جمهورية الكونغو,刚果（布）,"Congo, Rep.","Congo, República del","Congo, République du",223990,223870,223990,223870
COL,كولومبيا,哥伦比亚,Colombia,Colombia,Colombie,603980,602970,603980,602970
COM,جزر القمر,科摩罗,Comoros,Comoras,Comores,26,22,26,22
CPV,الرأس الأخضر,佛得角,Cabo Verde,Cabo Verde,Cabo Verde,"847,9","856,9",847.9,856.9
CRI,كوستاريكا,哥斯达黎加,Costa Rica,Costa Rica,Costa Rica,26278,26506,26278,26506
CSS,دول الكاريبي الصغيرة,加勒比小国,Caribbean small states,Estados pequeos del Caribe,Petits états des Caraïbes,"325844,8","325699,3",325844.8,325699.3
CUB,كوبا,古巴,Cuba,Cuba,Cuba,29046,29392,29046,29392
CUW,كوراسا,库拉索,Curacao,Curacao,Curacao,,,,
CYM,جزر كايمان,开曼群岛,Cayman Islands,Islas Caimán,Îles Caïmans,127,127,127,127
CYP,قبرص,塞浦路斯,Cyprus,Chipre,Chypre,"1732,5","1733,1",1732.5,1733.1
CZE,الجمهورية التشيكية,捷克共和国,Czech Republic,República Checa,République tchèque,26590,26610,26590,26610
DEU,ألمانيا,德国,Germany,Alemania,Allemagne,110760,110760,110760,110760
DJI,جيبوتي,吉布提,Djibouti,Djibouti,Djibouti,56,56,56,56
DMA,دومينيكا,多米尼克,Dominica,Dominica,Dominique,"443,9",441,443.9,441
DNK,الدانمرك,丹麦,Denmark,Dinamarca,Danemark,5460,5480,5460,5480
DOM,الجمهورية الدومينيكية,多米尼加共和国,Dominican Republic,República Dominicana,République dominicaine,19720,19720,19720,19720
DZA,الجزائر,阿尔及利亚,Algeria,Argelia,Algérie,14832,14744,14832,14744
EAP,شرق آسيا والمحيط الهادئ,东亚与太平洋,East Asia & Pacific (developing only),Asia oriental y el Pacífico,Asie de l’Est et Pacifique,"4711532,7","4724789,9",4711532.7,4724789.9
EAS,شرق آسيا والمحيط الهادئ (جميع مستويات الدخل),东亚与太平洋地区（所有收入水平）,East Asia & Pacific (all income levels),Asia oriental y el Pacífico (todos los niveles de ingreso),Asie de l’Est et Pacifique (tous niveaux de revenu),6604286,"6608271,6",6604286,6608271.6
ECA,أوروبا وآسيا الوسطى,欧洲和中亚,Europe & Central Asia (developing only),Europa y Asia central,Europe et Asie centrale,641172,644485,641172,644485
ECS,أوروبا وآسيا الوسطى (جميع مستويات الدخل),欧洲与中亚地区（所有收入水平）,Europe & Central Asia (all income levels),Europa y Asia central (todos los niveles de ingreso),Europe et Asie centrale (tous niveaux de revenu),"10334130,2","10342957,4",10334130.2,10342957.4
ECU,إكوادور,厄瓜多尔,Ecuador,Ecuador,Équateur,96674,94698,96674,94698
EGY,جمهورية مصر العربية,阿拉伯埃及共和国,"Egypt, Arab Rep.","Egipto, República Árabe de","Égypte, République arabe d’",706,712,706,712
EMU,منطقة اليورو,欧洲货币联盟,Euro area,Zona del Euro,Zone euro,"1010796,4","1014379,6",1010796.4,1014379.6
ERI,إريتريا,厄立特里亚,Eritrea,Eritrea,Érythrée,15276,15232,15276,15232
ESP,إسبانيا,西班牙,Spain,España,Espagne,183493,"185253,2",183493,185253.2
EST,إستونيا,爱沙尼亚,Estonia,Estonia,Estonie,22100,21960,22100,21960
ETH,إثيوبيا,埃塞俄比亚,Ethiopia,Etiopía,Éthiopie,121552,120144,121552,120144
EUU,الاتحاد الأوروبي,欧洲联盟,European Union,Unión Europea,Union européenne,"3038281,25","1597945,6",1592934.4,1597945.6
FCS,,,Fragile and conflict affected situations,,,3668437,2956026,3668437,2956026
FIN,فنلندا,芬兰,Finland,Finlandia,Finlande,221570,221570,221570,221570
FJI,فيجي,斐济,Fiji,Fiji,Fidji,10174,10208,10174,10208
FRA,فرنسا,法国,France,Francia,France,160020,160500,160020,160500
FRO,جزر فارو,法罗群岛,Faeroe Islands,Islas Feroe,Îles Féroé,1,1,1,1
FSM,ولايات ميكرونيزيا الموحدة,密克罗尼西亚联邦,"Micronesia, Fed. Sts.",Micronesia (Estados Federados de),"Micronésie, États fédérés de","641,6","641,8",641.6,641.8
GAB,غابون,加蓬,Gabon,Gabón,Gabon,220000,220000,220000,220000
GBR,المملكة المتحدة,英国,United Kingdom,Reino Unido,Royaume-Uni,28882,28954,28882,28954
