Country  name,Country code,,Region,Development level,Least developed country,Grounds on which abortion is permitted (2003),Grounds on which abortion is permitted (2013)
Afghanistan,4,,Asia,Less dev. region,Yes,1,1
Albania,8,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Algeria,12,,Africa,Less dev. region,No,"1,2,3","1,2,3"
Andorra,20,,Europe,More dev. region,No,1,1
Angola,24,,Africa,Less dev. region,Yes,1,1
Antigua and Barbuda,28,,Latin Amer. & Caribbean,Less dev. region,No,1,1
Argentina,32,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4","1,2,4"
Armenia,51,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Australia,36,,Oceania,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Austria,40,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Azerbaijan,31,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Bahamas,44,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3","1,2,3,4,5"
Bahrain,48,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Bangladesh,50,,Asia,Less dev. region,Yes,1,1
Barbados,52,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
Belarus,112,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Belgium,56,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Belize,84,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,5,6","1,2,3,5,6"
Benin,204,,Africa,Less dev. region,Yes,1,"1,2,3,4,5"
Bhutan,64,,Asia,Less dev. region,Yes,1,"1,3,4"
Bolivia (Plurinational State of),68,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4","1,2,3,4"
Bosnia and Herzegovina,70,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Botswana,72,,Africa,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Brazil,76,,Latin Amer. & Caribbean,Less dev. region,No,"1,4","1,4"
Brunei Darussalam,96,,Asia,Less dev. region,No,1,1
Bulgaria,100,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Burkina Faso,854,,Africa,Less dev. region,Yes,"1,2,3,4,5","1,2,3,4,5"
Burundi,108,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Cabo Verde,132,,Africa,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Cambodia,116,,Asia,Less dev. region,Yes,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Cameroon,120,,Africa,Less dev. region,No,"1,2,3,4","1,2,3,4"
Canada,124,,Northern America,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Central African Republic,140,,Africa,Less dev. region,Yes,1,1
Chad,148,,Africa,Less dev. region,Yes,1,"1,2,5"
Chile,152,,Latin Amer. & Caribbean,Less dev. region,No,Not permitted,Not permitted
China,156,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Colombia,170,,Latin Amer. & Caribbean,Less dev. region,No,1,"1,2,3,4,5"
Comoros,174,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Congo,178,,Africa,Less dev. region,No,1,1
Cook Islands,184,,Oceania,Less dev. region,No,"1,2,3","1,2,3,4"
Costa Rica,188,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3","1,2,3"
Côte d'Ivoire,384,,Africa,Less dev. region,No,1,1
Croatia,191,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Cuba,192,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Cyprus,196,,Asia,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Czech Republic,203,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Democratic People's Republic of Korea,408,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Democratic Republic of the Congo,180,,Africa,Less dev. region,Yes,1,1
Denmark,208,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Djibouti,262,,Africa,Less dev. region,Yes,1,1
Dominica,212,,Latin Amer. & Caribbean,Less dev. region,No,1,1
Dominican Republic,214,,Latin Amer. & Caribbean,Less dev. region,No,1,Not permitted
Ecuador,218,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4","1,2,3"
Egypt,818,,Africa,Less dev. region,No,1,1
El Salvador,222,,Latin Amer. & Caribbean,Less dev. region,No,Not permitted,Not permitted
Equatorial Guinea,226,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Eritrea,232,,Africa,Less dev. region,Yes,"1,2,3","1,2,3,4,5"
Estonia,233,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Ethiopia,231,,Africa,Less dev. region,Yes,"1,2","1,2,3,4,5"
Fiji,242,,Oceania,Less dev. region,No,"1,2,3,6","1,2,3,4,5,6"
Finland,246,,Europe,More dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
France,250,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Gabon,266,,Africa,Less dev. region,No,1,1
Gambia,270,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Georgia,268,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Germany,276,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Ghana,288,,Africa,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Greece,300,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Grenada,308,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3","1,2,3"
Guatemala,320,,Latin Amer. & Caribbean,Less dev. region,No,1,1
Guinea,324,,Africa,Less dev. region,Yes,"1,2,3","1,2,3,4,5"
Guinea-Bissau,624,,Africa,Less dev. region,Yes,1,1
Guyana,328,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Haiti,332,,Latin Amer. & Caribbean,Less dev. region,Yes,1,1
Holy See,336,,Europe,More dev. region,No,Not permitted,Not permitted
Honduras,340,,Latin Amer. & Caribbean,Less dev. region,No,1,1
Hungary,348,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Iceland,352,,Europe,More dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
India,356,,Asia,Less dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
Indonesia,360,,Asia,Less dev. region,No,1,"1,4,5"
Iran (Islamic Republic of),364,,Asia,Less dev. region,No,1,"1,5"
Iraq,368,,Asia,Less dev. region,No,1,1
Ireland,372,,Europe,More dev. region,No,1,1
Israel,376,,Asia,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Italy,380,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Jamaica,388,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3","1,2,3"
Japan,392,,Asia,More dev. region,No,"1,2,4,6","1,2,4,6"
Jordan,400,,Asia,Less dev. region,No,"1,2,3","1,2,3,5"
Kazakhstan,398,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Kenya,404,,Africa,Less dev. region,No,"1,2,3","1,2,3"
Kiribati,296,,Oceania,Less dev. region,Yes,1,1
Kuwait,414,,Asia,Less dev. region,No,"1,2,3,5","1,2,3,5"
Kyrgyzstan,417,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Lao People's Democratic Republic,418,,Asia,Less dev. region,Yes,1,"1,2"
Latvia,428,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Lebanon,422,,Asia,Less dev. region,No,1,1
Lesotho,426,,Africa,Less dev. region,Yes,1,1
Liberia,430,,Africa,Less dev. region,Yes,"1,2,3,4,5","1,2,3,4,5"
Libya,434,,Africa,Less dev. region,No,1,1
Liechtenstein,438,,Europe,More dev. region,No,"1,2,3","1,2,3"
Lithuania,440,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Luxembourg,442,,Europe,More dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
Madagascar,450,,Africa,Less dev. region,Yes,1,1
Malawi,454,,Africa,Less dev. region,Yes,1,1
Malaysia,458,,Asia,Less dev. region,No,"1,2,3","1,2,3"
Maldives,462,,Asia,Less dev. region,No,"1,2","1,2"
Mali,466,,Africa,Less dev. region,Yes,1,"1,4"
Malta,470,,Europe,More dev. region,No,Not permitted,Not permitted
Marshall Islands,584,,Oceania,Less dev. region,No,1,1
Mauritania,478,,Africa,Less dev. region,Yes,1,1
Mauritius,480,,Africa,Less dev. region,No,1,1
Mexico,484,,Latin Amer. & Caribbean,Less dev. region,No,"1,4","1,2,3,4,5,6,7"
Micronesia (Federated States of),583,,Oceania,Less dev. region,No,1,1
Monaco,492,,Europe,More dev. region,No,1,"1,4,5"
Mongolia,496,,Asia,Less dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Montenegro,499,,Europe,More dev. region,No,,"1,2,3,4,5,6,7"
Morocco,504,,Africa,Less dev. region,No,"1,2,3","1,2,3"
Mozambique,508,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Myanmar,104,,Asia,Less dev. region,Yes,1,1
Namibia,516,,Africa,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Nauru,520,,Oceania,Less dev. region,No,"1,2,3","1,2,3"
Nepal,524,,Asia,Less dev. region,Yes,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Netherlands,528,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
New Zealand,554,,Oceania,More dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Nicaragua,558,,Latin Amer. & Caribbean,Less dev. region,No,1,Not permitted
Niger,562,,Africa,Less dev. region,Yes,1,"1,2,3,5"
Nigeria,566,,Africa,Less dev. region,No,"1,2,3","1,2,3"
Niue,570,,Oceania,Less dev. region,No,"1,2,3","1,2,3"
Norway,578,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Oman,512,,Asia,Less dev. region,No,1,"1,5"
Pakistan,586,,Asia,Less dev. region,No,"1,2,3","1,2,3"
Palau,585,,Oceania,Less dev. region,No,1,1
Panama,591,,Latin Amer. & Caribbean,Less dev. region,No,"1,3,4","1,4,5"
Papua New Guinea,598,,Oceania,Less dev. region,No,"1,2,3",1
Paraguay,600,,Latin Amer. & Caribbean,Less dev. region,No,1,1
Peru,604,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3","1,2,3"
Philippines,608,,Asia,Less dev. region,No,1,1
Poland,616,,Europe,More dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Portugal,620,,Europe,More dev. region,No,"1,2,3,4,5","1,2,3,4,5,6,7"
Qatar,634,,Asia,Less dev. region,No,"1,2,3,5","1,2,3,5"
Republic of Korea,410,,Asia,Less dev. region,No,"1,2,3,4,5","1,2,3,4,5"
Republic of Moldova,498,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Romania,642,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Russian Federation,643,,Europe,More dev. region,No,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
Rwanda,646,,Africa,Less dev. region,Yes,"1,2,3","1,2,3"
Saint Kitts and Nevis,659,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4","1,2,3,4"
Saint Lucia,662,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4","1,2,3,4"
Saint Vincent and the Grenadines,670,,Latin Amer. & Caribbean,Less dev. region,No,"1,2,3,4,5,6","1,2,3,4,5,6"
Samoa,882,,Oceania,Less dev. region,Yes,"1,2,3","1,2,3"
San Marino,674,,Europe,More dev. region,No,1,1
Sao Tome and Principe,678,,Africa,Less dev. region,Yes,1,1
Saudi Arabia,682,,Asia,Less dev. region,No,"1,2,3","1,2,3"
Senegal,686,,Africa,Less dev. region,Yes,1,1
Serbia,688,,Europe,More dev. region,No,,"1,2,3,4,5,6,7"
Serbia and Montenegro,891,,Europe,More dev. region,No,"1,2,3,4,5,6,7",
