ISO,country,Part % 2011-2013
AND,Andorra,0
ATG,Antigua and Barbuda,0
CHN,China,0
GRL,Greenland,0
KIR,Kiribati,0
PSE,Palestine,0
RWA,Rwanda,0
STP,Sao Tome and Principe,0
BRB,Barbados,"0,0002728"
SLV,El Salvador,"0,001050933"
BWA,Botswana,"0,001546858"
CPV,Cape Verde,"0,002846463"
LUX,Luxembourg,"0,004982156"
ALB,Albania,"0,005001684"
TON,Tonga,"0,005678329"
BDI,Burundi,"0,006422444"
JOR,Jordan,"0,009179352"
AZE,Azerbaijan,"0,010040296"
SVK,Slovak Republic,"0,012196889"
SAU,Saudi Arabia,"0,014884772"
BLZ,Belize,"0,016143374"
LBN,Lebanon,"0,031728859"
BLR,Belarus,"0,039993028"
BOL,Bolivia,"0,041046802"
BIH,Bosnia and Herzegovina,"0,042879115"
PRY,Paraguay,"0,043228785"
BHS,"Bahamas, The","0,044797967"
SRB,"Serbia, FR(Serbia/Montenegro)","0,046761709"
BHR,Bahrain,"0,048467089"
DOM,Dominican Republic,"0,052159158"
HRV,Croatia,"0,054598021"
HUN,Hungary,"0,061330321"
ABW,Aruba,"0,093546453"
ROU,Romania,"0,101442357"
EGY,"Egypt, Arab Rep.","0,107584284"
GUY,Guyana,"0,115465732"
BGR,Bulgaria,"0,117441179"
COL,Colombia,"0,12737696"
MLT,Malta,"0,133662228"
LTU,Lithuania,"0,14435341"
SVN,Slovenia,"0,145003916"
DZA,Algeria,"0,147806404"
NIC,Nicaragua,"0,167768233"
MKD,Macedonia,"0,185969684"
JAM,Jamaica,"0,208586284"
MUS,Mauritius,"0,219778293"
TUN,Tunisia,"0,238712038"
CZE,Czech Republic,"0,243203175"
AUT,Austria,"0,268492949"
PRT,Portugal,"0,276069352"
LVA,Latvia,"0,281294571"
NCL,New Caledonia,"0,28502828"
CIV,Cote d'Ivoire,"0,300072112"
GRC,Greece,"0,309380649"
BEL,Belgium,"0,312168905"
PYF,French Polynesia,"0,315193432"
WSM,Samoa,"0,345712087"
CRI,Costa Rica,"0,346801067"
MEX,Mexico,"0,353875606"
TUR,Turkey,"0,3570034"
FJI,Fiji,"0,400736423"
POL,Poland,"0,424158722"
MAR,Morocco,"0,557207792"
NAM,Namibia,"0,569132445"
CYP,Cyprus,"0,576424986"
ITA,Italy,"0,638483368"
MDA,Moldova,"0,639509352"
SWE,Sweden,"0,661779432"
CHE,Switzerland,"0,74405361"
EST,Estonia,"0,752200461"
BEN,Benin,"0,802216853"
KGZ,Kyrgyz Republic,"0,829642122"
MDV,Maldives,"0,843023118"
LKA,Sri Lanka,"0,897171955"
GEO,Georgia,"0,911726393"
DEU,Germany,"0,929250488"
OMN,Oman,"0,960603519"
NLD,Netherlands,"0,982293162"
UGA,Uganda,"1,046606725"
ZAF,South Africa,"1,054432285"
GBR,United Kingdom,"1,087924382"
KAZ,Kazakhstan,"1,13229939"
ESP,Spain,"1,162526144"
SEN,Senegal,"1,170971281"
NPL,Nepal,"1,262420999"
AFG,Afghanistan,"1,319566015"
MDG,Madagascar,"1,360464378"
UKR,Ukraine,"1,379192087"
PAN,Panama,"1,448995175"
GTM,Guatemala,"1,473304259"
MNE,Montenegro,"1,51954748"
GMB,"Gambia, The","1,545121092"
IRL,Ireland,"1,713658424"
GHA,Ghana,"1,723609582"
ECU,Ecuador,"1,752042966"
YEM,Yemen,"1,90896566"
ARM,Armenia,"2,003183745"
ISR,Israel,"2,031607173"
NGA,Nigeria,"2,051410975"
ISL,Iceland,"2,190341521"
IND,India,"2,523435257"
TGO,Togo,"2,606749831"
FRA,France,"2,646500971"
FIN,Finland,"2,814075971"
DNK,Denmark,"2,997679485"
MOZ,Mozambique,"3,117709243"
NER,Niger,"3,34180544"
ZMB,Zambia,"3,75811581"
COG,"Congo, Rep.","3,980084637"
NOR,Norway,"4,050035732"
MRT,Mauritania,"4,646206023"
PAK,Pakistan,"5,040652777"
KHM,Cambodia,"5,110315798"
CHL,Chile,"5,935306541"
PHL,Philippines,"6,394282158"
ZWE,Zimbabwe,"6,397710643"
TZA,Tanzania,"6,429460538"
RUS,Russian Federation,"7,209650608"
CAF,Central African Republic,"7,836994008"
JPN,Japan,"7,91771701"
THA,Thailand,"7,994666104"
AUS,Australia,"8,830983371"
SGP,Singapore,"9,11702976"
CAN,Canada,"9,286243521"
ARG,Argentina,"10,75785349"
IDN,Indonesia,"11,78251958"
ETH,Ethiopia,"11,95128145"
URY,Uruguay,"12,17075116"
VNM,Vietnam,"13,49340965"
MYS,Malaysia,"14,94159931"
USA,United States,"14,9886005"
PER,Peru,"15,8489957"
KOR,"Korea, Rep.","16,22325609"
NZL,New Zealand,"17,29562867"
BRA,Brazil,"20,75973404"
HKG,"Hong Kong, China","24,39119782"
