COUNTRY,POPULATION (M),"GDP (B, USD)",TOTAL POSTS,EMBASSY /HIGH COMMISSION,CONSULATE / CONSULATE-GENERAL,PERMANENTMISSION,OTHERREPRESENTATION,G20RANK,OECDRANK,OVERALLRANK
United States,318.9,17419,270,166,83,10,11,1,1,1
France,66.2,2829,267,160,89,16,2,2,2,2
China,1364.3,10355,257,162,86,8,1,3,,3
Russian Federation,143.8,1861,243,142,89,11,1,4,,4
United Kingdom,64.5,2989,231,148,60,9,14,5,3,5
Brazil,206.1,2346,221,137,70,12,2,6,,6
Germany,80.9,3868,218,147,58,11,2,7,4,7
Turkey,75.9,798,215,125,78,11,1,8,5,8
Japan,127.1,4602,214,142,61,9,2,9,6,9
Spain,46.4,1381,212,114,88,10,0,,7,10
Italy,61.3,2141,202,119,75,5,3,10,8,11
India,1295.3,2049,172,119,47,3,3,11,,12
Korea Republic of (South Korea),50.4,1410,170,116,47,5,2,12,9,13
Mexico,125.4,1295,157,80,67,7,3,13,10,14
Argentina,43,538,153,84,61,7,1,14,,15
Switzerland,8.2,701,148,103,29,12,4,,11,16
Netherlands,16.9,879,141,104,25,10,2,,12,17
Canada,35.5,1785,141,97,33,9,2,15,12,17
Greece,11,236,138,81,46,9,2,,14,19
Indonesia,254.5,889,133,95,34,3,1,16,,20
Poland,38,545,131,86,36,7,2,,15,21
Chile,17.8,258,126,69,49,7,1,,16,22
South Africa,54,350,124,106,14,2,2,17,,23
Portugal,10.4,230,122,71,42,8,1,,17,24
Belgium,11.2,532,117,78,25,10,4,,18,25
Czech Republic,10.5,205,114,90,17,5,2,,19,26
Australia,23.5,1455,110,77,28,3,2,18,20,27
Saudi Arabia,30.9,746,110,91,16,2,1,18,,27
Israel,8.2,306,105,78,21,5,1,,21,29
Hungary,9.9,138,104,74,20,7,3,,21,29
Sweden,9.7,571,104,88,7,7,2,,21,29
Norway,5.1,500,99,83,8,7,1,,24,32
Austria,8.5,437,97,80,8,7,2,,25,33
Denmark,5.6,342,93,70,14,6,3,,26,34
Finland,5.5,272,84,68,5,6,5,,27,35
Slovak Republic,5.4,100,80,63,8,7,2,,28,36
Ireland,4.6,251,80,61,11,7,1,,28,36
New Zealand,4.5,166,60,47,8,4,1,,30,38
Slovenia,2.1,49,47,36,4,6,1,,31,39
Estonia,1.3,26,44,34,4,6,0,,32,40
Luxembourg,0.6,65,32,22,6,3,1,,33,41
Iceland,0.3,17,22,15,4,3,0,,34,42
